Phyllo_order	TipLabel	STRAIN	FILE	Genus	Species	ENVIRONMENT	Clade
1	NZFNVI01000025.1	190mf	GCF_900107945.1_IMG-taxon_2636416051_annotated_assembly_genomic.fna.gz	Methylobacterium	sp.	PLANT	A9
2	NZBADE01000084.1	B34	GCF_000333475.1_ASM33347v1_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A9
3	NZKB911310.1	285MFTsu5.1	GCF_000383455.1_ASM38345v1_genomic.fna.gz	Methylobacterium	sp.	PLANT	A9
4	NZFOCS01000022.1	UNC300MFChir4.1	GCF_900110155.1_IMG-taxon_2590828860_annotated_assembly_genomic.fna.gz	Methylobacterium	sp.	PLANT	A9
5	NZFOZY01000021.1	yr668	GCF_900116245.1_IMG-taxon_2609459632_annotated_assembly_genomic.fna.gz	Methylobacterium	sp.	RHIZHOSPHERE	A9
6	NZFNWP01000028.1	275MFSha3.1	GCF_900108435.1_IMG-taxon_2590828857_annotated_assembly_genomic.fna.gz	Methylobacterium	sp.	PLANT	A9
7	NZSLXZ01000004.1	BK227	GCF_004340765.1_ASM434076v1_genomic.fna.gz	Methylobacterium	sp.	ENDOPHYTE	A9
8	NZFOMM01000028.1	13MFTsu3.1M2	GCF_900112625.1_IMG-taxon_2590828854_annotated_assembly_genomic.fna.gz	Methylobacterium	sp.	PLANT	A9
9	NZLMPY01000013.1	Leaf361	GCF_001424445.1_Leaf361_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A9
10	NZCP017640.1	C1	GCF_001854385.1_ASM185438v1_genomic.fna.gz	Methylobacterium	sp.	ANTHROPO/WATER	A9
11	NZLACA01000030.1	RE1.2	GCF_001981325.1_ASM198132v1_genomic.fna.gz	Methylobacterium	radiotolerans	SEED	A9
12	NC010505.1	JCM2831	GCF_000019725.1_ASM1972v1_genomic.fna.gz	Methylobacterium	radiotolerans	SEED	A9
13	NZBJXP01000063.1	NBRC15690	GCF_007991055.1_ASM799105v1_genomic.fna.gz	Methylobacterium	radiotolerans	SEED	A9
14	NZCAJCKR010000029.1	ME94	NEW-blast	Methylobacterium	radiotolerans	ENDOPHYTE	A9
15	NZSAUO01000001.1	ES_PA-B5	GCF_004011495.1_ASM401149v1_genomic.fna.gz	Methylobacterium	radiotolerans	RHIZHOSPHERE	A9
16	NZNKQS01000076.1	MAMP4754	GCF_002221455.1_ASM222145v1_genomic.fna.gz	Methylobacterium	radiotolerans	ENDOPHYTE	A9
17	NZQEKZ01000026.1	DSM760	GCF_003096615.1_ASM309661v1_genomic.fna.gz	Methylobacterium	organophilum	WATER	A9
18	NZCP003811.1	CBMB20	GCF_000757795.1_ASM75779v1_genomic.fna.gz	Methylobacterium	oryzae	PHYLLOSPHERE	A9
19	NZCP016429.1	XJLW	GCF_003254375.1_ASM325437v1_genomic.fna.gz	Methylobacterium	sp.	ANTHROPO/WATER	A9
20	NZBACT01000245.1	B1	GCF_000333255.1_ASM33325v1_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A9
21	NZJACCCR010000001.1	YL-MPn5-2016	NEW-blast	Methylobacterium	sp.	WATER	A9
22	NZJACCCS010000001.1	YL-MPn6-2016	NEW-blast	Methylobacterium	sp.	WATER	A9
23	NZJACJIM010000007.1	DSM5686	NEW-blast	Methylobacterium	fujisawaense	UNKNOWN	A9
24	NZFPBW01000029.1	UNCCL125	GCF_900116795.1_IMG-taxon_2595698237_annotated_assembly_genomic.fna.gz	Methylobacterium	sp.	PLANT	A9
25	NZJQJG01000037.1	UNCCL110	GCF_000745415.1_ASM74541v1_genomic.fna.gz	Methylobacterium	sp.	PLANT	A9
26	NZCP015367.1	CBMB27	GCF_900113465.1_IMG-taxon_2651870129_annotated_assembly_genomic.fna.gz	Methylobacterium	phyllosphaerae	PHYLLOSPHERE	A9
27	NZFOPK01000028.1	CBMB27	GCF_900113465.1_IMG-taxon_2651870129_annotated_assembly_genomic.fna.gz	Methylobacterium	phyllosphaerae	PHYLLOSPHERE	A9
28	NZCP043538.1	SR1.6/6	GCF_000364445.1_ASM36444v1_genomic.fna.gz	Methylobacterium	mesophilicum	PHYLLOSPHERE	A9
29	NZVUOK01000014.1	2A	NEW-blast	Methylobacterium	sp.	RHIZHOSPHERE	A9
30	NZFNHS01000021.1	BL47	GCF_900103445.1_IMG-taxon_2651870120_annotated_assembly_genomic.fna.gz	Methylobacterium	phyllostachyos	PHYLLOSPHERE	A9
31	NZFMWU01000028.1	UNC378MF	GCF_900103195.1_IMG-taxon_2590828861_annotated_assembly_genomic.fna.gz	Methylobacterium	sp.	PLANT	A9
32	NZNPKS01000020.1	P1-11	GCF_008329595.1_ASM832959v1_genomic.fna.gz	Methylobacterium	sp.	RHIZHOSPHERE	A9
33	NZCP033231.1	TX0642	GCF_003697185.1_ASM369718v1_genomic.fna.gz	Methylobacterium	brachiatum	ANTHROPO	A9
34	NZAKFK01000075.1	GXF4	GCF_000272495.1_ASM27249v1_genomic.fna.gz	Methylobacterium	sp.	ENDOPHYTE	A9
35	NZFOQW01000023.1	111MFTsu3.1M4	GCF_900113845.1_IMG-taxon_2590828855_annotated_assembly_genomic.fna.gz	Methylobacterium	brachiatum	PLANT	A9
36	NZLHCD01000028.1	ARG-1	GCF_001262595.1_ASM126259v1_genomic.fna.gz	Methylobacterium	sp.	LICHEN-FUNGI	A9
37	NZFOTK01000001.1	BL36	GCF_900114535.1_IMG-taxon_2654588108_annotated_assembly_genomic.fna.gz	Methylobacterium	pseudosasicola	PHYLLOSPHERE	A9
38	NZLKKO01000078.1	GXS13	GCF_001455965.1_Methylo_sp_GXS13_v1_genomic.fna.gz	Methylobacterium	sp.	ENDOPHYTE	A9
39	NZVRVG01000028.1	WL7	GCF_008040085.1_ASM804008v1_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A9
40	NZVRVD01000131.1	WL18	GCF_008040015.1_ASM804001v1_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A9
41	NZVRVA01000037.1	WL64	GCF_008039945.1_ASM803994v1_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A9
42	NZCP042823.1	WL1	GCF_008000895.1_ASM800089v1_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A9
43	NZVRVI01000050.1	WL2	GCF_008040115.1_ASM804011v1_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A9
44	NZCP029551.1	17Sr1-43	GCF_003173735.1_ASM317373v1_genomic.fna.gz	Methylobacterium	sp.	ANTHROPO/SOIL	A7
45	NZLSIX01000319.1	CCH5-D2	GCF_001556475.1_ASM155647v1_genomic.fna.gz	Methylobacterium	sp.	ANTHROPO/WATER	A7
46	NZCABFVH010000028.1	SW08-7	GCF_902141855.1_SW08-7_genomic.fna.gz	Methylobacterium	dankookense	ANTHROPO/WATER	A8
47	NZCABFPH010000026.1	SB0023/3	GCF_902141845.1_CECT_9862_genomic.fna.gz	Methylobacterium	symbioticum	LICHEN-FUNGI	A8
48	NZVRUT01000086.1	WL120	GCF_008039465.1_ASM803946v1_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A6
49	NZVRVF01000033.1	WL8	GCF_008040045.1_ASM804004v1_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A6
50	NZVRUW01000022.1	WL12	GCF_008039475.1_ASM803947v1_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A6
51	NZVRUX01000067.1	WL103	GCF_008039885.1_ASM803988v1_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A6
52	NZVRVH01000046.1	WL6	GCF_008040095.1_ASM804009v1_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A6
53	NZVRUV01000118.1	WL116	GCF_008039455.1_ASM803945v1_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A6
54	NZVRUY01000056.1	WL93	GCF_008039935.1_ASM803993v1_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A6
55	NZVRVB01000012.1	WL30	GCF_008039955.1_ASM803995v1_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A6
56	NZVRUU01000015.1	WL119	GCF_008039875.1_ASM803987v1_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A6
57	NZJACHOP010000007.1	DSM2163	NEW-blast	Methylobacterium	rhodinum	SOIL	B
58	NZLMQV01000001.1	Leaf456	GCF_001425465.1_Leaf456_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	B
59	NZFOSV01000026.1	CGMCC1.6474	GCF_900114375.1_IMG-taxon_2617270908_annotated_assembly_genomic.fna.gz	Methylobacterium	salsuginis	OCEAN	B
60	NZSCOS01000026.1	L1A1	GCF_005502455.1_ASM550245v1_genomic.fna.gz	Methylobacterium	sp.	WATER	B
61	NZLSNC01000049.1	CD11_7	GCF_001643095.1_ASM164309v1_genomic.fna.gz	Methylobacterium	populi	ANTHROPO/MICROBIOME	B
62	NC010725.1	BJ001	GCF_000019945.1_ASM1994v1_genomic.fna.gz	Methylobacterium	populi	ENDOPHYTE	B
63	NZWEKV01000018.1	PinkelPinkel_01	GCF_009193375.1_ASM919337v1_genomic.fna.gz	Methylobacterium	populi	ANTHROPO/SOIL	B
64	NZJACJIB010000004.1	DSM11490	NEW-blast	Methylobacterium	thiocyanatum	RHIZHOSPHERE	B
65	NZCP039546.1	YC-XJ1	GCF_006740745.1_ASM674074v1_genomic.fna.gz	Methylobacterium	populi	UNKNOWN	B
66	NZJACHWM010000007.1	R2-1	NEW-blast	Methylobacterium	sp.	UNKNOWN	B
67	NZAP014809.1	P-1M	GCF_002355515.1_ASM235551v1_genomic.fna.gz	Methylobacterium	populi	ANTHROPO/WATER	B
68	NZJACHOS010000003.1	DSM5687	NEW-blast	Methylobacterium	rhodesianum	ANTHROPO	B
69	NZRCIG01000008.1	DB1607	NEW-blast	Methylobacterium	sp.	ANTHROPO	B
70	NZKB316282.1	MB200	GCF_000333655.1_Methylobacterium_sp._MB200_genome_sequence_1.0_genomic.fna.gz	Methylobacterium	sp.	ANTHROPO	B
71	NZ_CP029173.1_Methylobacterium_sp.	DM1	GCF_003111705.1_ASM311170v1_genomic.fna.gz	Methylobacterium	sp.	ANTHROPO	B
72	NZCP047608.1	CLZ	NEW-blast	Methylobacterium	sp.	SOIL	B
73	NZCP047607.1	NI91	NEW-blast	Methylobacterium	sp.	SOIL	B
74	NZQJJJ01000006.1	B4	GCF_003201865.1_ASM320186v1_genomic.fna.gz	Methylobacterium	sp.	ANTHROPO/WATER	B
75	NZCP021054.1	PSBB041	GCF_002117815.2_ASM211781v2_genomic.fna.gz	Methylobacterium	zatmanii	WATER	B
76	NZLT962688.1	TK0001	GCF_900234795.1_TK0001_PRJEB23178_v1_genomic.fna.gz	Methylobacterium	extorquens	SOIL	B
77	NZBJVP01000003.1	NBRC15911	GCF_007989205.1_ASM798920v1_genomic.fna.gz	Methylobacterium	extorquens	ANTHROPO	B
78	NC011757.1	CM4	GCF_000021845.1_ASM2184v1_genomic.fna.gz	Methylobacterium	extorquens	ANTHROPO/SOIL	B
79	NZJACJIN010000005.1	RAS18	NEW-blast	Methylobacterium	sp.	PHYLLOSPHERE	B
80	NZCP019322.1	PSBB040	GCF_001971665.1_ASM197166v1_genomic.fna.gz	Methylobacterium	extorquens	WATER	B
81	NC012988.1	DM4	GCF_000083545.1_ASM8354v1_genomic.fna.gz	Methylobacterium	extorquens	ANTHROPO/WATER	B
82	NC_12988.1_Methylobacterium_extorquens	AM1	GCF_000022685.1_ASM2268v1_genomic.fna.gz	Methylobacterium	extorquens	ANTHROPO	B
83	NC010172.1	PA1	GCF_000018845.1_ASM1884v1_genomic.fna.gz	Methylobacterium	extorquens	PHYLLOSPHERE	B
84	NZAGJK01000015.1	DSM13060	GCF_000243435.1_ASM24343v2_genomic.fna.gz	Methylobacterium	extorquens	PHYLLOSPHERE	B
85	NC012808.1	DM4	GCF_000083545.1_ASM8354v1_genomic.fna.gz	Methylobacterium	extorquens	ANTHROPO/WATER	B
86	NZMNAO01000026.1	CP3	GCF_001854495.1_ASM185449v1_genomic.fna.gz	Methylobacterium	extorquens	SEED	B
87	NZLMNS01000023.1	Leaf123	GCF_001423405.1_Leaf123_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	B
88	NZCP006992.1	AMS5	GCF_001542815.1_ASM154281v1_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	B
89	NZSRHQ01000003.1	Q1	GCF_004683995.1_ASM468399v1_genomic.fna.gz	Methylobacterium	sp.	ENDOPHYTE	B
90	NZBJZT01000026.1	NBRC107714	GCF_007992175.1_ASM799217v1_genomic.fna.gz	Methylobacterium	haplocladii	PHYLLOSPHERE	A4
91	NZVRVE01000031.1	WL9	GCF_008040035.1_ASM804003v1_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A4
92	NZJACIDN010000010.1	DSM24105	NEW-blast	Methylobacterium	brachythecii	PHYLLOSPHERE	A4
93	NZBJZV01000018.1	NBRC107716	GCF_007992215.1_ASM799221v1_genomic.fna.gz	Methylobacterium	gnaphalii	PHYLLOSPHERE	A4
94	NZLMRC01000005.1	Leaf466	GCF_001425565.1_Leaf466_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A3
95	NZLMND01000006.1	Leaf108	GCF_001423265.1_Leaf108_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A3
