Nom_extraction	Sample	Location	Site	Tree	Species	Replicate	Date_sampling	Person_isolation	Date_isolation	Tampon_isolation	Batch_isolation	Boite	Tube_number	Batch_isolation	Batch_extraction	sample.names	Batch_PCR	Batch_sequencing	barcode_forward	barcode_reverse
DNA001	DNA001-00-00-00	DNA001	DNA001	DNA001	DNA001	DNA001	0	DNA001	0	DNA001	DNA001	DNA001	DNA001	DNA001	DNA001	DNA001.799F.1115R	PL_00	799F-1115R	S517	N726
H20	H20-00-00-00	H20	H20	H20	H20	H20	0	H20	0	H20	H20	H20	H20	H20	H20	H20.799F.1115R	PL_00	799F-1115R	S518	N726
METH	METH-00-00-00	METH	METH	METH	METH	METH	0	METH	0	METH	METH	METH	METH	METH	METH	MET.PL1.16S	PL_01	PL1-16S	S520	N716
T41	MSH-01-05-A	MSH	1	5	Fagus_grandifolia	A	43278	JBL	43279	Phosphate	1	15	15	MSH-43279-1	Batch_02	T41.PL1.16S	PL_01	PL1-16S	S516	N720
T20	MSH-04-02-A	MSH	4	2	Acer_saccharum	A	43278	JBL	43279	Phosphate	1	15	07	MSH-43279-1	Batch_01a	T20.PL1.16S	PL_01	PL1-16S	S516	N721
T62	MSH-04-04-A	MSH	4	4	Ostria_virginiana	A	43278	JBL	43279	Phosphate	1	15	09	MSH-43279-1	Batch_03	T62.PL1.16S	PL_01	PL1-16S	S513	N719
T70	MSH-04-06-A	MSH	4	6	Querbus_rubra	A	43278	JBL	43279	Phosphate	1	15	12	MSH-43279-1	Batch_03	T70.PL1.16S	PL_01	PL1-16S	S518	N719
T05	MSH-01-03-C	MSH	1	3	Acer_saccharum	C	43318	JBL	43320	Phosphate	3	12	71	MSH-43320-3	Batch_00	T05.PL1.16S	PL_01	PL1-16S	S517	N718
T163	MSH-01-05-C	MSH	1	5	Fagus_grandifolia	C	43318	JBL	43320	Phosphate	3	12	66	MSH-43320-3	Batch_07	T163.PL1.16S	PL_01	PL1-16S	S521	N721
T86	MSH-04-02-C	MSH	4	2	Acer_saccharum	C	43318	JBL	43319	Phosphate	2	12	45	MSH-43319-2	Batch_04	T86.PL1.16S	PL_01	PL1-16S	S515	N722
T89	MSH-04-04-C	MSH	4	4	Ostria_virginiana	C	43318	JBL	43320	Phosphate	3	12	58	MSH-43320-3	Batch_04	T89.PL1.16S	PL_01	PL1-16S	S520	N720
T136	MSH-04-06-C	MSH	4	6	Querbus_rubra	C	43318	JBL	43320	Phosphate	3	12	57	MSH-43320-3	Batch_06	T136.PL1.16S	PL_01	PL1-16S	S522	N720
T91	MSH-01-03-E	MSH	1	3	Acer_saccharum	E	43350	JBL	43351	Phosphate	3	10	67	MSH-43351-3	Batch_04	T91.PL1.16S	PL_01	PL1-16S	S522	N718
T130	MSH-04-02-E	MSH	4	2	Acer_saccharum	E	43350	JBL	43351	Phosphate	2	10	35	MSH-43351-2	Batch_06	T130.PL1.16S	PL_01	PL1-16S	S518	N722
T77	MSH-04-04-E	MSH	4	4	Ostria_virginiana	E	43350	JBL	43351	Phosphate	1	10	12	MSH-43351-1	Batch_04	T77.PL1.16S	PL_01	PL1-16S	S521	N719
T123	MSH-04-06-E	MSH	4	6	Querbus_rubra	E	43350	JBL	43351	Phosphate	1	10	11	MSH-43351-1	Batch_06	T123.PL1.16S	PL_01	PL1-16S	S516	N719
T56	MSH-01-03-G	MSH	1	3	Acer_saccharum	G	43391	JBL&Emilie	43392	Phosphate	3	14	69	MSH-43392-3	Batch_02	T56.PL1.16S	PL_01	PL1-16S	S520	N718
T83	MSH-01-05-G	MSH	1	5	Fagus_grandifolia	G	43391	JBL&Emilie	43392	Phosphate	2	14	36	MSH-43392-2	Batch_04	T83.PL1.16S	PL_01	PL1-16S	S521	N722
T138	MSH-04-02-G	MSH	4	2	Acer_saccharum	G	43391	JBL&Emilie	43392	Phosphate	3	14	65	MSH-43392-3	Batch_06	T138.PL1.16S	PL_01	PL1-16S	S515	N720
T133	MSH-04-04-G	MSH	4	4	Ostria_virginiana	G	43391	JBL&Emilie	43392	Phosphate	2	14	44	MSH-43392-2	Batch_06	T133.PL1.16S	PL_01	PL1-16S	S522	N722
T12	MSH-05-04-G	MSH	5	4	Querbus_rubra	G	43391	JBL&Emilie	43392	Phosphate	3	14	57	MSH-43392-3	Batch_00	T12.799F.1115R	PL_00	799F-1115R	S516	N726
T46	MSH-Neg-Control-GH	MSH	NEG	NEG	NEG	GH	43391	JBL&Emilie	43392	Phosphate	3	14	29	MSH-43392-3	Batch_02	T46.PL1.16S	PL_01	PL1-16S	S520	N719
T162	SBL-01-02-A	SBL	1	2	Fagus_grandifolia	A	43271	JBL	43273	Phosphate	4	2	63	SBL-43273-4	Batch_07	T162.PL1.16S	PL_01	PL1-16S	S517	N720
T81	SBL-01-03-A	SBL	1	3	Acer_rubrum	A	43271	JBL	43272	Phosphate	2	2	30	SBL-43272-2	Batch_04	T81.PL1.16S	PL_01	PL1-16S	S513	N722
T76	SBL-01-07-A	SBL	1	7	Acer_pennsylcanicum	A	43271	JBL	43272	Redford	1	2	06	SBL-43272-1	Batch_04	T76.PL1.16S	PL_01	PL1-16S	S513	N718
T107	SBL-01-10-A	SBL	1	10	Abies_balsamea	A	43271	JBL	43272	Phosphate	2	2	37	SBL-43272-2	Batch_05	T107.PL1.16S	PL_01	PL1-16S	S521	N720
T139	SBL-03-03-A	SBL	3	3	Abies_balsamea	A	43271	JBL	43273	Phosphate	4	2	67	SBL-43273-4	Batch_06	T139.PL1.16S	PL_01	PL1-16S	S515	N719
T66	SBL-03-07-A	SBL	3	7	Acer_saccharum	A	43271	JBL	43272	Phosphate	2	2	22	SBL-43272-2	Batch_03	T66.PL1.16S	PL_01	PL1-16S	S518	N721
