"input" "filtered" "denoisedF" "denoisedR" "merged"
"AA10BEPAAbitibi1" 67720 55988 55944 55954 55195
"AA11BEPAAbitibi2" 48391 41546 41441 41487 39715
"AA13PispAbitibi1" 79072 67273 66985 67170 60920
"AA14PispAbitibi2" 75271 62478 62319 62354 54072
"AA15PispAbitibi3" 63230 51262 51154 51148 43507
"AA16ACSAAbitibiRegen" 87997 73181 73004 72976 68820
"AA1ASCAAbitibi1" 137739 118939 118898 118883 118128
"AA9ACRUAbitibi3" 295 73 69 66 56
"AB10PispBic1" 125744 102149 101897 101959 89498
"AB11PispBic2" 66539 53366 53197 53238 44717
"AB12PispBic3" 97594 78163 77880 77857 66186
"AB13BEPABic1" 92337 75722 75642 75461 74947
"AB14BEPABic2" 57908 48995 48935 48921 45543
"AB15BEPABic3" 62803 52335 52233 52231 50119
"AB16QURUBic1" 144817 114486 114397 114435 113533
"AB1ACRUBic1" 82539 65295 65205 65143 62942
"AB2ACRUBic2" 382 96 89 78 67
"AB3ACRUBic3" 67499 48242 48160 48115 46764
"AB5ABBABic2" 50388 39980 39933 39915 39625
"AB6ABBABic3" 44451 35150 35084 35080 31705
"AB7ACSABic1" 60679 52951 52870 52828 50744
"AB8ACSABic2" 46081 39644 39580 39566 39304
"AG10BEPAGatineau1" 70305 60745 60612 60682 57752
"AG11BEPAGatineau2" 44391 38158 37970 38042 32297
"AG12BEPAGatineau3" 45613 39257 39146 39091 34749
"AG15PispGatineau3" 34272 29511 29390 29398 22833
"AG1ABBAGatineau1" 23537 18763 18723 18733 15710
"AG2ABBAGatineau2" 14941 11671 11617 11640 9892
"AG4ACSAGatineau1" 99547 87592 87094 87185 71942
"AG5ACSAGatineau2" 77921 68142 67960 67924 60012
"AG6ACSAGatineau3" 54960 46925 46831 46846 40768
"AG7ACRUGatineau1" 50375 44600 44472 44385 36342
"AG8ACRUGatineau2" 130725 108513 107936 108066 95143
"AG9ACRUGatineau3" 52416 41818 41680 41705 38329
"AS10ACSASutton5" 124530 107215 106841 106858 91228
"AS11ACSASutton6" 44744 37779 37672 37669 32390
"AS12BEPASutton1" 44842 35220 35185 35179 32950
"AS13BEPASutton2" 26456 21180 21147 21140 19636
"AS14BEPASutton3" 45157 39203 39124 39138 37563
"AS15PispSutton1" 40493 34937 34884 34878 32908
"AS16PispSutton2" 59136 46491 46355 46311 39541
"AS17PispSutton3" 42566 34551 34495 34469 30912
"AS18ABBASutton1" 46953 38692 38602 38635 34070
"AS19ABBASutton2" 34518 27656 27608 27601 24076
"AS72ACRUSutton1" 98679 82677 82517 82495 77428
"AS8ACRUSutton3" 91226 79885 79822 79800 75884
"AS9ACSASutton4" 99291 76578 76507 76468 70428
"BA17ACSAAbitibi1" 36177 30637 30576 30552 29881
"BA18ACSAAbitibi2" 53019 43896 43771 43744 37197
"BA19ACSAAbitibi3" 85405 70817 70774 70751 68658
"BA20ABBAAbitibi1" 107578 83571 83551 83530 83055
"BA27BEPAAbitibi2" 111765 93984 93943 93933 93434
"BA29PispAbitibi1" 102678 76560 76535 76502 75477
"BA30PispAbitibi2" 80786 69313 69230 69264 64237
"BA31PispAbitibi3" 45202 35648 35606 35605 32426
"BB17ACRUBic1" 51015 45086 45056 45039 44913
"BB18ACRUBic2" 49968 43789 43724 43647 43327
"BB21ABBABic2" 93557 75415 75139 75268 64872
"BB22ABBABic3" 41913 34756 34673 34697 30306
"BB23ACSABic1" 26436 23621 23574 23522 22734
"BB24ACSABic2" 32483 27674 27546 27463 24362
"BB25ACSABic3" 50140 42043 41920 41828 38689
"BB26PispBic1" 35087 28923 28751 28817 22202
"BB27PispBic2" 135476 112200 111809 111883 94519
"BB28PispBic3" 103471 84453 84291 84300 72970
"BB30BEPABic2" 77064 65802 65643 65666 59348
"BB31BEPABic3" 82067 70210 70103 70046 65993
"BG16ABBAGatineau1" 65579 55185 55095 55095 50212
"BG17ABBAGatineau2" 55365 45971 45892 45897 41813
"BG20ACSAGatineau2" 50922 44423 44337 44321 40085
"BG22ACRUGatineau1" 46161 40420 40320 40359 35673
"BG24ACRUGatineau3" 29310 25390 25356 25347 24029
"BG25BEPAGatineau1" 56521 40765 40677 40700 39063
"BG26BEPAGatineau2" 27040 22443 22396 22398 20628
"BG27BEPAGatineau3" 41559 36025 35991 35942 34194
"BG28PispGatineau1" 46578 36025 35920 35906 29254
"BG29PispGatineau2" 34778 23180 23042 23066 17425
"BG30PispGatineau3" 29128 24174 24067 24020 17079
"BS21ACSASutton1" 21432 18327 18284 18276 17330
"BS22ACSASutton2" 36736 32888 32845 32844 29129
"BS23ACSASutton3" 20499 17884 17810 17789 15080
"BS24ACRUSutton1" 39228 31989 31889 31820 29533
"BS25ACRUSutton2" 33163 28977 28906 28898 27412
"BS26ACRUSutton3" 21534 17065 17017 17002 14928
"BS27BEPASutton1" 24439 20721 20673 20655 19081
"BS28BEPASutton2" 20040 16893 16854 16846 16054
"BS29BEPASutton3" 15244 12027 11987 11998 10897
"BS30PispSutton1" 17656 14944 14864 14880 11648
"BS31PispSutton2" 15336 12052 12007 12002 10314
"BS32PispSutton3" 14042 11106 11064 11050 9709
"BS33ABBASutton1" 20638 15967 15929 15935 13318
"BS34ABBASutton2" 152739 121539 121028 121152 110070
"BS35ABBASutton3" 145338 116428 116134 115947 102391
"CA32ACSAAbitibi1" 86454 73768 73688 73704 73140
"CA33ACSAAbitibi2" 64637 54257 54225 54241 53836
"CA34ACSAAbitibi3" 58610 49897 49858 49829 49478
"CA35ABBAAbitibi1" 56010 44150 44127 44115 42139
"CA36ABBAAbitibi2" 41865 33201 33164 33153 32653
"CA37ABBAAbitibi3" 131805 102885 102765 102804 94498
"CA38ACRUAbitibi1" 161156 141387 141324 141314 141010
"CA39ACRUAbitibi2" 97838 85317 85281 85288 84906
"CA43BEPAAbitibi3" 84055 71874 71649 71691 67669
"CA44PispAbitibi1" 65899 52867 52730 52764 46028
"CA45PispAbitibi2" 64185 51350 51292 51303 47638
"CB32ACRUBic1" 123206 107805 107689 107705 106810
"CB35ABBABic1" 85616 69516 69253 69313 58774
"CB36ABBABic2" 40634 33540 33438 33438 27726
"CB37ABBABic3" 28174 22076 22039 22026 19467
"CB38ACSABic1" 35950 30570 30437 30363 25285
"CB39ACSABic2" 38269 32954 32894 32846 31164
"CB40ACSABic3" 64377 44431 44326 44216 40483
"CB41PispBic1" 40799 33948 33904 33891 28071
"CB42PispBic2" 15435 12546 12518 12501 10830
"CB43PispBic3" 28235 23130 23001 23033 18811
"CB45BEPABic2" 22068 19180 19159 19149 18305
"CB46BEPABic3" 15659 13150 13121 13121 11473
"CG31ABBAGatineau1" 30336 22916 22872 22851 20414
"CG32ABBAGatineau2" 33644 27223 27157 27182 23150
"CG33ABBAGatineau3" 31470 26105 26061 26028 21511
"CG34ACSAGatineau1" 38623 18715 18662 18656 16821
"CG35ACSAGatineau2" 85054 73388 73207 73207 65687
"CG36ACSAGatineau3" 104719 85609 85261 85424 73739
"CG37ACRUGatineau1" 89319 67319 67252 67210 65528
"CG38ACRUGatineau2" 76702 62807 62688 62657 57248
"CG39ACRUGatineau3" 103802 86683 86475 86459 78902
"CG40BEPAGatineau1" 59777 51569 51520 51500 50026
"CG41BEPAGatineau2" 77485 61214 61071 61099 55504
"CG42BEPAGatineau3" 70170 59831 59744 59739 58097
"CG43PispGatineau1" 61002 45693 45570 45577 39497
