"Df" "SumsOfSqs" "MeanSqs" "F.Model" "R2" "Pr(>F)"
"SITE" 1 2.78496181891944 2.78496181891944 46.5465051511543 0.374446219033215 9.99900009999e-05
"SPE" 6 1.17719001302447 0.196198335504079 3.27916410636174 0.15827662213039 0.0014998500149985
"TIME" 6 0.765014067960882 0.127502344660147 2.13101253388474 0.102858367144981 0.0324967503249675
"SS" 2 0.3085427530141 0.15427137650705 2.57841718779728 0.0414844708072355 0.0292970702929707
"SITE:SPE" 1 0.120967538630093 0.120967538630093 2.02179294585544 0.0162644375079323 0.1001899810019
"SPE:TIME" 18 1.59335717533684 0.0885198430742687 1.47947785267465 0.214231507886816 0.149485051494851
"SPE:SS" 2 0.17130886005434 0.0856544300271702 1.43158672459854 0.0230329746348646 0.201679832016798
"TIME:SS" 5 0.276878762951465 0.0553757525902929 0.92552355141199 0.0372271552211067 0.578042195780422
"Residuals" 4 0.239327254312701 0.0598318135781753 NA 0.032178245633458 NA
"Total" 45 7.43754824420433 NA NA 1 NA
