"Df" "SumsOfSqs" "MeanSqs" "F.Model" "R2" "Pr(>F)"
"SITE" 1 2.68116968765301 2.68116968765301 32.0752775559664 0.316136471414641 9.99900009999e-05
"SPE" 6 1.32157084050744 0.22026180675124 2.63502851723983 0.155826296323761 0.0014998500149985
"TIME" 6 1.01338598012758 0.168897663354597 2.02055075275564 0.119488247765116 0.0163983601639836
"SS" 2 0.345089193485877 0.172544596742938 2.06417962160264 0.0406894350828825 0.0387961203879612
"SITE:SPE" 1 0.134689700128999 0.134689700128999 1.61131521643797 0.0158812501613619 0.137786221377862
"SPE:TIME" 18 2.01261958420236 0.111812199122353 1.33762787842491 0.237307790170751 0.169483051694831
"SPE:SS" 2 0.236509389599932 0.118254694799966 1.41470052248923 0.0278868003874843 0.174382561743826
"TIME:SS" 5 0.401657445347309 0.0803314890694619 0.961018924036314 0.0473593924600384 0.556144385561444
"Residuals" 4 0.334359655404357 0.0835899138510892 NA 0.0394243162339633 NA
"Total" 45 8.48105147645687 NA NA 1 NA
