"Df" "SumsOfSqs" "MeanSqs" "F.Model" "R2" "Pr(>F)"
"SITE" 1 1.79876518351406 1.79876518351406 23.4835783316606 0.280073992033642 9.99900009999e-05
"SPE" 6 1.00745538864186 0.16790923144031 2.19212025298056 0.156864306180031 0.0388961103889611
"TIME" 6 0.568826335410179 0.0948043892350298 1.23770813510894 0.0885682378068728 0.31966803319668
"SS" 2 0.230507043562809 0.115253521781405 1.50467950545154 0.0358907479832284 0.1997800219978
"SITE:SPE" 1 0.108188525004633 0.108188525004633 1.41244322762003 0.0168453294337639 0.261073892610739
"SPE:TIME" 18 1.81075345691019 0.100597414272788 1.31333832769789 0.281940607875675 0.262073792620738
"SPE:SS" 2 0.240718815237339 0.12035940761867 1.57133882880895 0.0374807563316412 0.162783721627837
"TIME:SS" 5 0.350862539962118 0.0701725079924236 0.916129355444735 0.0546305171585981 0.58014198580142
"Residuals" 4 0.306386898642096 0.0765967246605239 NA 0.0477055051965475 NA
"Total" 45 6.42246418688527 NA NA 1 NA
