"Df" "SumsOfSqs" "MeanSqs" "F.Model" "R2" "Pr(>F)"
"SITE" 1 2.67429489699152 2.67429489699152 35.1724528166657 0.315960395792995 9.99900009999e-05
"SPE" 6 1.31699329860764 0.219498883101273 2.88685967948987 0.155599041957904 0.0007999200079992
"TIME" 6 1.02781197697809 0.171301996163016 2.25297194569767 0.121433084815033 0.0063993600639936
"SS" 2 0.366965870130118 0.183482935065059 2.41317622955461 0.0433559820569035 0.0196980301969803
"SITE:SPE" 1 0.132990373516145 0.132990373516145 1.74909567483731 0.0157124373606254 0.115088491150885
"SPE:TIME" 18 1.99016514834698 0.110564730463721 1.45415255804339 0.235132396458045 0.112888711128887
"SPE:SS" 2 0.202907179122286 0.101453589561143 1.33432240249007 0.023972910652763 0.208179182081792
"TIME:SS" 5 0.447755424024495 0.0895510848048989 1.17778009767168 0.0529010398787328 0.322167783221678
"Residuals" 4 0.304135160653267 0.0760337901633168 NA 0.0359327110269983 NA
"Total" 45 8.46401932837054 NA NA 1 NA
