"Df" "SumsOfSqs" "MeanSqs" "F.Model" "R2" "Pr(>F)"
"SITE" 1 2.45158462414155 2.45158462414155 59.3468332694913 0.382437958892409 9.99900009999e-05
"SPE" 6 1.00593561146398 0.167655935243997 4.05853778718742 0.156922163011274 0.0010998900109989
"TIME" 6 0.647494259927773 0.107915709987962 2.61237388452661 0.101006663495468 0.0176982301769823
"SS" 2 0.277465232923397 0.138732616461699 3.35837538591013 0.0432835302921627 0.0126987301269873
"SITE:SPE" 1 0.0903773102739311 0.0903773102739311 2.18781236892861 0.0140985196802868 0.0992900709929007
"SPE:TIME" 18 1.38377178033614 0.0768762100186742 1.86098394215791 0.215863180913029 0.0748925107489251
"SPE:SS" 2 0.126929039470002 0.063464519735001 1.53631991086594 0.0198004516348602 0.179482051794821
"TIME:SS" 5 0.261615698124522 0.0523231396249043 1.26661450429958 0.040811062616282 0.307469253074693
"Residuals" 4 0.16523777186284 0.04130944296571 NA 0.0257764694642274 NA
"Total" 45 6.41041132852413 NA NA 1 NA
