"test" "ass." "obs" "exp" "p.obs>exp"
"1" "site" "SBL_node.381" "0" "0.71±0.45" "1"
"2" "site" "MSH_node.381" "1" "0.29±0.45" "1"
"3" "site" "SBL_node.387" "1" "1.2±0.69" "1"
"4" "site" "MSH_node.387" "1" "0.8±0.69" "1"
"5" "site" "SBL_node.396" "1" "1.2±0.69" "1"
"6" "site" "MSH_node.396" "1" "0.8±0.69" "1"
"7" "site" "SBL_node.398" "0" "0.53±0.5" "1"
"8" "site" "MSH_node.398" "1" "0.47±0.5" "1"
"9" "site" "SBL_node.403" "1" "0.71±0.45" "1"
"10" "site" "MSH_node.403" "0" "0.29±0.45" "1"
"11" "site" "SBL_node.419" "1" "4.85±1.47" "1"
"12" "site" "MSH_node.419" "13" "9.15±1.47" "1"
"13" "site" "SBL_node.420" "0" "1.13±0.7" "1"
"14" "site" "MSH_node.420" "2" "0.87±0.7" "1"
"15" "site" "SBL_node.421" "0" "1.13±0.7" "1"
"16" "site" "MSH_node.421" "2" "0.87±0.7" "1"
"17" "site" "SBL_node.422" "1" "1.2±0.69" "1"
"18" "site" "MSH_node.422" "1" "0.8±0.69" "1"
"19" "site" "SBL_node.424" "1" "1.13±0.7" "1"
"20" "site" "MSH_node.424" "1" "0.87±0.7" "1"
"21" "site" "SBL_node.425" "1" "0.6±0.49" "1"
"22" "site" "MSH_node.425" "0" "0.4±0.49" "1"
"23" "site" "SBL_node.426" "9" "5.72±1.5" "1"
"24" "site" "MSH_node.426" "1" "4.28±1.5" "1"
"25" "site" "SBL_node.428" "1" "0.6±0.49" "1"
"26" "site" "MSH_node.428" "0" "0.4±0.49" "1"
"27" "site" "SBL_node.429" "1" "0.71±0.45" "1"
"28" "site" "MSH_node.429" "0" "0.29±0.45" "1"
"29" "site" "SBL_node.430" "4" "2.39±0.95" "1"
"30" "site" "MSH_node.430" "0" "1.61±0.95" "1"
"31" "site" "SBL_node.432" "6" "3.06±1.18" "1"
"32" "site" "MSH_node.432" "0" "2.94±1.18" "1"
"33" "site" "SBL_node.433" "2" "1.3±0.67" "1"
"34" "site" "MSH_node.433" "0" "0.7±0.67" "1"
"35" "site" "SBL_node.435" "5" "3.21±1.05" "1"
"36" "site" "MSH_node.435" "0" "1.79±1.05" "1"
"37" "site" "SBL_node.437" "1" "0.6±0.49" "1"
"38" "site" "MSH_node.437" "0" "0.4±0.49" "1"
"39" "site" "SBL_node.438" "1" "0.6±0.49" "1"
"40" "site" "MSH_node.438" "0" "0.4±0.49" "1"
"41" "site" "SBL_node.440" "2" "1.07±0.7" "1"
"42" "site" "MSH_node.440" "0" "0.93±0.7" "1"
"43" "site" "SBL_node.441" "1" "1.19±0.69" "1"
"44" "site" "MSH_node.441" "1" "0.81±0.69" "1"
"45" "site" "SBL_node.446" "0" "0.53±0.5" "1"
"46" "site" "MSH_node.446" "1" "0.47±0.5" "1"
"47" "site" "SBL_node.447" "1" "0.6±0.49" "1"
"48" "site" "MSH_node.447" "0" "0.4±0.49" "1"
"49" "site" "SBL_node.451" "1" "0.34±0.47" "1"
"50" "site" "MSH_node.451" "0" "0.66±0.47" "1"
"51" "site" "SBL_node.454" "3" "1.84±0.84" "1"
"52" "site" "MSH_node.454" "0" "1.16±0.84" "1"
"53" "site" "SBL_node.456" "2" "0.87±0.69" "1"
"54" "site" "MSH_node.456" "0" "1.13±0.69" "1"
"55" "site" "SBL_node.457" "2" "1.13±0.7" "1"
"56" "site" "MSH_node.457" "0" "0.87±0.7" "1"
"57" "site" "SBL_node.458" "1" "0.6±0.49" "1"
