"test" "ass." "obs" "exp" "p.obs>exp"
"1" "site" "SBL_node.381" "0" "0.71±0.45" "1"
"2" "site" "MSH_node.381" "1" "0.29±0.45" "1"
"3" "site" "SBL_node.384" "0" "0.53±0.5" "1"
"4" "site" "MSH_node.384" "1" "0.47±0.5" "1"
"5" "site" "SBL_node.385" "1" "1.2±0.69" "1"
"6" "site" "MSH_node.385" "1" "0.8±0.69" "1"
"7" "site" "SBL_node.386" "1" "1.2±0.69" "1"
"8" "site" "MSH_node.386" "1" "0.8±0.69" "1"
"9" "site" "SBL_node.403" "1" "0.71±0.45" "1"
"10" "site" "MSH_node.403" "0" "0.29±0.45" "1"
"11" "site" "SBL_node.414" "2" "1.31±0.67" "1"
"12" "site" "MSH_node.414" "0" "0.69±0.67" "1"
"13" "site" "SBL_node.416" "13" "15.76±2.36" "1"
"14" "site" "MSH_node.416" "20" "17.24±2.36" "1"
"15" "site" "SBL_node.428" "12" "6.76±1.64" "0.0408"
"16" "site" "MSH_node.428" "0" "5.24±1.64" "1"
"17" "site" "SBL_node.434" "5" "3.2±1.05" "1"
"18" "site" "MSH_node.434" "0" "1.8±1.05" "1"
"19" "site" "SBL_node.437" "1" "0.6±0.49" "1"
"20" "site" "MSH_node.437" "0" "0.4±0.49" "1"
"21" "site" "SBL_node.438" "1" "0.6±0.49" "1"
"22" "site" "MSH_node.438" "0" "0.4±0.49" "1"
"23" "site" "SBL_node.439" "3" "2.26±0.98" "1"
"24" "site" "MSH_node.439" "1" "1.74±0.98" "1"
"25" "site" "SBL_node.442" "1" "0.6±0.49" "1"
"26" "site" "MSH_node.442" "0" "0.4±0.49" "1"
"27" "site" "SBL_node.446" "0" "0.53±0.5" "1"
"28" "site" "MSH_node.446" "1" "0.47±0.5" "1"
"29" "site" "SBL_node.448" "2" "1.3±0.67" "1"
"30" "site" "MSH_node.448" "0" "0.7±0.67" "1"
"31" "site" "SBL_node.450" "16" "8.87±1.86" "0.00272"
"32" "site" "MSH_node.450" "0" "7.13±1.86" "1"
"33" "site" "SBL_node.483" "1" "0.33±0.47" "1"
"34" "site" "MSH_node.483" "0" "0.67±0.47" "1"
"35" "site" "SBL_node.486" "13" "14.04±2.24" "1"
"36" "site" "MSH_node.486" "12" "10.96±2.24" "1"
"37" "site" "SBL_node.497" "0" "1.9±0.82" "1"
"38" "site" "MSH_node.497" "4" "2.1±0.82" "1"
"39" "site" "SBL_node.501" "0" "0.6±0.49" "1"
"40" "site" "MSH_node.501" "2" "1.4±0.49" "1"
"41" "site" "SBL_node.503" "0" "1.2±0.69" "1"
"42" "site" "MSH_node.503" "2" "0.8±0.69" "1"
"43" "site" "SBL_node.505" "17" "21.56±2.41" "1"
"44" "site" "MSH_node.505" "24" "19.44±2.41" "1"
"45" "site" "SBL_node.524" "0" "0±0" "1"
"46" "site" "MSH_node.524" "1" "1±0" "1"
"47" "site" "SBL_node.525" "2" "1.04±0.66" "1"
"48" "site" "MSH_node.525" "0" "0.96±0.66" "1"
"49" "site" "SBL_node.533" "0" "0.33±0.47" "1"
"50" "site" "MSH_node.533" "1" "0.67±0.47" "1"
"51" "site" "SBL_node.540" "1" "0.71±0.45" "1"
"52" "site" "MSH_node.540" "1" "1.29±0.45" "1"
"53" "site" "SBL_node.551" "0" "2.06±0.97" "1"
"54" "site" "MSH_node.551" "7" "4.94±0.97" "1"
"55" "site" "SBL_node.554" "0" "0.53±0.5" "1"
"56" "site" "MSH_node.554" "6" "5.47±0.5" "1"
"57" "site" "SBL_node.566" "0" "1.2±0.69" "1"
