"Level" "PS" "test" "ass." "obs" "exp" "p.obs.exp"
"1" "51" "0.9989" "temp" "20_node.509" "14" "7.14±1.89" "0.039"
"2" "56" "0.9979" "site" "MSH_node.419" "17" "10.88±1.73" "0.03248"
"3" "57" "0.9977" "temp" "20_node.509" "14" "7.15±1.91" "0.04998"
"4" "58" "0.9975" "temp" "20_node.509" "16" "8.27±2.02" "0.0245"
"5" "61" "0.9969" "temp" "20_node.509" "16" "8.25±2.02" "0.01344"
"6" "65" "0.996" "site" "MSH_node.417" "18" "11.69±1.84" "0.04888"
"7" "65" "0.996" "temp" "20_node.509" "16" "8.26±2.01" "0.01692"
"8" "74" "0.994" "site" "MSH_node.417" "18" "11.7±1.84" "0.03784"
"9" "74" "0.994" "site" "SBL_node.450" "16" "8.86±1.87" "0.00264"
"10" "74" "0.994" "temp" "20_node.509" "16" "8.28±2.01" "0.02288"
"11" "75" "0.9937" "site" "MSH_node.417" "18" "11.68±1.84" "0.0473"
"12" "75" "0.9937" "site" "SBL_node.450" "16" "8.86±1.87" "0.00258"
"13" "75" "0.9937" "temp" "20_node.509" "16" "8.27±2.01" "0.01892"
"14" "76" "0.9935" "site" "SBL_node.450" "16" "8.88±1.86" "0.00084"
"15" "76" "0.9935" "temp" "20_node.509" "16" "8.26±2.02" "0.0168"
"16" "78" "0.993" "site" "SBL_node.450" "16" "8.86±1.87" "0.0024"
"17" "78" "0.993" "temp" "20_node.509" "16" "8.27±2.01" "0.02"
"18" "79" "0.9927" "site" "SBL_node.428" "12" "6.76±1.64" "0.04992"
"19" "79" "0.9927" "site" "SBL_node.450" "16" "8.87±1.87" "0.00234"
"20" "79" "0.9927" "temp" "20_node.509" "16" "8.26±2.01" "0.01716"
"21" "82" "0.992" "site" "SBL_node.428" "12" "6.76±1.64" "0.04758"
"22" "82" "0.992" "site" "SBL_node.450" "16" "8.87±1.86" "0.00312"
"23" "82" "0.992" "temp" "20_node.509" "16" "8.26±2.02" "0.01326"
"24" "83" "0.9917" "site" "SBL_node.450" "16" "8.87±1.86" "0.00222"
"25" "83" "0.9917" "temp" "20_node.508" "18" "9.56±2.15" "0.00518"
"26" "84" "0.9915" "site" "SBL_node.428" "12" "6.75±1.64" "0.04824"
"27" "84" "0.9915" "site" "SBL_node.450" "16" "8.86±1.87" "0.00432"
"28" "84" "0.9915" "temp" "20_node.507" "27" "14.2±2.55" "0.00072"
"29" "85" "0.9912" "site" "SBL_node.428" "12" "6.77±1.65" "0.0476"
"30" "85" "0.9912" "site" "SBL_node.450" "16" "8.86±1.87" "0.0014"
"31" "86" "0.9909" "site" "SBL_node.428" "12" "6.76±1.64" "0.0408"
"32" "86" "0.9909" "site" "SBL_node.450" "16" "8.87±1.86" "0.00272"
"33" "86" "0.9909" "temp" "20_node.505" "28" "15.34±2.6" "0.00068"
"34" "89" "0.9901" "site" "SBL_node.428" "12" "6.76±1.63" "0.03828"
"35" "89" "0.9901" "site" "SBL_node.450" "16" "8.87±1.87" "0.00396"
"36" "89" "0.9901" "temp" "20_node.504" "28" "15.33±2.6" "0.00066"
"37" "90" "0.9899" "site" "SBL_node.428" "12" "6.75±1.64" "0.0384"
"38" "90" "0.9899" "site" "SBL_node.450" "16" "8.87±1.86" "0.00256"
"39" "90" "0.9899" "temp" "20_node.504" "28" "15.34±2.6" "0.00064"
"40" "96" "0.9882" "site" "SBL_node.428" "12" "6.76±1.64" "0.03782"
"41" "96" "0.9882" "site" "SBL_node.450" "16" "8.87±1.86" "0.0031"
"42" "96" "0.9882" "temp" "20_node.504" "28" "15.34±2.59" "0.00062"
"43" "97" "0.9879" "site" "SBL_node.428" "12" "6.76±1.64" "0.0342"
"44" "97" "0.9879" "site" "SBL_node.450" "16" "8.87±1.86" "0.0024"
