"L-44" "L-45" "L-46" "L-48" "L-50" "L-51" "L-52" "L-55" "L-56" "L-57" "L-58" "L-61" "L-65" "L-74" "L-75" "L-76" "L-78" "L-79" "L-82" "L-83" "L-84" "L-85" "L-86" "L-89" "L-90" "L-96" "L-97" "L-100" "L-104" "L-105" "L-106" "L-107" "L-110" "L-111" "L-122" "L-137" "L-138" "L-139" "L-153" "L-157" "L-165" "L-166" "L-167" "L-175" "L-176" "L-185" "L-187" "L-190" "L-192" "L-194" "L-195" "L-196" "L-197" "L-199" "L-205" "L-206" "L-225" "L-226" "L-227" "L-228" "L-271" "L-307"
"Fac" 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91
"Nodes" 83 78 69 68 68 65 59 58 56 51 49 48 47 44 43 42 40 39 39 37 36 35 34 33 32 31 30 29 28 26 25 24 24 23 23 22 21 20 19 18 17 16 15 15 14 14 14 14 13 12 11 11 10 9 8 7 6 5 4 3 2 1
"R2 SITE" 0.0270993399744209 0.0286247092060776 0.0305249037809087 0.0342165400452469 0.0342165400452469 0.0347023897222657 0.0371862404072039 0.0376950302111757 0.0399150214282609 0.0399236376035681 0.0397764914619177 0.0398507249714815 0.0394151368530334 0.0432782902628566 0.0432782902628566 0.0414422762566693 0.0351208811353961 0.034968327187586 0.034968327187586 0.0371772977257812 0.0379884361745963 0.0377871587461783 0.0380212616653869 0.0461397794973954 0.0461921684161146 0.0469331029271851 0.0470817589196115 0.047246277354133 0.0476149201281056 0.0397080765432008 0.0403366044499056 0.0427199458911367 0.0427199458911367 0.0425239322293391 0.0425239322293391 0.0452834774726301 0.0457252657558453 0.0480297456060915 0.0483316184241139 0.049239751730467 0.0509127886257423 0.0506056024614388 0.0510963011625945 0.0510963011625945 0.0521258092624662 0.0521258092624662 0.0521258092624662 0.0521258092624662 0.0514358976589603 0.0514499514415508 0.055363142555228 0.055363142555228 0.0653406351416898 0.0713624792703653 0.0802576338017232 0.0599002119820433 0.0785193513651715 0.0781994820645194 0.10967897536596 0.0992762087794382 0.0188418914313544 0.0375306481796619
"R2 HOST" 0.0635699655481558 0.065248069245154 0.061035492161878 0.0587834301157593 0.0587834301157593 0.059782537945225 0.0579663571402089 0.0581458647994186 0.0593951712988085 0.0586598514397255 0.057810126816717 0.0545783321561512 0.0544679936070248 0.0524298337287981 0.0524298337287981 0.0530708036161944 0.0540141913848399 0.054022731395679 0.054022731395679 0.0556399283776152 0.0539945571227349 0.0548887836877281 0.0545658413531468 0.0553362344571303 0.0556744554792703 0.0562730510169318 0.0552262400582755 0.0548840842833305 0.0543850792953639 0.0567454443347246 0.0560633428993072 0.0549668573518597 0.0549668573518597 0.0549781124228713 0.0549781124228713 0.0585690152974437 0.0589800527885324 0.0602455817850435 0.0550850836853137 0.0541977813563009 0.0527921733601074 0.0528092603306675 0.0461749329677828 0.0461749329677828 0.0461565971680947 0.0461565971680947 0.0461565971680947 0.0461565971680947 0.0464651119224303 0.0463935807473215 0.0447615132176688 0.0447615132176688 0.045846537310615 0.0439478271443664 0.0419718977151653 0.0449887170181933 0.0753456711146454 0.0725629208893451 0.0729217031780991 0.0724964155169316 0.0762466252033905 0.0730505995955442
"R2 TEMP" 0.0208636992383118 0.0204949250319951 0.0315975502202163 0.0320220068424636 0.0320220068424636 0.0300074229284012 0.0282866760960634 0.0283643890300277 0.0277616384247549 0.0280230518045032 0.0334666716816111 0.0320688385490419 0.0332681882054012 0.0367868663547896 0.0367868663547896 0.0375164456326455 0.0409629864134109 0.0410706700787748 0.0410706700787748 0.045545538938637 0.0676671837015551 0.0655061323309521 0.0615081394563157 0.0620409588575087 0.0627083627685261 0.0635001365924286 0.0635637331071545 0.0635763112436241 0.0627544169213317 0.0696463294622916 0.0701194702568399 0.0700191372576551 0.0700191372576551 0.0700334744491916 0.0700334744491916 0.0691727691968483 0.0681493416425907 0.0705055114925431 0.0727688663516384 0.0729427530290004 0.0710089861692473 0.0712438709384252 0.0787767768398941 0.0787767768398941 0.0785099970697602 0.0785099970697602 0.0785099970697602 0.0785099970697602 0.0781585762842624 0.0783637788760552 0.0786467949782248 0.0786467949782248 0.0823143616795979 0.0845216005319099 0.0955933199209009 0.103442898077257 0.0156491288763841 0.0153650398469561 0.0170929833091625 0.0174843551031501 0.0375988736736449 0.0362503350409158
"R2 DAY" 0.0172079308892249 0.0175046637182705 0.0219671827814957 0.0219306045320141 0.0219306045320141 0.0217369058335412 0.019021751309453 0.0190314972428865 0.0195906755543591 0.0220176980645699 0.0241076051361403 0.0227184327700191 0.0213293609566397 0.0214223674192035 0.0214223674192035 0.0217653646457565 0.0187605264199008 0.0185186200345072 0.0185186200345072 0.0169599136920355 0.0110685791576713 0.0112566788248123 0.0121284622764878 0.0112613166425001 0.0135913073240375 0.0145051340182872 0.0145196611676557 0.0145225343513208 0.0182799233225533 0.0200201033899632 0.0199738401990948 0.019116284797329 0.019116284797329 0.0191201990677319 0.0191201990677319 0.018890147497805 0.0189009642746499 0.0191998401303483 0.0187326681842551 0.0185102906316692 0.0184086016099326 0.018307068370008 0.018083893090015 0.018083893090015 0.0182970056351906 0.0182970056351906 0.0182970056351906 0.0182970056351906 0.0169852126142979 0.0169279279985759 0.0176439525824444 0.0176439525824444 0.0207689379996218 0.0231001574265816 0.0278567857233766 0.0229535635946744 0.0329713153294418 0.0320924212955267 0.0338643477306443 0.0341297550486109 0.0500402485809972 0.0105717418907594
"R2 SITE:HOST" 0.0220179374674755 0.0236522203188547 0.0206578264683623 0.0207894414260029 0.0207894414260029 0.0214780233974337 0.0206918087882098 0.0207855464070612 0.0206375810878491 0.021951741894058 0.0223789216479999 0.0231008405973005 0.0241572520632135 0.0254021765500164 0.0254021765500164 0.0254915800007466 0.028921958962429 0.0289525083532437 0.0289525083532437 0.0267789175488302 0.0278404437184581 0.0286494445438171 0.0273632589353528 0.025679519398494 0.0271618171501905 0.0272783617145461 0.0273056814783383 0.0273110847888621 0.0265927133282096 0.020490324911655 0.0205028910971019 0.0212581540092885 0.0212581540092885 0.021262506851064 0.021262506851064 0.0226750938886699 0.0226564353741157 0.0187882119267655 0.0186833907833166 0.0186477053081859 0.0188476788675114 0.0189760873459708 0.0190936930069265 0.0190936930069265 0.0191311025272301 0.0191311025272301 0.0191311025272301 0.0191311025272301 0.0175367537705592 0.0173829595789542 0.0157852866048151 0.0157852866048151 0.0138364361949722 0.01531549608989 0.0215358762622959 0.0282427962018036 0.0585451358496534 0.0587001183859181 0.0722295898443264 0.0734705973206983 0.0252018199067692 0.014076675682671
"R2 SITE:TEMP" 0.0119817293968129 0.0117863441964558 0.0124436881100578 0.0129373500942927 0.0129373500942927 0.0136403114633887 0.013217892098005 0.0132800747537266 0.0122454174317111 0.0130649546132466 0.0121540804155358 0.012399850702438 0.013279780579363 0.00851626088072254 0.00851626088072254 0.00888447774814476 0.00971490742994271 0.00960845080239186 0.00960845080239186 0.009350796485183 0.00835551603450525 0.00864185498214644 0.00814109608344701 0.00820721510486629 0.00821915078082745 0.00874021240784306 0.00874896588581853 0.00875069715114078 0.00868425506697271 0.0109201970583302 0.0112919651860884 0.011218505433501 0.011218505433501 0.0112208025463683 0.0112208025463683 0.0103404555958087 0.0101545578469002 0.0110037088079135 0.0127367318072395 0.0127864065793401 0.0137938437298809 0.0135564999373688 0.0126621348218001 0.0126621348218001 0.0124383271009098 0.0124383271009098 0.0124383271009098 0.0124383271009098 0.012359017836844 0.012304267554771 0.0123494641189776 0.0123494641189776 0.0111062896292001 0.0103792294306615 0.00173708672416258 -0.00032128199358876 0.00196543554909123 0.0020573648726766 0.00338688205264772 0.00138377370607829 0.00179979124643584 0.00606431467164641
"R2 HOST:TEMP" 0.0559156746536753 0.0560919715800056 0.0551368819059779 0.0561791850921229 0.0561791850921229 0.0557024504065322 0.0575856952742337 0.0580773134690639 0.0564781708513231 0.0552695369022367 0.0559361939028285 0.0572952137581363 0.0588397632029834 0.0606185390432549 0.0606185390432549 0.0610386738040709 0.0619703343514262 0.0620092350588269 0.0620092350588269 0.0611133537642818 0.0608729838125463 0.0600699457828265 0.0605193977506113 0.0575042944477353 0.0576312498966344 0.0579823813800196 0.0580404517648905 0.0580519369418517 0.0581240655893021 0.0536356491706801 0.0532322268322835 0.0531587776590754 0.0531587776590754 0.0531696625058043 0.0531696625058043 0.0508332223357602 0.0504938581945856 0.0535180491922351 0.0541940810610329 0.0548757006569739 0.0510713145095095 0.0510542726565838 0.0458962240302469 0.0458962240302469 0.0451756246867485 0.0451756246867485 0.0451756246867485 0.0451756246867485 0.0442359348889735 0.0443141470919835 0.0462840306919558 0.0462840306919558 0.0415612116579424 0.0406683474469671 0.0438403363307645 0.0470159802383001 0.0432964518384198 0.0376641531833931 0.0266782583901854 0.0288137037245809 0.0213330643468271 0.0316964570464699
"R2 SITE:DAY" 0.0109530114777068 0.0117777887472417 0.011647572440884 0.0114615262800123 0.0114615262800123 0.0114994878629288 0.0126656299564538 0.0127105212001707 0.0131520921020269 0.0121481691151613 0.0125530682839459 0.0127189024134111 0.0120031338371788 0.0132580645701575 0.0132580645701575 0.0127604347506703 0.0131213529301186 0.0133076617389651 0.0133076617389651 0.0139576677402119 0.0147021661706942 0.0143541642821366 0.0157387380628466 0.0150614328400059 0.0151204151182726 0.0154244533607317 0.015439901224751 0.0154429565076174 0.0154625829208907 0.0163231732550628 0.0161723433013073 0.0150085262582103 0.0150085262582103 0.0150115994196926 0.0150115994196926 0.0148355820275063 0.0150376337459447 0.0142036827840196 0.0148587953830988 0.0148255408756409 0.014915570865691 0.0149304061397168 0.0152519439819484 0.0152519439819484 0.01530634530814 0.01530634530814 0.01530634530814 0.01530634530814 0.0164877755290658 0.0162759271017164 0.0166430870562186 0.0166430870562186 0.0110840180134168 0.00737017622608957 0.00925189622394646 0.00756468937724306 0.013233638421523 0.0137017977458839 0.0165119522301209 0.0167306853631073 0.0142746577284873 0.0139594339769751
