"log(Level)" "Level" "(-log10(1.005-PS))" "PS"
0 1 4.9583 1.005
0.6931 2 4.4749 1.005
1.0986 3 4.1921 1.0049
1.3863 4 3.9915 1.0049
1.6094 5 3.8359 1.0049
1.7918 6 3.7087 1.0048
1.9459 7 3.6012 1.0047
2.0794 8 3.5081 1.0047
2.1972 9 3.426 1.0046
2.3026 10 3.3525 1.0046
2.3979 11 3.2861 1.0045
2.4849 12 3.2254 1.0044
2.5649 13 3.1696 1.0043
2.6391 14 3.1179 1.0042
2.7081 15 3.0698 1.0041
2.7726 16 3.0248 1.0041
2.8332 17 2.9825 1.004
2.8904 18 2.9426 1.0039
2.9444 19 2.9049 1.0038
2.9957 20 2.8691 1.0036
3.0445 21 2.8351 1.0035
3.091 22 2.8027 1.0034
3.1355 23 2.7717 1.0033
3.1781 24 2.742 1.0032
3.2189 25 2.7135 1.0031
3.2581 26 2.6862 1.0029
3.2958 27 2.6599 1.0028
3.3322 28 2.6345 1.0027
3.3673 29 2.61 1.0025
3.4012 30 2.5864 1.0024
3.434 31 2.5635 1.0023
3.4657 32 2.5414 1.0021
3.4965 33 2.5199 1.002
3.5264 34 2.4991 1.0018
3.5553 35 2.4789 1.0017
3.5835 36 2.4592 1.0015
3.6109 37 2.4401 1.0014
3.6376 38 2.4215 1.0012
3.6636 39 2.4034 1.0011
3.6889 40 2.3858 1.0009
3.7136 41 2.3685 1.0007
3.7377 42 2.3517 1.0006
3.7612 43 2.3353 1.0004
3.7842 44 2.3193 1.0002
3.8067 45 2.3036 1
3.8286 46 2.2883 0.9999
3.8501 47 2.2733 0.9997
3.8712 48 2.2586 0.9995
3.8918 49 2.2442 0.9993
3.912 50 2.2302 0.9991
3.9318 51 2.2163 0.9989
3.9512 52 2.2028 0.9987
3.9703 53 2.1895 0.9985
3.989 54 2.1765 0.9983
4.0073 55 2.1637 0.9981
4.0254 56 2.1511 0.9979
4.0431 57 2.1388 0.9977
4.0604 58 2.1266 0.9975
4.0775 59 2.1147 0.9973
4.0943 60 2.103 0.9971
4.1109 61 2.0915 0.9969
4.1271 62 2.0801 0.9967
4.1431 63 2.069 0.9965
4.1589 64 2.058 0.9963
4.1744 65 2.0472 0.996
4.1897 66 2.0365 0.9958
4.2047 67 2.0261 0.9956
4.2195 68 2.0157 0.9954
4.2341 69 2.0055 0.9951
4.2485 70 1.9955 0.9949
4.2627 71 1.9856 0.9947
4.2767 72 1.9759 0.9944
4.2905 73 1.9662 0.9942
4.3041 74 1.9568 0.994
4.3175 75 1.9474 0.9937
4.3307 76 1.9382 0.9935
4.3438 77 1.929 0.9932
4.3567 78 1.92 0.993
4.3694 79 1.9112 0.9927
4.382 80 1.9024 0.9925
4.3944 81 1.8937 0.9922
4.4067 82 1.8852 0.992
4.4188 83 1.8767 0.9917
4.4308 84 1.8684 0.9915
4.4427 85 1.8601 0.9912
4.4543 86 1.852 0.9909
4.4659 87 1.8439 0.9907
4.4773 88 1.8359 0.9904
4.4886 89 1.828 0.9901
4.4998 90 1.8203 0.9899
4.5109 91 1.8125 0.9896
4.5218 92 1.8049 0.9893
4.5326 93 1.7974 0.9891
4.5433 94 1.7899 0.9888
4.5539 95 1.7825 0.9885
4.5643 96 1.7752 0.9882
4.5747 97 1.768 0.9879
4.585 98 1.7609 0.9877
4.5951 99 1.7538 0.9874
4.6052 100 1.7468 0.9871
4.6151 101 1.7398 0.9868
4.625 102 1.733 0.9865
4.6347 103 1.7262 0.9862
