"Df" "SumsOfSqs" "MeanSqs" "F.Model" "R2" "Pr(>F)"
"SITE" 1 2.16699880009685 2.16699880009685 8.70977736024128 0.0800187855893548 0.0004999500049995
"HOST" 6 1.10223045981407 0.183705076635679 0.738362345826549 0.0407010575317238 0.778022197780222
"TEMP" 1 2.54497712301529 2.54497712301529 10.2289784966101 0.0939760459153334 9.99900009999e-05
"DAY" 1 0.720731691743433 0.720731691743433 2.89682327986282 0.0266138009428031 0.0420957904209579
"SITE:HOST" 2 0.579907929807636 0.289953964903818 1.16540649626507 0.0214137304989601 0.438556144385561
"SITE:TEMP" 1 0.054418418746498 0.054418418746498 0.218722922946333 0.0020094592491667 0.918708129187081
"HOST:TEMP" 5 1.08309858209599 0.216619716419199 0.870655536018526 0.0399945921562117 0.558744125587441
"SITE:DAY" 1 0.261495225690689 0.261495225690689 1.05102282309993 0.00965599537768459 0.394460553944606
"HOST:DAY" 2 0.437298930797791 0.218649465398896 0.878813667767166 0.0161477382361258 0.738426157384262
"TEMP:DAY" 1 0.140666167359486 0.140666167359486 0.565376870427803 0.00519425109285337 0.721027897210279
"SITE:HOST:TEMP" 2 0.69768650648491 0.348843253242455 1.40209910094471 0.025762832433736 0.192180781921808
"SITE:HOST:DAY" 1 0.311019458855894 0.311019458855894 1.25007463835074 0.0114847315057095 0.2997700229977
"SITE:TEMP:DAY" 1 0.192614896683489 0.192614896683489 0.774173417310655 0.00711251437626223 0.548145185481452
"HOST:TEMP:DAY" 1 0.920747056012404 0.920747056012404 3.70074125680514 0.0339995856268095 0.0136986301369863
"SITE:HOST:TEMP:DAY" 1 0.192789773075427 0.192789773075427 0.774876294690779 0.00711897187707419 0.551344865513449
"Residuals" 63 15.6744447945704 0.248800711024928 NA 0.578795907590191 NA
"Total" 90 27.0811258148503 NA NA 1 NA
