"mean_seq" "max_seq" "min_seq" "seq_or_node" "level" "mother_node" "mother_level"
1 1 1 1 44 403 191
2 2 2 2 44 378 154
3 3 3 3 44 377 93
4 4 4 4 44 653 78
5 5 5 5 44 653 78
6 6 6 6 44 653 78
7 7 7 7 44 654 45
8 8 8 8 44 654 45
9 9 9 9 44 380 110
10 10 10 10 44 381 104
11 11 11 11 44 382 100
12 12 12 12 44 383 98
13 13 13 13 44 387 45
14 14 14 14 44 387 45
15 15 15 15 44 387 45
16 16 16 16 44 387 45
17 17 17 17 44 389 45
18 18 18 18 44 389 45
19 19 19 19 44 390 86
20 20 20 20 44 392 84
21 21 21 21 44 393 45
22 22 22 22 44 393 45
23 23 23 23 44 394 84
24 24 24 24 44 394 84
25 25 25 25 44 396 51
26 26 26 26 44 396 51
27 27 27 27 44 397 70
28 28 28 28 44 397 70
29 29 29 29 44 398 45
30 30 30 30 44 398 45
31 31 31 31 44 651 93
32 32 32 32 44 652 45
33 33 33 33 44 652 45
34 34 34 34 44 649 83
35 35 35 35 44 650 82
36 36 36 36 44 650 82
37 37 37 37 44 646 171
38 38 38 38 44 647 162
39 39 39 39 44 648 154
40 40 40 40 44 648 154
41 41 41 41 44 644 189
42 42 42 42 44 645 175
43 43 43 43 44 645 175
44 44 44 44 44 410 146
45 45 45 45 44 411 145
46 46 46 46 44 411 145
47 47 47 47 44 411 145
48 48 48 48 44 414 138
49 49 49 49 44 419 56
50 50 50 50 44 419 56
51 51 51 51 44 419 56
52 52 52 52 44 419 56
53 53 53 53 44 419 56
54 54 54 54 44 419 56
55 55 55 55 44 419 56
56 56 56 56 44 419 56
57 57 57 57 44 419 56
58 58 58 58 44 419 56
59 59 59 59 44 419 56
60 60 60 60 44 419 56
61 61 61 61 44 419 56
62 62 62 62 44 419 56
63 63 63 63 44 420 55
64 64 64 64 44 420 55
65 65 65 65 44 421 55
66 66 66 66 44 421 55
67 67 67 67 44 422 45
68 68 68 68 44 422 45
69 69 69 69 44 424 74
70 70 70 70 44 424 74
71 71 71 71 44 425 45
72 72 72 72 44 425 45
73 73 73 73 44 426 45
74 74 74 74 44 427 44
75 75 75 75 44 427 44
76 76 76 76 44 427 44
77 77 77 77 44 427 44
78 78 78 78 44 427 44
79 79 79 79 44 427 44
80 80 80 80 44 427 44
81 81 81 81 44 427 44
82 82 82 82 44 427 44
83 83 83 83 44 428 104
84 84 84 84 44 429 46
85 85 85 85 44 430 45
86 86 86 86 44 430 45
87 87 87 87 44 431 44
88 88 88 88 44 431 44
89 89 89 89 44 432 45
90 90 90 90 44 432 45
91 91 91 91 44 432 45
92 92 92 92 44 432 45
93 93 93 93 44 432 45
94 94 94 94 44 432 45
95 95 95 95 44 433 45
96 96 96 96 44 433 45
97 97 97 97 44 435 45
98 98 98 98 44 436 44
99 99 99 99 44 436 44
100 100 100 100 44 436 44
101 101 101 101 44 436 44
102 102 102 102 44 437 106
103 103 103 103 44 438 105
104 104 104 104 44 440 45
105 105 105 105 44 440 45
106 106 106 106 44 441 45
107 107 107 107 44 441 45
108 108 108 108 44 444 82
109 109 109 109 44 445 45
110 110 110 110 44 445 45
111 111 111 111 44 446 90
112 112 112 112 44 446 90
113 113 113 113 44 447 65
114 114 114 114 44 447 65
115 115 115 115 44 451 65
116 116 116 116 44 454 45
117 117 117 117 44 455 44
118 118 118 118 44 455 44
119 119 119 119 44 456 45
120 120 120 120 44 456 45
121 121 121 121 44 457 45
122 122 122 122 44 457 45
123 123 123 123 44 458 48
124 124 124 124 44 459 45
125 125 125 125 44 459 45
126 126 126 126 44 459 45
127 127 127 127 44 459 45
128 128 128 128 44 459 45
129 129 129 129 44 459 45
130 130 130 130 44 459 45
131 131 131 131 44 460 185
132 132 132 132 44 466 86
133 133 133 133 44 466 86
134 134 134 134 44 466 86
135 135 135 135 44 466 86
136 136 136 136 44 467 45
137 137 137 137 44 467 45
138 138 138 138 44 468 45
139 139 139 139 44 468 45
140 140 140 140 44 469 45
141 141 141 141 44 469 45
142 142 142 142 44 471 89
143 143 143 143 44 473 79
144 144 144 144 44 474 78
145 145 145 145 44 475 67
146 146 146 146 44 476 45
147 147 147 147 44 477 44
148 148 148 148 44 477 44
149 149 149 149 44 478 87
150 150 150 150 44 478 87
151 151 151 151 44 480 60
152 152 152 152 44 480 60
153 153 153 153 44 480 60
154 154 154 154 44 480 60
155 155 155 155 44 481 53
156 156 156 156 44 481 53
157 157 157 157 44 481 53
158 158 158 158 44 481 53
159 159 159 159 44 483 148
160 160 160 160 44 483 148
161 161 161 161 44 484 90
162 162 162 162 44 484 90
163 163 163 163 44 485 157
164 164 164 164 44 487 65
165 165 165 165 44 488 61
166 166 166 166 44 489 57
167 167 167 167 44 491 51
168 168 168 168 44 492 50
169 169 169 169 44 492 50
170 170 170 170 44 492 50
171 171 171 171 44 492 50
172 172 172 172 44 492 50
173 173 173 173 44 492 50
174 174 174 174 44 493 45
175 175 175 175 44 493 45
176 176 176 176 44 493 45
177 177 177 177 44 493 45
178 178 178 178 44 493 45
179 179 179 179 44 493 45
180 180 180 180 44 493 45
181 181 181 181 44 493 45
182 182 182 182 44 494 45
183 183 183 183 44 494 45
184 184 184 184 44 495 45
185 185 185 185 44 495 45
186 186 186 186 44 495 45
187 187 187 187 44 495 45
188 188 188 188 44 495 45
189 189 189 189 44 496 74
190 190 190 190 44 496 74
191 191 191 191 44 498 52
192 192 192 192 44 499 51
193 193 193 193 44 500 50
194 194 194 194 44 500 50
195 195 195 195 44 502 45
196 196 196 196 44 502 45
197 197 197 197 44 503 90
198 198 198 198 44 503 90
199 199 199 199 44 506 85
200 200 200 200 44 507 84
201 201 201 201 44 507 84
202 202 202 202 44 507 84
203 203 203 203 44 507 84
204 204 204 204 44 507 84
205 205 205 205 44 507 84
206 206 206 206 44 507 84
207 207 207 207 44 510 45
208 208 208 208 44 510 45
209 209 209 209 44 510 45
210 210 210 210 44 510 45
211 211 211 211 44 510 45
212 212 212 212 44 510 45
213 213 213 213 44 510 45
214 214 214 214 44 510 45
215 215 215 215 44 510 45
216 216 216 216 44 511 45
217 217 217 217 44 511 45
218 218 218 218 44 511 45
219 219 219 219 44 511 45
220 220 220 220 44 511 45
221 221 221 221 44 511 45
222 222 222 222 44 511 45
223 223 223 223 44 512 45
224 224 224 224 44 512 45
225 225 225 225 44 513 57
226 226 226 226 44 514 56
227 227 227 227 44 514 56
228 228 228 228 44 515 78
229 229 229 229 44 515 78
230 230 230 230 44 515 78
231 231 231 231 44 516 58
232 232 232 232 44 517 56
233 233 233 233 44 518 45
234 234 234 234 44 518 45
235 235 235 235 44 520 51
236 236 236 236 44 521 50
237 237 237 237 44 521 50
238 238 238 238 44 521 50
239 239 239 239 44 521 50
240 240 240 240 44 521 50
241 241 241 241 44 522 51
242 242 242 242 44 522 51
243 243 243 243 44 523 45
244 244 244 244 44 523 45
245 245 245 245 44 525 165
246 246 246 246 44 525 165
247 247 247 247 44 526 79
248 248 248 248 44 527 78
249 249 249 249 44 527 78
250 250 250 250 44 527 78
251 251 251 251 44 527 78
