"Level" "node" "mother_node" "sequences" "PS_median" "PS_max" "PS_min" "bootstrapp"
44 477 476 2 1 1 1 34
45 393 392 2 1 1 1 100
45 476 475 3 1 1 1 98
45 493 492 8 1 1 1 99
84 392 391 3 0.99 1 0.99 87
84 394 391 2 0.991 0.991 0.991 82
67 475 474 4 0.9955 1 0.99 95
50 492 491 14 0.999 1 0.997 67
85 391 390 5 0.9905 1 0.99 70
55 420 419 2 0.998 0.998 0.998 100
55 421 419 2 0.998 0.998 0.998 98
78 474 473 5 0.9925 1 0.989 96
51 491 490 15 0.999 1 0.994 100
45 494 490 2 1 1 1 100
45 389 388 2 1 1 1 100
86 390 388 6 0.991 1 0.99 45
56 419 418 18 0.999 1 0.99 56
45 422 418 2 1 1 1 99
74 424 423 2 0.991 0.991 0.991 39
45 425 423 2 1 1 1 100
44 431 430 2 1 1 1 31
45 467 466 2 1 1 1 100
79 473 472 6 0.993 1 0.988 96
87 478 472 2 0.99 0.99 0.99 32
56 490 489 17 0.998 1 0.985 100
45 387 386 4 1 1 0.999 100
87 388 386 8 0.991 1 0.99 37
51 396 395 2 0.999 0.999 0.999 99
70 397 395 2 0.995 0.995 0.995 98
57 418 417 20 0.998 1 0.986 47
75 423 417 4 0.991 1 0.99 51
44 427 426 9 1 1 1 97
45 430 429 4 1 1 1 100
45 440 439 2 1 1 1 100
45 441 439 2 1 1 1 100
86 466 465 6 0.984 1 0.984 69
45 468 465 2 1 1 1 100
88 472 471 8 0.991 1 0.988 94
60 480 479 4 0.997 0.998 0.996 55
53 481 479 4 0.9985 1 0.997 58
57 489 488 18 0.998 1 0.957 74
44 557 556 2 1 1 1 34
89 386 385 12 0.99 1 0.98 33
72 395 385 4 0.9945 0.999 0.989 100
76 417 416 24 0.994 1 0.98 100
45 426 416 10 1 1 0.992 100
46 429 428 5 1 1 0.983 51
45 432 428 6 1 1 1 100
104 439 438 4 0.985 1 0.985 86
44 455 454 2 1 1 1 34
87 465 464 8 0.992 1 0.984 88
45 469 464 2 1 1 1 100
89 471 470 9 0.991 1 0.987 100
61 479 470 8 0.997 1 0.994 100
61 488 487 19 0.997 1 0.952 68
78 538 537 2 0.993 0.993 0.993 99
78 539 537 2 0.993 0.993 0.993 99
45 556 555 3 1 1 1 100
96 385 384 16 0.988 1 0.974 83
45 398 384 2 1 1 1 100
93 416 415 34 0.989 1 0.968 100
104 428 415 12 0.986 1 0.98 95
44 436 435 4 1 1 1 100
105 438 437 5 0.986 1 0.985 87
45 445 444 2 1 1 1 100
45 454 453 3 1 1 1 100
45 456 453 2 1 1 1 34
88 464 463 10 0.993 1 0.984 100
115 470 463 17 0.9825 1 0.977 100
148 483 482 2 0.961 0.961 0.961 95
90 484 482 2 0.99 0.99 0.99 100
65 487 486 20 0.996 1 0.952 73
45 495 486 5 1 1 1 100
82 537 536 4 0.992 0.993 0.99 100
45 542 541 2 1 1 1 100
51 553 552 2 0.999 0.999 0.999 37
76 555 554 4 0.9935 1 0.987 59
51 558 554 3 0.999 1 0.998 31
51 560 559 2 0.999 0.999 0.999 100
90 574 573 2 0.99 0.99 0.99 85
97 384 383 18 0.989 1 0.974 52
137 415 414 46 0.975 1 0.96 43
45 433 414 2 1 1 1 100
45 435 434 5 1 1 0.995 100
106 437 434 6 0.986 1 0.984 97
82 444 443 3 0.992 1 0.992 100
90 446 443 2 0.99 0.99 0.99 84
51 453 452 5 0.999 1 0.998 99
45 457 452 2 1 1 1 100
129 463 462 27 0.978 1 0.968 98
149 482 462 4 0.9645 0.99 0.952 31
156 486 485 25 0.968 1 0.949 63
56 514 513 2 0.998 0.998 0.998 43
84 536 535 5 0.9915 0.993 0.989 100
78 541 540 3 0.993 1 0.992 100
52 552 551 3 0.999 1 0.998 100
86 554 551 7 0.991 1 0.987 47
82 559 551 3 0.992 0.999 0.991 54
70 565 564 2 0.995 0.995 0.995 100
93 573 572 3 0.989 0.99 0.988 67
44 601 600 2 1 1 1 35
45 654 653 2 1 1 1 100
98 383 382 19 0.989 1 0.974 85
138 414 413 49 0.975 1 0.95 34
107 434 413 11 0.985 1 0.981 99
110 443 442 5 0.984 1 0.981 87
65 447 442 2 0.996 0.996 0.996 73
56 452 451 7 0.998 1 0.994 97
45 459 458 7 1 1 0.997 87
150 462 461 31 0.972 1 0.942 59
157 485 461 26 0.968 1 0.949 34
45 510 509 9 1 1 0.998 100
45 511 509 7 1 1 1 100
45 512 509 2 1 1 1 100
57 513 509 3 0.998 1 0.997 99
45 518 517 2 1 1 1 30
50 521 520 5 0.999 1 0.997 100
90 535 534 6 0.99 0.993 0.941 100
128 540 534 4 0.9785 1 0.963 100
90 551 550 15 0.99 1 0.983 100
82 564 563 3 0.992 0.995 0.992 49
94 572 571 4 0.9895 0.997 0.988 66
74 598 597 2 0.994 0.994 0.994 100
45 600 599 3 1 1 1 100
45 602 599 2 1 1 1 100
78 653 377 5 0.993 1 0.987 100
100 382 381 20 0.987 1 0.974 100
139 413 412 60 0.975 1 0.95 70
111 442 412 7 0.984 1 0.978 100
65 451 450 8 0.996 1 0.994 100
48 458 450 8 0.9995 1 0.995 100
184 461 460 57 0.957 1 0.934 77
82 509 508 21 0.992 1 0.987 60
78 515 508 3 0.993 1 0.993 34
56 517 516 3 0.998 1 0.998 75
51 520 519 6 0.999 1 0.994 40
51 522 519 2 0.999 0.999 0.999 99
192 534 533 10 0.95 1 0.921 99
97 544 543 2 0.988 0.988 0.988 100
93 550 549 16 0.989 1 0.935 99
45 561 549 2 1 1 1 100
83 563 562 4 0.992 0.995 0.989 60
95 571 570 5 0.9895 0.997 0.986 100
45 579 578 2 1 1 1 100
97 597 596 3 0.988 0.994 0.988 100
70 599 596 5 0.995 1 0.995 100
114 606 605 2 0.983 0.983 0.983 100
164 607 605 2 0.962 0.962 0.962 100
93 377 378 6 0.989 1 0.966 0
104 381 380 21 0.986 1 0.945 100
144 412 411 67 0.973 1 0.947 96
196 450 449 16 0.9515 1 0.944 46
185 460 449 58 0.957 1 0.934 99
50 500 499 2 0.999 0.999 0.999 33
83 508 507 24 0.992 1 0.985 59
58 516 507 4 0.9975 1 0.995 60
65 519 507 8 0.996 1 0.991 98
201 533 532 11 0.95 1 0.914 100
223 543 532 3 0.927 0.988 0.926 94
65 546 545 2 0.996 0.996 0.996 96
97 549 548 18 0.988 1 0.935 79
84 562 548 5 0.992 0.995 0.989 100
97 570 569 6 0.988 0.997 0.967 96
173 578 577 3 0.939 1 0.939 100
123 596 595 8 0.98 1 0.979 100
45 603 595 2 1 1 1 100
165 605 604 4 0.9655 0.983 0.962 98
45 624 623 2 1 1 1 100
154 378 379 7 0.969 1 0.963 96
110 380 379 22 0.984 1 0.94 100
45 652 651 2 1 1 1 98
145 411 410 70 0.973 1 0.947 89
197 449 448 74 0.951 1 0.926 72
74 496 448 2 0.994 0.994 0.994 100
51 499 498 3 0.999 1 0.999 97
45 502 501 2 1 1 1 100
90 503 501 2 0.99 0.99 0.99 100
84 507 506 43 0.992 1 0.983 99
78 527 526 4 0.993 1 0.993 100
224 532 531 14 0.938 1 0.907 75
70 545 531 3 0.995 0.996 0.995 100
179 548 547 23 0.959 1 0.935 67
194 566 547 2 0.951 0.951 0.951 74
153 569 568 7 0.969 0.997 0.957 94
61 575 568 2 0.997 0.997 0.997 100
174 577 576 4 0.951 1 0.938 99
126 595 594 10 0.979 1 0.971 47
166 604 594 5 0.9655 0.983 0.962 51
210 623 622 3 0.946 1 0.946 62
157 625 622 2 0.968 0.968 0.968 100
135 629 628 2 0.976 0.976 0.976 53
157 379 399 29 0.968 1 0.915 99
93 651 399 3 0.989 1 0.988 100
82 650 649 2 0.992 0.992 0.992 44
154 648 647 2 0.969 0.969 0.969 98
146 410 409 71 0.973 1 0.947 100
199 448 409 76 0.951 1 0.926 97
52 498 497 4 0.999 1 0.997 100
122 501 497 4 0.9805 1 0.976 100
85 506 505 44 0.992 1 0.983 98
45 523 505 2 1 1 1 46
165 525 524 2 0.958 0.958 0.958 99
79 526 524 5 0.993 1 0.969 100
225 531 530 17 0.93 1 0.907 72
195 547 530 25 0.956 1 0.926 68
154 568 567 9 0.9735 0.997 0.957 100
175 576 567 5 0.953 1 0.912 100
167 594 593 15 0.971 1 0.955 98
167 608 593 2 0.964 0.964 0.964 96
212 622 621 5 0.945 1 0.937 48
45 626 621 2 1 1 1 100
141 628 627 3 0.974 0.976 0.974 100
170 399 400 32 0.963 1 0.915 48
83 649 400 3 0.992 0.993 0.991 100
162 647 646 3 0.966 0.969 0.965 52
205 409 408 147 0.948 1 0.923 97
187 497 408 8 0.956 1 0.945 100
