Name_in_phyllo	Name_in_pdist	Name_in_fasta	STRAIN	Genus	Species	ENVIRONMENT	Clade-ref
DNA001	DNA001	DNA001	DNA001	Methylobacterium	sp.	PHYLLOSPHERE	A1
DNA006	DNA006	DNA006	DNA006	Methylobacterium	sp.	PHYLLOSPHERE	A1
DNA007	DNA007	DNA007	DNA007	Methylobacterium	sp.	PHYLLOSPHERE	A6
DNA010	DNA010	DNA010	DNA010	Methylobacterium	sp.	PHYLLOSPHERE	A1
DNA011	DNA011	DNA011	DNA011	Methylobacterium	sp.	PHYLLOSPHERE	A9
DNA012	DNA012	DNA012	DNA012	Methylobacterium	sp.	PHYLLOSPHERE	A9
DNA013	DNA013	DNA013	DNA013	Methylobacterium	sp.	PHYLLOSPHERE	A6
DNA014	DNA014	DNA014	DNA014	Methylobacterium	sp.	PHYLLOSPHERE	A1
DNA018	DNA018	DNA018	DNA018	Methylobacterium	sp.	PHYLLOSPHERE	A1
DNA020	DNA020	DNA020	DNA020	Methylobacterium	sp.	PHYLLOSPHERE	A10
DNA021	DNA021	DNA021	DNA021	Methylobacterium	sp.	PHYLLOSPHERE	A10
DNA024	DNA024	DNA024	DNA024	Methylobacterium	sp.	PHYLLOSPHERE	A1
E_002	E-002	E-002	E-002	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_003	E-003	E-003	E-003	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_005	E-005	E-005	E-005	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_006	E-006	E-006	E-006	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_008	E-008	E-008	E-008	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_009	E-009	E-009	E-009	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_010	E-010	E-010	E-010	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_011	E-011	E-011	E-011	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_012	E-012	E-012	E-012	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_016	E-016	E-016	E-016	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_020	E-020	E-020	E-020	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_021	E-021	E-021	E-021	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_022	E-022	E-022	E-022	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_024	E-024	E-024	E-024	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_025	E-025	E-025	E-025	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_026	E-026	E-026	E-026	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_027	E-027	E-027	E-027	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_028	E-028	E-028	E-028	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_029	E-029	E-029	E-029	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_030	E-030	E-030	E-030	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_033	E-033	E-033	E-033	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_034	E-034	E-034	E-034	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_035	E-035	E-035	E-035	Methylobacterium	sp.	PHYLLOSPHERE	NA
