STRAIN	CLADE	SITE	PLOT	TREE	SPE	BATCH	SAMPLE	TEMP	TIME	TIME14	DATE
DNA001	A1	MSH	MSH-H0	MSH-H0-1	ACSA	Iso-2018	MSH-H0-1-C	20	365	361	17-08-17
DNA006	A1	MSH	MSH-H0	MSH-H0-1	ACSA	Iso-2018	MSH-H0-1-A	30	365	361	17-08-17
DNA007	A6	MSH	MSH-L0	MSH-L0-8	FAGR	Iso-2018	MSH-L0-8-C	20	365	361	17-08-17
DNA010	A1	MSH	MSH-L0	MSH-L0-1	ACSA	Iso-2018	MSH-L0-1-C	30	365	361	17-08-17
DNA011	A9	MSH	MSH-L0	MSH-L0-1	ACSA	Iso-2018	MSH-L0-1-C	30	365	361	17-08-17
DNA012	A9	MSH	MSH-L0	MSH-L0-9	FAGR	Iso-2018	MSH-L0-9-C	20	365	361	17-08-17
DNA013	A6	MSH	MSH-H0	MSH-H0-10	OSVI	Iso-2018	MSH-H0-10-B	20	365	361	17-08-17
DNA014	A1	MSH	MSH-H0	MSH-H0-2	ACSA	Iso-2018	MSH-H0-2-C	20	365	361	17-08-17
DNA018	A1	MSH	MSH-H0	MSH-H0-10	OSVI	Iso-2018	MSH-H0-10-B	20	365	361	17-08-17
DNA020	A10	MSH	MSH-L0	MSH-L0-8	FAGR	Iso-2018	MSH-L0-8-C	20	365	361	17-08-17
DNA021	A10	MSH	MSH-H0	MSH-H0-1	ACSA	Iso-2018	MSH-H0-1-C	30	365	361	17-08-17
DNA024	A1	MSH	MSH-H0	MSH-H0-6	ACPE	Iso-2018	MSH-H0-6-B	20	365	361	17-08-17
E-002	A9	MSH	MSH-06	MSH-06-06	FAGR	Iso-2019-1	MSH-06-06-F	30	386	393	07-09-18
E-003	B	MSH	MSH-01	MSH-01-03	ACSA	Iso-2019-1	MSH-01-03-F	30	386	393	07-09-18
E-005	A9	MSH	MSH-01	MSH-01-01	FAGR	Iso-2019-1	MSH-01-01-F	30	386	393	07-09-18
E-006	A9	SBL	SBL-03	SBL-03-07	ACSA	Iso-2019-1	SBL-03-07-B	30	307	311	20-06-18
E-008	A9	MSH	MSH-03	MSH-03-01	ACSA	Iso-2019-1	MSH-03-01-B	30	314	311	27-06-18
E-009	A9	MSH	MSH-03	MSH-03-01	ACSA	Iso-2019-1	MSH-03-01-B	30	314	311	27-06-18
E-010	A9	SBL	SBL-02	SBL-02-04	ACSA	Iso-2019-1	SBL-02-04-D	30	333	333	16-07-18
E-011	A9	SBL	SBL-03	SBL-03-07	ACSA	Iso-2019-1	SBL-03-07-D	30	333	333	16-07-18
E-012	A9	SBL	SBL-03	SBL-03-07	ACSA	Iso-2019-1	SBL-03-07-D	30	333	333	16-07-18
E-016	A6	MSH	MSH-01	MSH-01-03	ACSA	Iso-2019-1	MSH-01-03-A	20	314	311	27-06-18
E-020	A6	MSH	MSH-03	MSH-03-01	ACSA	Iso-2019-1	MSH-03-01-A	20	314	311	27-06-18
E-021	A9	SBL	SBL-04	SBL-04-03	FAGR	Iso-2019-1	SBL-04-03-A	20	307	311	20-06-18
E-022	A9	MSH	MSH-01	MSH-01-03	ACSA	Iso-2019-1	MSH-01-03-A	30	314	311	27-06-18
E-024	A9	MSH	MSH-06	MSH-06-06	FAGR	Iso-2019-1	MSH-06-06-C	30	354	361	06-08-18
E-025	A6	MSH	MSH-01	MSH-01-03	ACSA	Iso-2019-1	MSH-01-03-C	30	354	361	06-08-18
E-026	A9	SBL	SBL-01	SBL-01-02	FAGR	Iso-2019-1	SBL-01-02-B	30	307	311	20-06-18
E-027	A9	SBL	SBL-01	SBL-01-02	FAGR	Iso-2019-1	SBL-01-02-B	30	307	311	20-06-18
E-028	A9	SBL	SBL-04	SBL-04-03	FAGR	Iso-2019-1	SBL-04-03-D	30	333	333	16-07-18
E-029	A9	SBL	SBL-01	SBL-01-02	FAGR	Iso-2019-1	SBL-01-02-D	30	333	333	16-07-18
E-030	A6	SBL	SBL-01	SBL-01-02	FAGR	Iso-2019-1	SBL-01-02-D	30	333	333	16-07-18
E-033	A9	SBL	SBL-04	SBL-04-03	FAGR	Iso-2019-1	SBL-04-03-H	30	399	393	20-09-18
E-034	A9	SBL	SBL-04	SBL-04-03	FAGR	Iso-2019-1	SBL-04-03-H	30	399	393	20-09-18
E-035	A9	SBL	SBL-01	SBL-01-02	FAGR	Iso-2019-1	SBL-01-02-H	30	399	393	20-09-18
E-037	A6	SBL	SBL-01	SBL-01-02	FAGR	Iso-2019-1	SBL-01-02-C	20	333	333	16-07-18
E-039	A6	SBL	SBL-02	SBL-02-04	ACSA	Iso-2019-1	SBL-02-04-C	20	333	333	16-07-18
E-040	A6	SBL	SBL-04	SBL-04-03	FAGR	Iso-2019-1	SBL-04-03-C	20	333	333	16-07-18
E-041	A6	SBL	SBL-04	SBL-04-03	FAGR	Iso-2019-1	SBL-04-03-C	20	333	333	16-07-18
E-042	A10	MSH	MSH-01	MSH-01-01	FAGR	Iso-2019-1	MSH-01-01-B	20	314	311	27-06-18
E-045	A2	MSH	MSH-01	MSH-01-03	ACSA	Iso-2019-1	MSH-01-03-B	20	314	311	27-06-18
E-046	A9	MSH	MSH-01	MSH-01-03	ACSA	Iso-2019-1	MSH-01-03-B	20	314	311	27-06-18
E-047	A9	SBL	SBL-03	SBL-03-07	ACSA	Iso-2019-1	SBL-03-07-B	20	307	311	20-06-18
E-048	B	SBL	SBL-03	SBL-03-07	ACSA	Iso-2019-1	SBL-03-07-B	20	307	311	20-06-18
E-061	A10	MSH	MSH-01	MSH-01-01	FAGR	Iso-2019-1	MSH-01-01-E	30	386	393	07-09-18
E-062	A9	SBL	SBL-03	SBL-03-07	ACSA	Iso-2019-1	SBL-03-07-B	20	307	311	20-06-18
E-063	A6	SBL	SBL-01	SBL-01-02	FAGR	Iso-2019-1	SBL-01-02-C	20	333	333	16-07-18
E-064	B	SBL	SBL-04	SBL-04-03	FAGR	Iso-2019-1	SBL-04-03-H	30	399	393	20-09-18
E-065	A9	SBL	SBL-04	SBL-04-03	FAGR	Iso-2019-1	SBL-04-03-F	30	364	361	16-08-18
E-066	A9	SBL	SBL-01	SBL-01-02	FAGR	Iso-2019-1	SBL-01-02-D	30	333	333	16-07-18
E-101	A9	SBL	SBL-01	SBL-01-10	ABBA	Iso-2019-2	SBL-01-10-D	30	333	333	16-07-18
E-102	A9	SBL	SBL-01	SBL-01-10	ABBA	Iso-2019-2	SBL-01-10-D	30	333	333	16-07-18
E-103	A6	MSH	MSH-04	MSH-04-07	QURU	Iso-2019-2	MSH-04-07-B	30	314	311	27-06-18
E-104	A9	MSH	MSH-04	MSH-04-02	ACSA	Iso-2019-2	MSH-04-02-B	30	314	311	27-06-18
E-105	A6	MSH	MSH-04	MSH-04-02	ACSA	Iso-2019-2	MSH-04-02-B	30	314	311	27-06-18
E-106	A6	MSH	MSH-04	MSH-04-02	ACSA	Iso-2019-2	MSH-04-02-B	30	314	311	27-06-18
E-107	A9	MSH	MSH-04	MSH-04-04	OSVI	Iso-2019-2	MSH-04-04-B	30	314	311	27-06-18
E-109	A9	MSH	MSH-04	MSH-04-03	ACSA	Iso-2019-2	MSH-04-03-B	30	314	311	27-06-18
E-112	A6	MSH	MSH-01	MSH-01-02	FAGR	Iso-2019-2	MSH-01-02-B	30	314	311	27-06-18
E-114	A9	SBL	SBL-01	SBL-01-07	ACPE	Iso-2019-2	SBL-01-07-D	30	333	333	16-07-18
E-115	A9	SBL	SBL-04	SBL-04-07	ACRU	Iso-2019-2	SBL-04-07-D	30	333	333	16-07-18
E-116	A9	SBL	SBL-04	SBL-04-07	ACRU	Iso-2019-2	SBL-04-07-D	30	333	333	16-07-18
E-119	A9	MSH	MSH-03	MSH-03-03	ACSA	Iso-2019-2	MSH-03-03-B	30	314	311	27-06-18
E-120	A6	MSH	MSH-01	MSH-01-04	ACSA	Iso-2019-2	MSH-01-04-B	30	314	311	27-06-18
E-121	A9	MSH	MSH-01	MSH-01-04	ACSA	Iso-2019-2	MSH-01-04-B	30	314	311	27-06-18
E-123	A5b	SBL	SBL-01	SBL-01-03	ACRU	Iso-2019-2	SBL-01-03-D	30	333	333	16-07-18
E-124	A9	SBL	SBL-04	SBL-04-04	ABBA	Iso-2019-2	SBL-04-04-D	30	333	333	16-07-18
E-125	A9	SBL	SBL-04	SBL-04-04	ABBA	Iso-2019-2	SBL-04-04-D	30	333	333	16-07-18
E-126	A9	SBL	SBL-03	SBL-03-03	ABBA	Iso-2019-2	SBL-03-03-D	30	333	333	16-07-18
E-127	A9	SBL	SBL-03	SBL-03-03	ABBA	Iso-2019-2	SBL-03-03-D	30	333	333	16-07-18
