"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21"
"METH.PL1.rpoB" "METH" "METH-00-00-00" "METH" "METH" "METH" "METH" "METH" "0" "METH" "0" "METH" "METH" "METH" "METH" "METH" "METH" "METH.PL1.rpoB" "PL_01" "rpoB-PL1" "S517" "N724"
"Meth.PL2.rpoB" "METH" "METH-00-00-00" "METH" "METH" "METH" "METH" "METH" "0" "METH" "0" "METH" "METH" "METH" "METH" "METH" "METH" "Meth.PL2.rpoB" "PL_02" "rpoB-PL2" "S515" "N724"
"METH.rpoB.PL3" "METH" "METH-00-00-00" "METH" "METH" "METH" "METH" "METH" "0" "METH" "0" "METH" "METH" "METH" "METH" "METH" "METH" "METH.rpoB.PL3" "PL_03" "rpoB-PL3" "S516" "N727"
"METH" "METH" "METH-00-00-00" "METH" "METH" "METH" "METH" "METH" "0" "METH" "0" "METH" "METH" "METH" "METH" "METH" "METH" "METH" "PL_04" "rpoB-PL4" "S521" "N728"
"T04.rpoB.1.step" "T04" "SBL-04-01-C" "SBL" "4" "1" "Abies_balsamea" "C" "43297" "Emilie" "43300" "Phosphate" "4" "4" "70" "SBL-43300-4" "Batch_00" "T04.rpoB.1.step" "PL_00" "rpoB-1-step" "S520" "N724"
"T07.rpoB.1.step" "T07" "SBL-01-04-F" "SBL" "1" "4" "Acer_rubrum" "F" "43328" "JBL" "43329" "Phosphate" "4" "6" "79" "SBL-43329-4" "Batch_00" "T07.rpoB.1.step" "PL_00" "rpoB-1-step" "S521" "N724"
"T09.rpoB.1.step" "T09" "MSH-01-04-E" "MSH" "1" "4" "Acer_saccharum" "E" "43350" "JBL" "43351" "Phosphate" "4" "10" "70" "MSH-43351-4" "Batch_00" "T09.rpoB.1.step" "PL_00" "rpoB-1-step" "S522" "N724"
"T10.rpoB.1.step" "T10" "MSH-05-03-F" "MSH" "5" "3" "Acer_saccharum" "F" "43350" "JBL" "43351" "Phosphate" "4" "10" "83" "MSH-43351-4" "Batch_00" "T10.rpoB.1.step" "PL_00" "rpoB-1-step" "S520" "N726"
"T11.rpoB.1.step" "T11" "SBL-02-04-G" "SBL" "2" "4" "Acer_saccharum" "G" "43363" "JBL" "43364" "Phosphate" "3" "8" "76" "SBL-43364-3" "Batch_00" "T11.rpoB.1.step" "PL_00" "rpoB-1-step" "S521" "N726"
"T12.rpoB.1.step" "T12" "MSH-05-04-G" "MSH" "5" "4" "Querbus_rubra" "G" "43391" "JBL&Emilie" "43392" "Phosphate" "3" "14" "57" "MSH-43392-3" "Batch_00" "T12.rpoB.1.step" "PL_00" "rpoB-1-step" "S522" "N726"
"T102.PL1.rpoB" "T102" "MSH-04-01-C" "MSH" "4" "1" "Ostria_virginiana" "C" "43318" "JBL" "43319" "Phosphate" "2" "12" "44" "MSH-43319-2" "Batch_05" "T102.PL1.rpoB" "PL_01" "rpoB-PL1" "S515" "N724"
"T114.PL1.rpoB" "T114" "SBL-04-04-E" "SBL" "4" "4" "Abies_balsamea" "E" "43328" "JBL" "43329" "Phosphate" "3" "6" "63" "SBL-43329-3" "Batch_05" "T114.PL1.rpoB" "PL_01" "rpoB-PL1" "S516" "N726"
"T126.PL1.rpoB" "T126" "MSH-06-06-E" "MSH" "6" "6" "Fagus_grandifolia" "E" "43350" "JBL" "43351" "Phosphate" "2" "10" "24" "MSH-43351-2" "Batch_06" "T126.PL1.rpoB" "PL_01" "rpoB-PL1" "S513" "N726"
"T128.PL1.rpoB" "T128" "MSH-04-06-G" "MSH" "4" "6" "Querbus_rubra" "G" "43391" "JBL&Emilie" "43392" "Phosphate" "1" "14" "28" "MSH-43392-1" "Batch_06" "T128.PL1.rpoB" "PL_01" "rpoB-PL1" "S515" "N729"
"T129.PL1.rpoB" "T129" "MSH-01-04-C" "MSH" "1" "4" "Acer_saccharum" "C" "43318" "JBL" "43319" "Phosphate" "2" "12" "32" "MSH-43319-2" "Batch_06" "T129.PL1.rpoB" "PL_01" "rpoB-PL1" "S516" "N727"
"T137.PL1.rpoB" "T137" "SBL-02-01-G" "SBL" "2" "1" "Acer_pennsylcanicum" "G" "43363" "JBL" "43364" "Phosphate" "3" "8" "61" "SBL-43364-3" "Batch_06" "T137.PL1.rpoB" "PL_01" "rpoB-PL1" "S515" "N727"
"T139.PL1.rpoB" "T139" "SBL-03-03-A" "SBL" "3" "3" "Abies_balsamea" "A" "43271" "JBL" "43273" "Phosphate" "4" "2" "67" "SBL-43273-4" "Batch_06" "T139.PL1.rpoB" "PL_06" "rpoB-PL1" "S516" "N723"
"T142.PL1.rpoB" "T142" "SBL-01-10-G" "SBL" "1" "10" "Abies_balsamea" "G" "43363" "JBL" "43364" "Phosphate" "3" "8" "74" "SBL-43364-3" "Batch_06" "T142.PL1.rpoB" "PL_01" "rpoB-PL1" "S521" "N729"
"T145.PL1.rpoB" "T145" "SBL-04-01-E" "SBL" "4" "1" "Abies_balsamea" "E" "43328" "JBL" "43329" "Phosphate" "1" "6" "03" "SBL-43329-1" "Batch_07" "T145.PL1.rpoB" "PL_01" "rpoB-PL1" "S522" "N729"
"T151.PL1.rpoB" "T151" "SBL-01-04-E" "SBL" "1" "4" "Acer_rubrum" "E" "43328" "JBL" "43329" "Phosphate" "1" "6" "18" "SBL-43329-1" "Batch_07" "T151.PL1.rpoB" "PL_01" "rpoB-PL1" "S517" "N726"
"T157.PL1.rpoB" "T157" "MSH-04-07-G" "MSH" "4" "7" "Querbus_rubra" "G" "43391" "JBL&Emilie" "43392" "Phosphate" "2" "14" "43" "MSH-43392-2" "Batch_07" "T157.PL1.rpoB" "PL_01" "rpoB-PL1" "S513" "N729"
"T158.PL1.rpoB" "T158" "SBL-02-06-A" "SBL" "2" "6" "Abies_balsamea" "A" "43271" "JBL" "43273" "Phosphate" "3" "2" "44" "SBL-43273-3" "Batch_07" "T158.PL1.rpoB" "PL_01" "rpoB-PL1" "S522" "N728"
"T163.PL1.rpoB" "T163" "MSH-01-05-C" "MSH" "1" "5" "Fagus_grandifolia" "C" "43318" "JBL" "43320" "Phosphate" "3" "12" "66" "MSH-43320-3" "Batch_07" "T163.PL1.rpoB" "PL_01" "rpoB-PL1" "S516" "N729"
"T166.PL1.rpoB" "T166" "MSH-04-05-E" "MSH" "4" "5" "Querbus_rubra" "E" "43350" "JBL" "43351" "Phosphate" "4" "10" "82" "MSH-43351-4" "Batch_07" "T166.PL1.rpoB" "PL_01" "rpoB-PL1" "S515" "N728"
"T174.PL1.rpoB" "T174" "MSH-02-01-E" "MSH" "2" "1" "Acer_saccharum" "E" "43350" "JBL" "43351" "Phosphate" "1" "10" "19" "MSH-43351-1" "Batch_08" "T174.PL1.rpoB" "PL_01" "rpoB-PL1" "S513" "N727"
"T175.PL1.rpoB" "T175" "MSH-02-06-G" "MSH" "2" "6" "Acer_saccharum" "G" "43391" "JBL&Emilie" "43392" "Phosphate" "1" "14" "21" "MSH-43392-1" "Batch_08" "T175.PL1.rpoB" "PL_05" "rpoB-PL1" "S520" "N726"
"T177.PL1.rpoB" "T177" "SBL-04-06-E" "SBL" "4" "6" "Abies_balsamea" "E" "43328" "JBL" "43329" "Phosphate" "1" "6" "23" "SBL-43329-1" "Batch_08" "T177.PL1.rpoB" "PL_01" "rpoB-PL1" "S518" "N724"
"T178.PL1.rpoB" "T178" "SBL-04-08-G" "SBL" "4" "8" "Acer_rubrum" "G" "43363" "JBL" "43364" "Phosphate" "1" "8" "26" "SBL-43364-1" "Batch_08" "T178.PL1.rpoB" "PL_01" "rpoB-PL1" "S517" "N729"
