"METH.PL1.rpoB" "Meth.PL2.rpoB" "METH.rpoB.PL3" "METH"
"METH-1-F=2_0_0_0" 2 0 0 0
"METH-2-F=229_233_181_195" 229 233 181 195
"METH-3-F=1_2_2_1" 1 2 2 1
"METH-4-F=0_1_0_0" 0 1 0 0
"METH-5-F=47_41_56_55" 47 41 56 55
"METH-6-F=0_1_1_0" 0 1 1 0
"METH-7-F=0_0_2_2" 0 0 2 2
"METH-8-F=95_78_64_85" 95 78 64 85
"METH-9-F=0_2_1_0" 0 2 1 0
"METH-10-F=0_1_0_0" 0 1 0 0
"METH-11-F=0_0_0_1" 0 0 0 1
"METH-12-F=0_0_1_0" 0 0 1 0
"METH-13-F=294_374_295_288" 294 374 295 288
"METH-14-F=257_239_384_310" 257 239 384 310
"METH-15-F=0_3_1_0" 0 3 1 0
"METH-16-F=635_622_655_659" 635 622 655 659
"METH-17-F=0_1_1_0" 0 1 1 0
"METH-18-F=1_0_0_0" 1 0 0 0
"METH-19-F=19_13_14_44" 19 13 14 44
"METH-20-F=166_130_154_145" 166 130 154 145
"METH-21-F=0_0_0_1" 0 0 0 1
"METH-22-F=0_0_2_0" 0 0 2 0
"METH-23-F=2_1_0_0" 2 1 0 0
"METH-24-F=261_247_204_226" 261 247 204 226
"METH-25-F=100_56_87_103" 100 56 87 103
"METH-26-F=130_147_154_136" 130 147 154 136
"METH-27-F=69_36_69_100" 69 36 69 100
"METH-28-F=123_122_103_99" 123 122 103 99
"METH-29-F=166_167_166_119" 166 167 166 119
"METH-30-F=0_0_1_0" 0 0 1 0
"METH-31-F=78_51_79_53" 78 51 79 53
"METH-32-F=1_0_0_0" 1 0 0 0
"METH-33-F=111_131_145_152" 111 131 145 152
"METH-34-F=0_0_2_0" 0 0 2 0
"METH-35-F=0_0_1_0" 0 0 1 0
"METH-36-F=88_197_70_127" 88 197 70 127
"METH-37-F=99_89_80_83" 99 89 80 83
"METH-38-F=0_0_0_2" 0 0 0 2
"METH-39-F=0_0_1_0" 0 0 1 0
"METH-40-F=2_0_0_0" 2 0 0 0
"METH-41-F=0_0_1_0" 0 0 1 0
"METH-42-F=7_3_2_3" 7 3 2 3
"METH-43-F=0_0_1_0" 0 0 1 0
"METH-44-F=17_12_19_11" 17 12 19 11
"METH-45-F=0_0_1_0" 0 0 1 0
