"input" "filtered" "denoisedF" "denoisedR" "merged" "NoChim"
"T04.rpoB.1.step" 57486 15036 14739 14672 14397 7062
"T07.rpoB.1.step" 25763 7253 7229 7220 7207 6625
"T09.rpoB.1.step" 35045 9105 8940 8783 8658 6993
"T10.rpoB.1.step" 35963 8010 7885 7826 7763 7477
"T11.rpoB.1.step" 58172 14115 13892 13842 13697 10116
"T12.rpoB.1.step" 28816 6595 6507 6469 6437 6270
"METH.PL1.rpoB" 29969 18955 18920 18855 18823 11500
"T102.PL1.rpoB" 25070 15264 15125 15123 15002 10276
"T109.PL1.rpoB" 1507 206 182 177 166 100
"T114.PL1.rpoB" 32083 19824 19529 19505 19241 10198
"T126.PL1.rpoB" 30100 17983 17686 17411 17206 10018
"T128.PL1.rpoB" 46379 29335 29034 29049 28770 18683
"T129.PL1.rpoB" 25837 16124 16010 16025 15928 12380
"T137.PL1.rpoB" 32529 20674 20301 20188 19892 10353
"T139.PL1.rpoB" 42479 26161 25788 25681 25353 12727
"T142.PL1.rpoB" 38535 25107 24746 24599 24292 11411
"T145.PL1.rpoB" 36554 23911 23632 23554 23310 12543
"T151.PL1.rpoB" 24455 13972 13865 13720 13630 9378
"T157.PL1.rpoB" 27042 16589 16336 16273 16052 10114
"T158.PL1.rpoB" 37260 23693 23444 23416 23197 12226
"T163.PL1.rpoB" 24429 15326 15240 15103 15036 10440
"T166.PL1.rpoB" 26817 17315 17028 16945 16719 11420
"T174.PL1.rpoB" 27189 16489 16239 16124 15918 9909
"T175.PL1.rpoB" 33777 20779 19987 19544 18940 9992
"T177.PL1.rpoB" 33005 20946 20704 20629 20414 10445
"T178.PL1.rpoB" 30780 18909 18694 18666 18484 11356
"T181.PL1.rpoB" 29796 17137 16924 16792 16624 10521
"T190.PL1.rpoB" 21371 12853 12802 12813 12770 10706
"T194.PL1.rpoB" 42019 28543 28282 28258 28027 14742
"T198.PL1.rpoB" 26770 14778 14506 14371 14164 8804
"T216.PL1.rpoB" 32034 20684 20254 20192 19814 10386
"T218.PL1.rpoB" 33351 20973 20667 20503 20255 11172
"T21.PL1.rpoB" 29448 17370 17141 17026 16851 10869
"T229.PL1.rpoB" 22082 12760 12680 12592 12533 8895
"T231.PL1.rpoB" 29128 17121 16892 16712 16542 8499
"T232.PL1.rpoB" 15355 9083 9033 9024 8987 8121
"T28.PL1.rpoB" 26165 16668 16420 16299 16092 11374
"T37.PL1.rpoB" 46436 29215 28755 28553 28176 13352
"T47.PL1.rpoB" 32741 19899 19590 19578 19323 11465
"T48.PL1.rpoB" 38372 25107 24662 24491 24122 12398
"T49.PL1.rpoB" 22938 14034 13941 13900 13819 10701
"T52.PL1.rpoB" 23605 13722 13502 13426 13255 7803
"T65.PL1.rpoB" 18420 11399 11304 11214 11140 8994
"T72.PL1.rpoB" 26523 16476 16282 16194 16026 10495
"T77.PL1.rpoB" 30827 19032 18681 18527 18260 11124
"T80.PL1.rpoB" 26248 15825 15604 15571 15396 9190
"T81.PL1.rpoB" 25976 15389 15230 15157 15044 11285
"T86.PL1.rpoB" 15108 8920 8903 8860 8848 8535
"T87.PL1.rpoB" 29682 18507 18399 18398 18302 13683
"T89.PL1.rpoB" 31637 16564 16466 16355 16282 10983
"T92.PL1.rpoB" 34171 21215 20967 20826 20617 10271
"T94.PL1.rpoB" 27548 16415 16269 16241 16124 11314
"T97.PL1.rpoB" 22574 13370 13322 13285 13258 11377
"T98.PL1.rpoB" 21135 11884 11707 11514 11391 6813
"Meth.PL2.rpoB" 13368 10448 10418 10362 10334 6129
"T100.PL2.rpoB" 13758 10009 9982 9983 9964 9319
"T106.PL2.rpoB" 11364 8255 8196 8150 8105 5358
"T107.PL2.rpoB" 14763 10529 10370 10325 10188 5412
"T117.PL2.rpoB" 21508 11630 11577 11521 11486 9874
"T120.PL2.rpoB" 23824 16108 15946 15849 15715 8365
"T123.PL2.rpoB" 14452 10864 10650 10522 10356 5657
"T124.PL2.rpoB" 14804 11031 10919 10931 10832 6951
"T127.PL2.rpoB" 17538 13010 12812 12736 12564 5619
"T131.PL2.rpoB" 467 57 43 45 36 25
"T133.PL2.rpoB" 14357 10759 10504 10342 10136 5155
"T141.PL2.rpoB" 13598 9405 9244 9165 9028 5557
"T143.PL2.rpoB" 13129 9566 9490 9436 9375 6910
"T146.PL2.rpoB" 18988 13401 13237 13112 12974 6647
"T150.PL2.rpoB" 12452 8952 8860 8765 8706 5907
"T152.PL2.rpoB" 14535 11041 10938 10922 10834 6901
"T15.PL2.rpoB" 15246 11378 11271 11149 11060 5656
"T161.PL2.rpoB" 7570 5186 5155 5165 5136 4996
"T165.PL2.rpoB" 13820 10200 10110 10072 10003 6554
"T168.PL2.rpoB" 11164 8298 8150 8039 7919 4245
"T170.PL2.rpoB" 14801 9096 9022 8971 8924 6365
"T176.PL2.rpoB" 10536 7828 7783 7797 7757 6988
"T182.PL2.rpoB" 11582 8687 8641 8644 8605 7688
"T183.PL2.rpoB" 8960 5907 5843 5866 5809 5183
"T18.PL2.rpoB" 21320 16423 16124 16036 15785 8103
"T197.PL2.rpoB" 15210 10184 10049 9913 9810 4921
"T202.PL2.rpoB" 10405 7644 7606 7609 7574 6676
"T204.PL2.rpoB" 14643 10895 10735 10694 10560 5299
"T209.PL2.rpoB" 10197 7340 7325 7313 7305 6242
"T210.PL2.rpoB" 12827 9515 9467 9453 9420 7568
"T211.PL2.rpoB" 15280 11357 11167 11115 10965 5710
"T214.PL2.rpoB" 9936 7287 7199 7236 7158 6427
"T220.PL2.rpoB" 15122 11002 10938 10913 10861 8122
"T222.PL2.rpoB" 16767 12470 12319 12201 12079 7564
"T225.PL2.rpoB" 11621 8661 8550 8486 8395 5429
"T230.PL2.rpoB" 7510 5156 5144 5122 5117 4989
"T23.PL2.rpoB" 12670 9082 9074 9016 9014 8720
"T33.PL2.rpoB" 15030 10394 10269 10234 10122 6427
"T39.PL2.rpoB" 16220 8960 8909 8891 8854 7974
"T44.PL2.rpoB" 15489 11411 11285 11129 11037 5609
"T54.PL2.rpoB" 11559 8600 8549 8567 8526 7569
"T55.PL2.rpoB" 23738 17597 17224 17118 16819 8008
"T60.PL2.rpoB" 11620 8589 8472 8464 8366 5194
"T64.PL2.rpoB" 14527 10691 10545 10455 10332 5290
"T73.PL2.rpoB" 15297 10107 9975 9922 9824 5432
"T76.PL2.rpoB" 9036 5546 5505 5481 5454 3935
"T88.PL2.rpoB" 13407 9966 9803 9785 9659 6992
"T93.PL2.rpoB" 13208 9634 9575 9554 9507 7828
"METH.rpoB.PL3" 36358 29548 29414 29400 29268 17602
"T101.rpoB.PL3" 69921 47731 47138 47057 46514 24462
"T103.rpoB.PL3" 48115 37780 37522 37473 37240 20726
"T105.rpoB.PL3" 33802 20726 20499 20481 20287 12579
"T108.rpoB.PL3" 36881 29537 29236 29054 28789 15214
"T115.rpoB.PL3" 38224 30603 30302 30121 29875 15770
"T116.rpoB.PL3" 27788 20582 20425 20380 20245 14144
"T121.rpoB.PL3" 47423 25440 25325 25271 25184 18811
"T122.rpoB.PL3" 42103 33645 33170 32974 32571 15811
"T125.rpoB.PL3" 45493 36345 35965 35929 35575 18999
"T130.rpoB.PL3" 32662 24350 24193 24210 24066 17441
"T138.rpoB.PL3" 36728 29615 29345 29228 28995 15940
"T148.rpoB.PL3" 38932 30605 30303 30138 29907 16205
"T153.rpoB.PL3" 27604 20705 20530 20563 20406 14626
"T155.rpoB.PL3" 37012 29061 28774 28636 28401 15716
"T159.rpoB.PL3" 23490 16184 16073 16079 15992 12235
"T160.rpoB.PL3" 31776 22394 22277 22180 22071 15732
"T169.rpoB.PL3" 41318 32537 32387 32302 32171 19755
"T171.rpoB.PL3" 32601 25779 25701 25636 25568 16741
"T17.rpoB.PL3" 49983 37636 37303 37165 36875 18955
"T184.rpoB.PL3" 31240 21810 21708 21713 21626 18197
"T192.rpoB.PL3" 42063 33704 33366 33231 32931 15213
"T195.rpoB.PL3" 36384 29177 28701 28443 28037 14998
"T199.rpoB.PL3" 51852 32769 32602 32499 32358 19389
"T203.rpoB.PL3" 67175 36605 36358 36416 36183 25807
"T206.rpoB.PL3" 31446 25211 25084 25066 24946 16220
"T212.rpoB.PL3" 26898 19351 19218 19166 19044 14883
"T215.rpoB.PL3" 34671 27399 27253 27216 27093 18610
"T217.rpoB.PL3" 18005 10104 10094 10086 10079 9942
"T223.rpoB.PL3" 49184 36839 36266 35999 35522 18036
"T233.rpoB.PL3" 60131 49036 48409 48339 47791 23227
"T26.rpoB.PL3" 40849 31168 31043 31063 30952 22554
"T27.rpoB.PL3" 38004 26685 26517 26553 26415 18141
"T35.rpoB.PL3" 34499 25466 25377 25352 25277 22428
"T36.rpoB.PL3" 22905 17500 17475 17453 17437 15656
"T38.rpoB.PL3" 21994 16157 16135 16119 16108 14773
"T45.rpoB.PL3" 31726 21200 21031 21002 20859 13189
"T51.rpoB.PL3" 32625 26781 26584 26508 26331 14032
"T53.rpoB.PL3" 29611 22952 21817 21586 20659 12177
"T67.rpoB.PL3" 33773 26620 26443 26428 26275 16286
"T68.rpoB.PL3" 30547 23651 23515 23505 23385 15009
"T75.rpoB.PL3" 32501 25698 25506 25472 25313 15295
"T79.rpoB.PL3" 44502 35135 34819 34703 34430 17451
"T83.rpoB.PL3" 70039 48977 48443 48296 47830 23830
"T85.rpoB.PL3" 3039 56 37 35 32 18
"T91.rpoB.PL3" 34452 23929 23697 23672 23491 14670
"T96.rpoB.PL3" 56348 36754 36472 36378 36125 20048
"T99.rpoB.PL3" 32282 24573 24488 24452 24372 18223
"METH" 37491 30474 30371 30323 30225 20430
"T104" 27705 19883 19805 19756 19691 14451
"T110" 37831 26346 26184 26141 26003 19552
"T111" 41157 29465 29159 29043 28769 15289
"T112" 49554 38875 38510 38420 38089 18743
"T113" 38861 27907 27721 27701 27530 18538
"T118" 36052 27740 27468 27430 27184 17527
"T134" 49158 38702 38314 38209 37858 19859
"T135" 39343 23045 22851 22927 22742 15205
"T136" 25845 19295 19266 19240 19217 17663
"T13" 30150 23011 22915 22910 22831 16111
"T149" 35465 27290 27057 27142 26917 20795
"T14" 50746 38878 38642 38569 38347 24227
"T162" 37898 21304 20862 20902 20528 15930
"T164" 47488 38139 37553 37487 36948 16826
"T167" 44976 34735 34407 34413 34108 19206
"T172" 46637 33733 33359 33233 32904 16126
"T173" 28057 21074 20981 20948 20860 16438
"T179" 39127 30035 29744 29698 29440 18842
"T185" 35879 23169 23048 22925 22816 12983
"T187" 49804 40795 40326 40045 39630 19410
"T188" 38971 25039 24741 24682 24435 13828
"T189" 27321 19865 19794 19744 19685 15857
"T191" 44365 33977 33660 33475 33200 19495
"T193" 50134 37047 36710 36441 36142 18754
"T196" 44941 34742 34304 34124 33747 15515
"T201" 60912 48280 47782 47573 47125 24806
"T207" 39680 26248 25915 25748 25468 15390
"T208" 43678 32469 32231 32113 31900 18860
"T20" 25192 18241 18170 18185 18122 15706
"T213" 34088 27133 26825 26762 26476 14715
"T219" 35846 27131 26980 26957 26818 17624
"T221" 28870 20319 20166 20004 19884 10408
"T224" 38667 29691 29436 29282 29053 17491
"T226" 26891 19635 19626 19595 19590 19024
"T227" 3890 17 16 12 12 7
"T228" 37295 27675 27428 27389 27158 17738
"T42" 21819 15648 15626 15617 15603 15173
"T50" 32057 25587 25313 25310 25072 15161
"T56" 48203 38277 37854 37799 37436 20507
"T57" 50509 40177 39772 39674 39321 20269
"T61" 43326 34107 33835 33650 33425 17464
"T62" 31052 21141 21097 21070 21031 16573
"T66" 23713 16927 16880 16887 16844 14444
"T74" 43522 34495 34201 34125 33851 17983
"T78" 41494 33126 32750 32604 32277 17128
"T82" 54833 43157 42816 42743 42436 20528
"T90" 59932 48909 48427 48432 47986 23596
