"input" "filtered" "denoisedF" "denoisedR" "merged"
"METH-rpoB-PL3" 36358 29548 29414 29400 29268
"T101-rpoB-PL3" 69921 47731 47138 47057 46514
"T103-rpoB-PL3" 48115 37780 37522 37473 37240
"T105-rpoB-PL3" 33802 20726 20499 20481 20287
"T108-rpoB-PL3" 36881 29537 29236 29054 28789
"T115-rpoB-PL3" 38224 30603 30302 30121 29875
"T116-rpoB-PL3" 27788 20582 20425 20380 20245
"T121-rpoB-PL3" 47423 25440 25325 25271 25184
"T122-rpoB-PL3" 42103 33645 33170 32974 32571
"T125-rpoB-PL3" 45493 36345 35965 35929 35575
"T130-rpoB-PL3" 32662 24350 24193 24210 24066
"T138-rpoB-PL3" 36728 29615 29345 29228 28995
"T148-rpoB-PL3" 38932 30605 30303 30138 29907
"T153-rpoB-PL3" 27604 20705 20530 20563 20406
"T155-rpoB-PL3" 37012 29061 28774 28636 28401
"T159-rpoB-PL3" 23490 16184 16073 16079 15992
"T160-rpoB-PL3" 31776 22394 22277 22180 22071
"T169-rpoB-PL3" 41318 32537 32387 32302 32171
"T171-rpoB-PL3" 32601 25779 25701 25636 25568
"T17-rpoB-PL3" 49983 37636 37303 37165 36875
"T184-rpoB-PL3" 31240 21810 21708 21713 21626
"T192-rpoB-PL3" 42063 33704 33366 33231 32931
"T195-rpoB-PL3" 36384 29177 28701 28443 28037
"T199-rpoB-PL3" 51852 32769 32602 32499 32358
"T203-rpoB-PL3" 67175 36605 36358 36416 36183
"T206-rpoB-PL3" 31446 25211 25084 25066 24946
"T212-rpoB-PL3" 26898 19351 19218 19166 19044
"T215-rpoB-PL3" 34671 27399 27253 27216 27093
"T217-rpoB-PL3" 18005 10104 10094 10086 10079
"T223-rpoB-PL3" 49184 36839 36266 35999 35522
"T233-rpoB-PL3" 60131 49036 48409 48339 47791
"T26-rpoB-PL3" 40849 31168 31043 31063 30952
"T27-rpoB-PL3" 38004 26685 26517 26553 26415
"T35-rpoB-PL3" 34499 25466 25377 25352 25277
"T36-rpoB-PL3" 22905 17500 17475 17453 17437
"T38-rpoB-PL3" 21994 16157 16135 16119 16108
"T45-rpoB-PL3" 31726 21200 21031 21002 20859
"T51-rpoB-PL3" 32625 26781 26584 26508 26331
"T53-rpoB-PL3" 29611 22952 21817 21586 20659
"T67-rpoB-PL3" 33773 26620 26443 26428 26275
"T68-rpoB-PL3" 30547 23651 23515 23505 23385
"T75-rpoB-PL3" 32501 25698 25506 25472 25313
"T79-rpoB-PL3" 44502 35135 34819 34703 34430
"T83-rpoB-PL3" 70039 48977 48443 48296 47830
"T85-rpoB-PL3" 3039 56 37 35 32
"T91-rpoB-PL3" 34452 23929 23697 23672 23491
"T96-rpoB-PL3" 56348 36754 36472 36378 36125
"T99-rpoB-PL3" 32282 24573 24488 24452 24372
