"Type" "ASVs-before-TH" "Seq-before-TH" "ASVs-before-raref" "Seq-before-raref" "ASVs-final" "Seq-final"
"T109.PL1.rpoB" "neg" "25" "100" "25" "100" NA NA
"T131.PL2.rpoB" "neg" "14" "25" "14" "25" NA NA
"T85.rpoB.PL3" "neg" "12" "18" "12" "18" NA NA
"T227" "neg" "6" "7" "6" "7" NA NA
"METH.PL1.rpoB" "meth" "68" "11500" "34" "11270" "26" "3000"
"Meth.PL2.rpoB" "meth" "48" "6129" "30" "6025" "28" "3000"
"METH.rpoB.PL3" "meth" "174" "17602" "73" "17255" "35" "3000"
"METH" "meth" "75" "20430" "37" "20140" "25" "3000"
"T04.rpoB.1.step" "sample" "294" "7062" "114" "6145" "113" "3000"
"T07.rpoB.1.step" "sample" "63" "6625" "47" "6448" "47" "3000"
"T09.rpoB.1.step" "sample" "219" "6993" "91" "5640" "89" "3000"
"T10.rpoB.1.step" "sample" "150" "7477" "69" "6542" "69" "3000"
"T11.rpoB.1.step" "sample" "231" "10116" "91" "8633" "90" "3000"
"T12.rpoB.1.step" "sample" "134" "6270" "77" "5621" "76" "3000"
"T102.PL1.rpoB" "sample" "339" "10276" "141" "8895" "128" "3000"
"T114.PL1.rpoB" "sample" "647" "10198" "235" "7939" "207" "3000"
"T126.PL1.rpoB" "sample" "768" "10018" "227" "8001" "203" "3000"
"T128.PL1.rpoB" "sample" "516" "18683" "167" "15113" "147" "3000"
"T129.PL1.rpoB" "sample" "286" "12380" "134" "10048" "127" "3000"
"T137.PL1.rpoB" "sample" "918" "10353" "318" "8592" "279" "3000"
"T139.PL1.rpoB" "sample" "894" "12727" "271" "10017" "234" "3000"
"T142.PL1.rpoB" "sample" "828" "11411" "254" "9175" "231" "3000"
"T145.PL1.rpoB" "sample" "689" "12543" "259" "10484" "221" "3000"
"T151.PL1.rpoB" "sample" "450" "9378" "190" "7557" "187" "3000"
"T157.PL1.rpoB" "sample" "669" "10114" "194" "7331" "183" "3000"
"T158.PL1.rpoB" "sample" "729" "12226" "266" "10529" "224" "3000"
"T163.PL1.rpoB" "sample" "508" "10440" "192" "8055" "176" "3000"
"T166.PL1.rpoB" "sample" "676" "11420" "192" "8248" "188" "3000"
"T174.PL1.rpoB" "sample" "681" "9909" "227" "7528" "211" "3000"
"T175.PL1.rpoB" "sample" "803" "9992" "181" "7626" "166" "3000"
