"Kingdom" "Phyllum" "Class" "Order" "Family" "Genus" "Species"
"1" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "RHgroup" NA
"2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" "Methylobacterium-clade-A9"
"3" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "RHgroup" NA
"4" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"5" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "RHgroup" NA
"6" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" "Methylobacterium-clade-A6"
"7" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" NA
"8" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "RHgroup" NA
"9" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"10" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_ramalinae"
"11" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" "Methylobacterium-clade-A9"
"12" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" "Methylobacterium-clade-A6"
"13" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" "Methylobacterium-clade-A9"
"14" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"15" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"16" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "RHgroup" NA
"17" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" NA
"18" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"19" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"20" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" "Methylobacterium-clade-A9"
