"Kingdom" "Phyllum" "Class" "Order" "Family" "Genus" "Species"
"1" 100 100 100 96 67 66 29
"2" 100 100 100 100 100 100 100
"3" 100 100 100 92 75 74 23
"4" 100 100 100 90 19 19 19
"5" 100 100 100 98 66 66 20
"6" 100 100 100 100 100 100 100
"7" 100 100 100 99 95 95 37
"8" 100 100 100 97 65 64 24
"9" 100 100 100 85 70 70 65
"10" 100 100 100 100 99 99 88
"11" 100 100 100 99 98 97 53
"12" 100 100 100 100 100 100 100
"13" 100 100 100 100 100 100 71
"14" 100 100 100 99 88 88 81
"15" 100 100 100 84 30 18 18
"16" 100 100 100 85 53 51 14
"17" 100 100 100 97 72 72 37
"18" 100 100 100 94 44 42 17
"19" 100 100 100 95 79 79 72
"20" 100 100 100 100 100 100 96
"21" 100 100 100 100 100 100 100
"22" 100 100 100 78 30 30 25
"23" 100 100 100 83 35 25 16
"24" 100 100 100 98 90 90 83
"25" 100 100 100 100 100 100 100
"26" 100 100 100 100 100 100 100
"27" 100 100 100 100 100 100 87
"28" 100 100 100 99 94 94 90
"29" 100 100 100 100 100 100 100
"30" 100 100 100 99 84 84 80
"31" 100 100 100 83 37 37 32
"32" 100 100 100 97 48 48 45
"33" 100 100 100 97 76 76 67
"34" 100 100 100 91 30 27 13
"35" 100 100 100 100 100 100 100
"36" 100 100 100 99 90 90 67
"37" 100 100 100 94 86 86 75
"38" 100 100 100 81 27 23 16
"39" 100 100 100 78 56 56 36
"40" 100 100 100 100 100 100 93
"41" 100 100 100 96 52 52 19
"42" 100 100 100 95 65 64 22
"43" 100 100 100 99 95 95 95
"44" 100 100 100 100 100 100 100
"45" 100 100 100 98 87 87 80
"46" 100 100 100 95 82 82 79
"47" 100 100 100 99 91 91 85
"48" 100 100 100 99 99 99 63
"49" 100 100 100 96 91 91 88
"50" 100 100 100 100 100 100 100
"51" 100 100 100 100 94 94 81
"52" 100 100 100 76 12 7 7
"53" 100 100 100 70 39 39 35
"54" 100 100 100 97 43 40 15
"55" 100 100 100 100 92 92 87
"56" 100 100 100 97 85 77 25
"57" 100 100 100 97 77 77 72
"58" 100 100 100 100 100 100 91
"59" 100 100 100 73 24 24 13
"60" 100 100 100 97 94 94 90
"61" 100 100 100 97 94 94 89
"62" 100 100 100 98 96 96 91
"63" 100 100 100 100 76 72 28
"64" 100 100 100 99 75 75 69
"65" 100 100 100 100 100 100 89
"66" 100 100 100 97 76 76 22
"67" 100 100 100 100 100 100 100
"68" 100 100 100 100 97 97 97
"69" 100 100 100 97 89 89 84
"70" 100 100 100 97 22 7 6
