PHYLO-order	NAME(rpoB-database-taxonomy)	ASV	Phyllo-Curated-Taxonomy	Class	Order	Family	Genus
1	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-69	69	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
2	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-154	154	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
3	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-607	607	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
4	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-550	550	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
5	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-28	28	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
6	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-934	934	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
7	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-239	239	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
8	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-258	258	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
9	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-37	37	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
10	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-206	206	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
11	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-164	164	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
12	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-100	100	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
13	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-61	61	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
14	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-230	230	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
15	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-738	738	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
16	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-162	162	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
17	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-62	62	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
18	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-60	60	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
19	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-47	47	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
20	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-717	717	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
21	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-202	202	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
22	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1259	1259	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
23	Rhizobiales-ASV-989	989	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
24	Rhizobiales-ASV-879	879	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
25	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-914	914	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
26	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-638	638	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
27	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-400	400	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
