"log(Level)" "Level" "(-log10(1.005-PS))" "PS"
0 1 5.6175 1.005
0.6931 2 5.0466 1.005
1.0986 3 4.7126 1.005
1.3863 4 4.4757 1.005
1.6094 5 4.2919 1.0049
1.7918 6 4.1417 1.0049
1.9459 7 4.0148 1.0049
2.0794 8 3.9048 1.0049
2.1972 9 3.8078 1.0048
2.3026 10 3.721 1.0048
2.3979 11 3.6425 1.0048
2.4849 12 3.5708 1.0047
2.5649 13 3.5049 1.0047
2.6391 14 3.4439 1.0046
2.7081 15 3.387 1.0046
2.7726 16 3.3339 1.0045
2.8332 17 3.2839 1.0045
2.8904 18 3.2369 1.0044
2.9444 19 3.1923 1.0044
2.9957 20 3.1501 1.0043
3.0445 21 3.1099 1.0042
3.091 22 3.0716 1.0042
3.1355 23 3.035 1.0041
3.1781 24 2.9999 1.004
3.2189 25 2.9663 1.0039
3.2581 26 2.934 1.0038
3.2958 27 2.9029 1.0037
3.3322 28 2.8729 1.0037
3.3673 29 2.844 1.0036
3.4012 30 2.8161 1.0035
3.434 31 2.7891 1.0034
3.4657 32 2.763 1.0033
3.4965 33 2.7376 1.0032
3.5264 34 2.713 1.0031
3.5553 35 2.6892 1.003
3.5835 36 2.666 1.0028
3.6109 37 2.6434 1.0027
3.6376 38 2.6214 1.0026
3.6636 39 2.6 1.0025
3.6889 40 2.5792 1.0024
3.7136 41 2.5588 1.0022
3.7377 42 2.539 1.0021
3.7612 43 2.5196 1.002
3.7842 44 2.5007 1.0018
3.8067 45 2.4822 1.0017
3.8286 46 2.4641 1.0016
3.8501 47 2.4463 1.0014
3.8712 48 2.429 1.0013
3.8918 49 2.412 1.0011
3.912 50 2.3954 1.001
3.9318 51 2.3791 1.0008
3.9512 52 2.3631 1.0007
3.9703 53 2.3474 1.0005
3.989 54 2.332 1.0003
4.0073 55 2.3169 1.0002
4.0254 56 2.302 1
4.0431 57 2.2875 0.9998
4.0604 58 2.2731 0.9997
4.0775 59 2.2591 0.9995
4.0943 60 2.2452 0.9993
4.1109 61 2.2316 0.9991
4.1271 62 2.2182 0.9989
4.1431 63 2.205 0.9988
4.1589 64 2.1921 0.9986
4.1744 65 2.1793 0.9984
4.1897 66 2.1667 0.9982
4.2047 67 2.1543 0.998
4.2195 68 2.1421 0.9978
4.2341 69 2.1301 0.9976
4.2485 70 2.1183 0.9974
4.2627 71 2.1066 0.9972
4.2767 72 2.095 0.997
4.2905 73 2.0837 0.9968
4.3041 74 2.0725 0.9965
4.3175 75 2.0614 0.9963
4.3307 76 2.0505 0.9961
4.3438 77 2.0398 0.9959
4.3567 78 2.0291 0.9956
4.3694 79 2.0186 0.9954
4.382 80 2.0083 0.9952
4.3944 81 1.998 0.995
4.4067 82 1.9879 0.9947
4.4188 83 1.9779 0.9945
4.4308 84 1.9681 0.9942
4.4427 85 1.9583 0.994
4.4543 86 1.9487 0.9937
4.4659 87 1.9392 0.9935
4.4773 88 1.9298 0.9932
4.4886 89 1.9205 0.993
4.4998 90 1.9113 0.9927
4.5109 91 1.9022 0.9925
4.5218 92 1.8932 0.9922
4.5326 93 1.8843 0.9919
4.5433 94 1.8754 0.9917
4.5539 95 1.8667 0.9914
4.5643 96 1.8581 0.9911
4.5747 97 1.8496 0.9909
4.585 98 1.8411 0.9906
4.5951 99 1.8328 0.9903
4.6052 100 1.8245 0.99
4.6151 101 1.8163 0.9897
4.625 102 1.8082 0.9894
4.6347 103 1.8001 0.9892
4.6444 104 1.7922 0.9889
4.654 105 1.7843 0.9886
4.6634 106 1.7765 0.9883
4.6728 107 1.7688 0.988
4.6821 108 1.7611 0.9877
4.6913 109 1.7535 0.9874
4.7005 110 1.746 0.9871
4.7095 111 1.7385 0.9867
4.7185 112 1.7311 0.9864
4.7274 113 1.7238 0.9861
4.7362 114 1.7166 0.9858
4.7449 115 1.7094 0.9855
4.7536 116 1.7022 0.9851
4.7622 117 1.6952 0.9848
4.7707 118 1.6882 0.9845
4.7791 119 1.6812 0.9842
4.7875 120 1.6743 0.9838
4.7958 121 1.6675 0.9835
4.804 122 1.6607 0.9832
4.8122 123 1.654 0.9828
4.8203 124 1.6473 0.9825
4.8283 125 1.6407 0.9821
4.8363 126 1.6341 0.9818
4.8442 127 1.6276 0.9814
4.852 128 1.6212 0.9811
4.8598 129 1.6147 0.9807
4.8675 130 1.6084 0.9804
4.8752 131 1.6021 0.98
4.8828 132 1.5958 0.9796
4.8903 133 1.5896 0.9793
4.8978 134 1.5834 0.9789
4.9053 135 1.5773 0.9785
4.9127 136 1.5712 0.9782
4.92 137 1.5652 0.9778
4.9273 138 1.5592 0.9774
4.9345 139 1.5532 0.977
4.9416 140 1.5473 0.9766
4.9488 141 1.5415 0.9763
4.9558 142 1.5357 0.9759
4.9628 143 1.5299 0.9755
4.9698 144 1.5241 0.9751
4.9767 145 1.5184 0.9747
4.9836 146 1.5128 0.9743
4.9904 147 1.5072 0.9739
4.9972 148 1.5016 0.9735
5.0039 149 1.496 0.9731
5.0106 150 1.4905 0.9727
5.0173 151 1.485 0.9723
5.0239 152 1.4796 0.9719
5.0304 153 1.4742 0.9714
5.037 154 1.4688 0.971
5.0434 155 1.4635 0.9706
5.0499 156 1.4582 0.9702
5.0562 157 1.453 0.9698
5.0626 158 1.4477 0.9693
5.0689 159 1.4425 0.9689
5.0752 160 1.4374 0.9685
5.0814 161 1.4322 0.968
5.0876 162 1.4271 0.9676
5.0938 163 1.4221 0.9672
5.0999 164 1.417 0.9667
5.1059 165 1.412 0.9663
5.112 166 1.407 0.9658
5.118 167 1.4021 0.9654
5.124 168 1.3972 0.9649
5.1299 169 1.3923 0.9645
5.1358 170 1.3874 0.964
5.1417 171 1.3826 0.9636
5.1475 172 1.3778 0.9631
5.1533 173 1.373 0.9626
5.1591 174 1.3683 0.9622
5.1648 175 1.3636 0.9617
5.1705 176 1.3589 0.9612
5.1761 177 1.3542 0.9608
5.1818 178 1.3496 0.9603
5.1874 179 1.3449 0.9598
5.193 180 1.3404 0.9593
5.1985 181 1.3358 0.9588
5.204 182 1.3313 0.9584
5.2095 183 1.3267 0.9579
5.2149 184 1.3222 0.9574
5.2204 185 1.3178 0.9569
5.2257 186 1.3133 0.9564
5.2311 187 1.3089 0.9559
5.2364 188 1.3045 0.9554
5.2417 189 1.3002 0.9549
5.247 190 1.2958 0.9544
5.2523 191 1.2915 0.9539
5.2575 192 1.2872 0.9534
5.2627 193 1.2829 0.9529
5.2679 194 1.2787 0.9524
5.273 195 1.2744 0.9518
5.2781 196 1.2702 0.9513
5.2832 197 1.266 0.9508
5.2883 198 1.2619 0.9503
5.2933 199 1.2577 0.9498
5.2983 200 1.2536 0.9492
5.3033 201 1.2495 0.9487
5.3083 202 1.2454 0.9482
5.3132 203 1.2413 0.9476
5.3181 204 1.2373 0.9471
5.323 205 1.2332 0.9466
5.3279 206 1.2292 0.946
5.3327 207 1.2252 0.9455
5.3375 208 1.2213 0.9449
5.3423 209 1.2173 0.9444
5.3471 210 1.2134 0.9438
5.3519 211 1.2095 0.9433
5.3566 212 1.2056 0.9427
5.3613 213 1.2017 0.9422
5.366 214 1.1978 0.9416
5.3706 215 1.194 0.941
5.3753 216 1.1902 0.9405
5.3799 217 1.1864 0.9399
5.3845 218 1.1826 0.9393
5.3891 219 1.1788 0.9388
5.3936 220 1.1751 0.9382
5.3982 221 1.1713 0.9376
5.4027 222 1.1676 0.937
5.4072 223 1.1639 0.9364
5.4116 224 1.1602 0.9359
5.4161 225 1.1566 0.9353
5.4205 226 1.1529 0.9347
5.425 227 1.1493 0.9341
5.4293 228 1.1457 0.9335
5.4337 229 1.142 0.9329
5.4381 230 1.1385 0.9323
5.4424 231 1.1349 0.9317
5.4467 232 1.1313 0.9311
5.451 233 1.1278 0.9305
5.4553 234 1.1243 0.9299
5.4596 235 1.1207 0.9293
5.4638 236 1.1172 0.9287
5.4681 237 1.1138 0.928
5.4723 238 1.1103 0.9274
5.4765 239 1.1068 0.9268
5.4806 240 1.1034 0.9262
5.4848 241 1.1 0.9256
5.4889 242 1.0966 0.9249
5.4931 243 1.0932 0.9243
5.4972 244 1.0898 0.9237
5.5013 245 1.0864 0.923
5.5053 246 1.0831 0.9224
5.5094 247 1.0797 0.9218
5.5134 248 1.0764 0.9211
5.5175 249 1.0731 0.9205
5.5215 250 1.0698 0.9198
5.5255 251 1.0665 0.9192
5.5294 252 1.0632 0.9185
5.5334 253 1.06 0.9179
5.5373 254 1.0567 0.9172
5.5413 255 1.0535 0.9166
5.5452 256 1.0502 0.9159
5.5491 257 1.047 0.9153
5.553 258 1.0438 0.9146
5.5568 259 1.0407 0.9139
5.5607 260 1.0375 0.9133
5.5645 261 1.0343 0.9126
5.5683 262 1.0312 0.9119
5.5722 263 1.028 0.9113
5.5759 264 1.0249 0.9106
5.5797 265 1.0218 0.9099
5.5835 266 1.0187 0.9092
5.5872 267 1.0156 0.9085
5.591 268 1.0125 0.9078
5.5947 269 1.0094 0.9072
5.5984 270 1.0064 0.9065
5.6021 271 1.0033 0.9058
5.6058 272 1.0003 0.9051
5.6095 273 0.9973 0.9044
5.6131 274 0.9943 0.9037
5.6168 275 0.9913 0.903
5.6204 276 0.9883 0.9023
5.624 277 0.9853 0.9016
5.6276 278 0.9823 0.9009
5.6312 279 0.9794 0.9001
5.6348 280 0.9764 0.8994
5.6384 281 0.9735 0.8987
5.6419 282 0.9706 0.898
5.6454 283 0.9677 0.8973
5.649 284 0.9648 0.8965
5.6525 285 0.9619 0.8958
5.656 286 0.959 0.8951
5.6595 287 0.9561 0.8944
5.663 288 0.9532 0.8936
5.6664 289 0.9504 0.8929
5.6699 290 0.9475 0.8922
5.6733 291 0.9447 0.8914
5.6768 292 0.9419 0.8907
5.6802 293 0.9391 0.8899
5.6836 294 0.9363 0.8892
5.687 295 0.9335 0.8884
5.6904 296 0.9307 0.8877
5.6937 297 0.9279 0.8869
5.6971 298 0.9251 0.8862
5.7004 299 0.9224 0.8854
5.7038 300 0.9196 0.8847
5.7071 301 0.9169 0.8839
5.7104 302 0.9141 0.8831
5.7137 303 0.9114 0.8824
5.717 304 0.9087 0.8816
5.7203 305 0.906 0.8808
5.7236 306 0.9033 0.8801
5.7268 307 0.9006 0.8793
5.7301 308 0.8979 0.8785
5.7333 309 0.8953 0.8777
5.7366 310 0.8926 0.8769
5.7398 311 0.89 0.8762
5.743 312 0.8873 0.8754
5.7462 313 0.8847 0.8746
5.7494 314 0.882 0.8738
5.7526 315 0.8794 0.873
5.7557 316 0.8768 0.8722
5.7589 317 0.8742 0.8714
5.7621 318 0.8716 0.8706
5.7652 319 0.869 0.8698
5.7683 320 0.8665 0.869
5.7714 321 0.8639 0.8682
5.7746 322 0.8613 0.8674
5.7777 323 0.8588 0.8666
5.7807 324 0.8562 0.8658
5.7838 325 0.8537 0.8649
5.7869 326 0.8512 0.8641
5.79 327 0.8486 0.8633
5.793 328 0.8461 0.8625
5.7961 329 0.8436 0.8617
5.7991 330 0.8411 0.8608
5.8021 331 0.8386 0.86
5.8051 332 0.8361 0.8592
5.8081 333 0.8337 0.8583
5.8111 334 0.8312 0.8575
5.8141 335 0.8287 0.8567
5.8171 336 0.8263 0.8558
5.8201 337 0.8238 0.855
5.823 338 0.8214 0.8541
5.826 339 0.819 0.8533
5.8289 340 0.8165 0.8524
5.8319 341 0.8141 0.8516
5.8348 342 0.8117 0.8507
5.8377 343 0.8093 0.8499
5.8406 344 0.8069 0.849
5.8435 345 0.8045 0.8481
5.8464 346 0.8021 0.8473
5.8493 347 0.7997 0.8464
5.8522 348 0.7974 0.8455
5.8551 349 0.795 0.8447
5.8579 350 0.7926 0.8438
5.8608 351 0.7903 0.8429
5.8636 352 0.788 0.8421
5.8665 353 0.7856 0.8412
5.8693 354 0.7833 0.8403
5.8721 355 0.781 0.8394
5.8749 356 0.7786 0.8385
5.8777 357 0.7763 0.8376
5.8805 358 0.774 0.8367
5.8833 359 0.7717 0.8359
5.8861 360 0.7694 0.835
5.8889 361 0.7672 0.8341
5.8916 362 0.7649 0.8332
5.8944 363 0.7626 0.8323
5.8972 364 0.7603 0.8314
5.8999 365 0.7581 0.8305
5.9026 366 0.7558 0.8295
5.9054 367 0.7536 0.8286
5.9081 368 0.7513 0.8277
5.9108 369 0.7491 0.8268
5.9135 370 0.7469 0.8259
5.9162 371 0.7447 0.825
5.9189 372 0.7424 0.824
5.9216 373 0.7402 0.8231
5.9243 374 0.738 0.8222
5.9269 375 0.7358 0.8213
5.9296 376 0.7336 0.8203
5.9322 377 0.7314 0.8194
5.9349 378 0.7293 0.8185
5.9375 379 0.7271 0.8175
5.9402 380 0.7249 0.8166
5.9428 381 0.7227 0.8157
5.9454 382 0.7206 0.8147
5.948 383 0.7184 0.8138
5.9506 384 0.7163 0.8128
5.9532 385 0.7141 0.8119
5.9558 386 0.712 0.8109
5.9584 387 0.7099 0.81
5.961 388 0.7078 0.809
5.9636 389 0.7056 0.808
5.9661 390 0.7035 0.8071
5.9687 391 0.7014 0.8061
5.9713 392 0.6993 0.8052
5.9738 393 0.6972 0.8042
5.9764 394 0.6951 0.8032
5.9789 395 0.693 0.8022
5.9814 396 0.6909 0.8013
5.9839 397 0.6889 0.8003
5.9865 398 0.6868 0.7993
5.989 399 0.6847 0.7983
5.9915 400 0.6827 0.7973
5.994 401 0.6806 0.7964
5.9965 402 0.6786 0.7954
5.9989 403 0.6765 0.7944
6.0014 404 0.6745 0.7934
6.0039 405 0.6724 0.7924
6.0064 406 0.6704 0.7914
6.0088 407 0.6684 0.7904
6.0113 408 0.6664 0.7894
6.0137 409 0.6643 0.7884
6.0162 410 0.6623 0.7874
6.0186 411 0.6603 0.7864
6.021 412 0.6583 0.7854
6.0234 413 0.6563 0.7844
6.0259 414 0.6543 0.7833
6.0283 415 0.6523 0.7823
6.0307 416 0.6504 0.7813
6.0331 417 0.6484 0.7803
6.0355 418 0.6464 0.7793
6.0379 419 0.6444 0.7782
6.0403 420 0.6425 0.7772
6.0426 421 0.6405 0.7762
6.045 422 0.6386 0.7752
6.0474 423 0.6366 0.7741
6.0497 424 0.6347 0.7731
6.0521 425 0.6327 0.772
6.0544 426 0.6308 0.771
6.0568 427 0.6289 0.77
6.0591 428 0.6269 0.7689
6.0615 429 0.625 0.7679
6.0638 430 0.6231 0.7668
6.0661 431 0.6212 0.7658
6.0684 432 0.6193 0.7647
6.0707 433 0.6174 0.7637
6.073 434 0.6155 0.7626
6.0753 435 0.6136 0.7615
6.0776 436 0.6117 0.7605
6.0799 437 0.6098 0.7594
6.0822 438 0.6079 0.7583
6.0845 439 0.606 0.7573
6.0868 440 0.6042 0.7562
6.089 441 0.6023 0.7551
6.0913 442 0.6004 0.7541
6.0936 443 0.5986 0.753
6.0958 444 0.5967 0.7519
6.0981 445 0.5949 0.7508
6.1003 446 0.593 0.7497
6.1026 447 0.5912 0.7486
6.1048 448 0.5893 0.7476
6.107 449 0.5875 0.7465
6.1092 450 0.5857 0.7454
6.1115 451 0.5838 0.7443
6.1137 452 0.582 0.7432
6.1159 453 0.5802 0.7421
6.1181 454 0.5784 0.741
6.1203 455 0.5766 0.7399
6.1225 456 0.5747 0.7388
6.1247 457 0.5729 0.7377
6.1269 458 0.5711 0.7366
6.1291 459 0.5693 0.7354
6.1312 460 0.5676 0.7343
6.1334 461 0.5658 0.7332
6.1356 462 0.564 0.7321
6.1377 463 0.5622 0.731
6.1399 464 0.5604 0.7298
6.142 465 0.5586 0.7287
6.1442 466 0.5569 0.7276
6.1463 467 0.5551 0.7265
6.1485 468 0.5534 0.7253
6.1506 469 0.5516 0.7242
6.1527 470 0.5498 0.7231
6.1549 471 0.5481 0.7219
6.157 472 0.5463 0.7208
6.1591 473 0.5446 0.7196
6.1612 474 0.5429 0.7185
6.1633 475 0.5411 0.7173
6.1654 476 0.5394 0.7162
6.1675 477 0.5377 0.715
6.1696 478 0.5359 0.7139
6.1717 479 0.5342 0.7127
6.1738 480 0.5325 0.7116
6.1759 481 0.5308 0.7104
6.1779 482 0.5291 0.7092
6.18 483 0.5274 0.7081
6.1821 484 0.5257 0.7069
6.1841 485 0.524 0.7057
6.1862 486 0.5223 0.7046
6.1883 487 0.5206 0.7034
6.1903 488 0.5189 0.7022
6.1924 489 0.5172 0.7011
6.1944 490 0.5155 0.6999
6.1964 491 0.5138 0.6987
6.1985 492 0.5122 0.6975
6.2005 493 0.5105 0.6963
6.2025 494 0.5088 0.6951
6.2046 495 0.5072 0.6939
6.2066 496 0.5055 0.6927
6.2086 497 0.5038 0.6916
6.2106 498 0.5022 0.6904
6.2126 499 0.5005 0.6892
6.2146 500 0.4989 0.688
6.2166 501 0.4972 0.6867
6.2186 502 0.4956 0.6855
6.2206 503 0.4939 0.6843
6.2226 504 0.4923 0.6831
6.2246 505 0.4907 0.6819
6.2265 506 0.4891 0.6807
6.2285 507 0.4874 0.6795
6.2305 508 0.4858 0.6783
