"ASVs" "Fr" "MSH" "SBL"
"A1" 31 0.065705363457195 0.133080081626092 0.00785838321117218
"A10" 6 0.0103217920601375 0.0122924210191022 0.00862983790345057
"A2" 7 0.00329793973376012 0.00309680048461437 0.00347063504868323
"A3" 2 0.00126161753342236 0.000570136424694755 0.00185531343485515
"A4" 20 0.017233023588219 0.0258717156038326 0.00981596478693449
"A5a" 1 0.000247589050881579 0.000535957474849537 0
"A5b" 2 0.000357581172054073 0.00077405806656411 0
"A6" 37 0.243244514838431 0.326432259884844 0.171820693333934
"A9" 59 0.452375101196518 0.387934559457677 0.507702839053099
"B" 31 0.19115705770528 0.101700828706608 0.267962910885958
"un" 4 0.014798419664102 0.00771118125112127 0.0208834223419137
