"mean_seq" "max_seq" "min_seq" "seq_or_node" "level" "mother_node" "mother_level"
1 1 1 1 54 495 235
2 2 2 2 54 499 184
3 3 3 3 54 505 94
4 4 4 4 54 506 86
5 5 5 5 54 507 84
6 6 6 6 54 508 83
7 7 7 7 54 509 78
8 8 8 8 54 510 77
9 9 9 9 54 511 65
10 10 10 10 54 512 64
11 11 11 11 54 512 64
12 12 12 12 54 513 66
13 13 13 13 54 514 65
14 14 14 14 54 516 56
15 15 15 15 54 516 56
16 16 16 16 54 517 58
17 17 17 17 54 518 57
18 18 18 18 54 519 56
19 19 19 19 54 519 56
20 20 20 20 54 521 56
21 21 21 21 54 521 56
22 22 22 22 54 522 86
23 23 23 23 54 524 56
24 24 24 24 54 524 56
25 25 25 25 54 525 73
26 26 26 26 54 526 72
27 27 27 27 54 527 71
28 28 28 28 54 528 56
29 29 29 29 54 528 56
30 30 30 30 54 530 88
31 31 31 31 54 530 88
32 32 32 32 54 533 81
33 33 33 33 54 534 80
34 34 34 34 54 535 69
35 35 35 35 54 535 69
36 36 36 36 54 536 69
37 37 37 37 54 536 69
38 38 38 38 54 537 146
39 39 39 39 54 539 123
40 40 40 40 54 539 123
41 41 41 41 54 540 90
42 42 42 42 54 541 82
43 43 43 43 54 543 71
44 44 44 44 54 544 69
45 45 45 45 54 544 69
46 46 46 46 54 546 69
47 47 47 47 54 546 69
48 48 48 48 54 547 79
49 49 49 49 54 547 79
50 50 50 50 54 548 143
51 51 51 51 54 549 142
52 52 52 52 54 549 142
53 53 53 53 54 550 91
54 54 54 54 54 551 90
55 55 55 55 54 551 90
56 56 56 56 54 553 147
57 57 57 57 54 554 146
58 58 58 58 54 557 117
59 59 59 59 54 558 116
60 60 60 60 54 559 115
61 61 61 61 54 560 114
62 62 62 62 54 560 114
63 63 63 63 54 561 80
64 64 64 64 54 561 80
65 65 65 65 54 562 144
66 66 66 66 54 564 99
67 67 67 67 54 564 99
68 68 68 68 54 565 142
69 69 69 69 54 565 142
70 70 70 70 54 568 102
71 71 71 71 54 569 101
72 72 72 72 54 571 70
73 73 73 73 54 572 69
74 74 74 74 54 573 57
75 75 75 75 54 574 56
76 76 76 76 54 574 56
77 77 77 77 54 575 99
78 78 78 78 54 575 99
79 79 79 79 54 576 105
80 80 80 80 54 577 104
81 81 81 81 54 578 103
82 82 82 82 54 578 103
83 83 83 83 54 580 99
84 84 84 84 54 581 90
85 85 85 85 54 581 90
86 86 86 86 54 584 69
87 87 87 87 54 584 69
88 88 88 88 54 585 90
89 89 89 89 54 585 90
90 90 90 90 54 586 99
91 91 91 91 54 587 94
92 92 92 92 54 589 69
93 93 93 93 54 589 69
94 94 94 94 54 590 91
95 95 95 95 54 592 80
96 96 96 96 54 593 78
97 97 97 97 54 594 77
98 98 98 98 54 595 56
99 99 99 99 54 595 56
100 100 100 100 54 596 72
101 101 101 101 54 597 71
102 102 102 102 54 598 70
103 103 103 103 54 599 57
104 104 104 104 54 600 56
105 105 105 105 54 601 55
106 106 106 106 54 602 54
107 107 107 107 54 602 54
108 108 108 108 54 603 169
109 109 109 109 54 604 168
110 110 110 110 54 606 166
111 111 111 111 54 607 115
112 112 112 112 54 608 114
113 113 113 113 54 608 114
114 114 114 114 54 611 57
115 115 115 115 54 612 56
116 116 116 116 54 613 55
117 117 117 117 54 614 54
118 118 118 118 54 614 54
119 119 119 119 54 615 154
120 120 120 120 54 616 56
121 121 121 121 54 616 56
122 122 122 122 54 617 101
123 123 123 123 54 618 100
124 124 124 124 54 620 94
125 125 125 125 54 625 71
126 126 126 126 54 626 70
127 127 127 127 54 627 69
128 128 128 128 54 627 69
129 129 129 129 54 628 70
130 130 130 130 54 629 69
131 131 131 131 54 629 69
132 132 132 132 54 630 80
133 133 133 133 54 630 80
134 134 134 134 54 631 69
135 135 135 135 54 631 69
136 136 136 136 54 632 81
137 137 137 137 54 633 80
138 138 138 138 54 633 80
139 139 139 139 54 634 84
140 140 140 140 54 635 83
141 141 141 141 54 637 70
142 142 142 142 54 638 69
143 143 143 143 54 638 69
144 144 144 144 54 640 70
145 145 145 145 54 641 69
146 146 146 146 54 641 69
147 147 147 147 54 643 70
148 148 148 148 54 644 69
149 149 149 149 54 645 56
150 150 150 150 54 645 56
151 151 151 151 54 646 64
152 152 152 152 54 647 57
153 153 153 153 54 648 56
154 154 154 154 54 649 55
155 155 155 155 54 650 54
156 156 156 156 54 650 54
157 157 157 157 54 652 99
158 158 158 158 54 653 69
159 159 159 159 54 653 69
160 160 160 160 54 656 160
161 161 161 161 54 656 160
162 162 162 162 54 657 215
163 163 163 163 54 657 215
164 164 164 164 54 666 126
165 165 165 165 54 667 108
166 166 166 166 54 668 90
167 167 167 167 54 668 90
168 168 168 168 54 669 57
169 169 169 169 54 670 56
170 170 170 170 54 670 56
171 171 171 171 54 671 106
