"Level" "node" "mother_node" "sequences" "PS_median" "PS_max" "PS_min" "bootstrapp"
54 740 739 2 1 1 1 0.345
54 602 601 2 0.99455 0.99455 0.99455 0.04
54 650 649 2 0.99863 0.99863 0.99863 0.29
55 739 738 3 1 1 1 0.985
55 601 600 3 0.99455 1 0.99455 0.04
55 649 648 3 0.99863 1 0.99863 0.245
56 738 737 4 1 1 1 0.515
64 512 511 2 0.99863 0.99863 0.99863 0.135
56 600 599 4 0.997275 1 0.99455 0.045
69 627 626 2 0.99756 0.99756 0.99756 0.15
56 645 644 2 1 1 1 0.37
56 648 647 4 0.999315 1 0.99756 0.005
57 737 736 5 1 1 0.99728 0.29
65 511 510 3 0.99863 1 0.99863 0.68
69 544 543 2 0.99756 0.99756 0.99756 0.235
69 546 545 2 0.99756 0.99756 0.99756 0.54
79 547 545 2 0.99512 0.99512 0.99512 0.13
56 595 594 2 1 1 1 0.715
57 599 598 5 1 1 0.99455 0.5
70 626 625 3 0.99756 0.99756 0.99512 0.17
69 629 628 2 0.99756 0.99756 0.99756 0.23
69 644 643 3 0.99728 1 0.99512 0.155
57 647 646 5 1 1 0.99756 0.485
64 731 730 2 0.99854 0.99854 0.99854 0.855
92 732 730 2 0.9869 0.9869 0.9869 0.065
71 736 735 6 0.99728 1 0.99268 0.45
64 819 818 2 0.99863 0.99863 0.99863 0.975
77 510 509 4 0.995205 1 0.99041 0.39
56 519 518 2 1 1 1 0.135
56 528 527 2 1 1 1 0.895
71 543 542 3 0.99756 0.99756 0.99512 0.175
80 545 542 4 0.99512 0.99756 0.99024 0.05
77 594 593 3 0.99268 1 0.99268 0.145
70 598 597 6 0.99728 1 0.99024 0.095
71 625 624 4 0.99742 1 0.99512 0.71
70 628 624 3 0.99756 0.99756 0.99512 0.36
69 641 640 2 0.99756 0.99756 0.99756 0.055
70 643 642 4 0.99742 1 0.99512 0.135
64 646 642 6 0.99863 1 0.99512 0.575
69 727 726 2 0.99728 0.99728 0.99728 0.05
93 730 729 4 0.991265 0.99854 0.9869 0.105
69 734 733 2 0.99756 0.99756 0.99756 0.675
72 735 733 7 0.99728 1 0.99268 0.495
86 770 769 2 0.99268 0.99268 0.99268 0.08
100 817 816 2 0.98356 0.98356 0.98356 0.435
88 818 816 3 0.99315 0.99863 0.99178 0.365
78 509 508 5 0.996575 1 0.99041 0.35
57 518 517 3 1 1 1 0.14
71 527 526 3 0.99726 1 0.99726 0.065
81 542 541 7 0.99512 0.99756 0.99024 0.695
78 593 592 4 0.99634 1 0.99268 0.64
71 597 596 7 0.99756 1 0.99024 0.305
83 624 623 7 0.99455 1 0.99024 0.3
