"Name" "Tree-order" "NodeAss" "MatchAss" "ClaAss" "BootAss"
"1" "Meth-ASV-160" "1" NA "1" "un" "0"
"2" "Meth-ASV-1228" "2" "498" "1" "A9" "0.32"
"3" "Meth-ASV-110" "32" "498" "1" "A9" "0.32"
"4" "Meth-ASV-96" "33" "498" "1" "A9" "0.32"
"5" "Meth-ASV-89" "34" "498" "1" "A9" "0.32"
"6" "Meth-ASV-181" "35" "498" "1" "A9" "0.32"
"7" "Meth-ASV-1138" "36" "498" "1" "A9" "0.32"
"8" "Meth-ASV-1139" "37" "498" "1" "A9" "0.32"
"9" "Meth-ASV-83" "38" "498" "1" "A9" "0.32"
"10" "Meth-ASV-40" "39" "498" "1" "A9" "0.32"
"11" "Meth-ASV-427" "41" "498" "1" "A9" "0.32"
"12" "Meth-ASV-115" "42" "498" "1" "A9" "0.32"
"13" "Meth-ASV-98" "43" "498" "1" "A9" "0.32"
"14" "Meth-ASV-151" "44" "498" "1" "A9" "0.32"
"15" "Meth-ASV-469" "45" "498" "1" "A9" "0.32"
"16" "Meth-ASV-11" "46" "498" "1" "A9" "0.32"
"17" "Meth-ASV-82" "47" "498" "1" "A9" "0.32"
"18" "Meth-ASV-13" "48" "498" "1" "A9" "0.32"
"19" "Meth-ASV-406" "49" "498" "1" "A9" "0.32"
"20" "Meth-ASV-108" "51" "498" "1" "A9" "0.32"
"21" "Meth-ASV-58" "53" "498" "1" "A9" "0.32"
"22" "Meth-ASV-1279" "54" "498" "1" "A9" "0.32"
"23" "Meth-ASV-1305" "55" "498" "1" "A9" "0.32"
"24" "Meth-ASV-1164" "56" "552" "1" "A9" "0.65"
"25" "Meth-ASV-182" "57" "552" "1" "A9" "0.65"
"26" "Meth-ASV-453" "58" "552" "1" "A9" "0.65"
"27" "Meth-ASV-379" "59" "552" "1" "A9" "0.65"
"28" "Meth-ASV-265" "60" "552" "1" "A9" "0.65"
"29" "Meth-ASV-389" "61" "552" "1" "A9" "0.65"
"30" "Meth-ASV-401" "62" "552" "1" "A9" "0.65"
"31" "Meth-ASV-27" "63" "552" "1" "A9" "0.65"
"32" "Meth-ASV-578" "64" "552" "1" "A9" "0.65"
"33" "Meth-ASV-362" "65" "552" "1" "A9" "0.65"
"34" "Meth-ASV-106" "66" "552" "1" "A9" "0.65"
"35" "Meth-ASV-824" "67" "552" "1" "A9" "0.65"
"36" "Meth-ASV-390" "68" "552" "1" "A9" "0.65"
"37" "Meth-ASV-601" "71" "568" "1" "A9" "0.905"
"38" "Meth-ASV-777" "72" "571" "1" "A9" "0.975"
"39" "Meth-ASV-474" "75" "571" "1" "A9" "0.975"
"40" "Meth-ASV-694" "77" "568" "1" "A9" "0.905"
"41" "Meth-ASV-705" "83" "552" "1" "A9" "0.65"
"42" "Meth-ASV-20" "84" "552" "1" "A9" "0.65"
"43" "Meth-ASV-569" "85" "552" "1" "A9" "0.65"
"44" "Meth-ASV-373" "86" "552" "1" "A9" "0.65"
"45" "Meth-ASV-1154" "87" "552" "1" "A9" "0.65"
"46" "Meth-ASV-657" "88" "552" "1" "A9" "0.65"
"47" "Meth-ASV-1096" "89" "552" "1" "A9" "0.65"
"48" "Meth-ASV-1316" "90" "552" "1" "A9" "0.65"
"49" "Meth-ASV-449" "91" "552" "1" "A9" "0.65"
"50" "Meth-ASV-649" "92" "552" "1" "A9" "0.65"
"51" "Meth-ASV-1091" "93" "552" "1" "A9" "0.65"
"52" "Meth-ASV-279" "94" "552" "1" "A9" "0.65"
"53" "Meth-ASV-388" "95" "552" "1" "A9" "0.65"
"54" "Meth-ASV-242" "96" "552" "1" "A9" "0.65"
"55" "Meth-ASV-1059" "97" "552" "1" "A9" "0.65"
"56" "Meth-ASV-299" "98" "595" "1" "A9" "0.715"
"57" "Meth-ASV-673" "100" "596" "1" "A9" "0.73"
"58" "Meth-ASV-2" "101" "596" "1" "A9" "0.73"
"59" "Meth-ASV-80" "102" "596" "1" "A9" "0.73"
"60" "Meth-ASV-231" "106" "596" "1" "A9" "0.73"
"61" "Meth-ASV-1211" "108" "603" "1" "A6" "0.005"
"62" "Meth-ASV-920" "109" "603" "1" "A6" "0.005"
"63" "Meth-ASV-814" "110" "605" "1" "A6" "0.01"
"64" "Meth-ASV-1232" "111" "605" "1" "A6" "0.01"
"65" "Meth-ASV-762" "112" "605" "1" "A6" "0.01"
"66" "Meth-ASV-1235" "113" "605" "1" "A6" "0.01"
"67" "Meth-ASV-521" "114" "611" "1" "A6" "0.84"
"68" "Meth-ASV-204" "119" "610" "1" "A6" "0.76"
"69" "Meth-ASV-209" "120" "616" "1" "A6" "1"
"70" "Meth-ASV-316" "122" "609" "1" "A6" "0.56"
"71" "Meth-ASV-294" "123" "618" "1" "A6" "0.78"
"72" "Meth-ASV-178" "124" "619" "1" "A6" "0.81"
"73" "Meth-ASV-445" "126" "619" "1" "A6" "0.81"
"74" "Meth-ASV-29" "127" "619" "1" "A6" "0.81"
"75" "Meth-ASV-187" "128" "619" "1" "A6" "0.81"
"76" "Meth-ASV-333" "129" "619" "1" "A6" "0.81"
"77" "Meth-ASV-35" "130" "619" "1" "A6" "0.81"
"78" "Meth-ASV-957" "131" "619" "1" "A6" "0.81"
"79" "Meth-ASV-590" "132" "619" "1" "A6" "0.81"
"80" "Meth-ASV-693" "133" "619" "1" "A6" "0.81"
"81" "Meth-ASV-126" "134" "619" "1" "A6" "0.81"
"82" "Meth-ASV-751" "135" "619" "1" "A6" "0.81"
"83" "Meth-ASV-12" "136" "619" "1" "A6" "0.81"
"84" "Meth-ASV-769" "137" "619" "1" "A6" "0.81"
"85" "Meth-ASV-1387" "138" "619" "1" "A6" "0.81"
"86" "Meth-ASV-1253" "139" "619" "1" "A6" "0.81"
"87" "Meth-ASV-256" "140" "619" "1" "A6" "0.81"
"88" "Meth-ASV-424" "141" "619" "1" "A6" "0.81"
"89" "Meth-ASV-6" "142" "619" "1" "A6" "0.81"
"90" "Meth-ASV-821" "143" "619" "1" "A6" "0.81"
"91" "Meth-ASV-473" "144" "619" "1" "A6" "0.81"
"92" "Meth-ASV-168" "145" "619" "1" "A6" "0.81"
"93" "Meth-ASV-26" "147" "619" "1" "A6" "0.81"
"94" "Meth-ASV-1354" "148" "619" "1" "A6" "0.81"
"95" "Meth-ASV-74" "149" "619" "1" "A6" "0.81"
"96" "Meth-ASV-564" "151" "619" "1" "A6" "0.81"
"97" "Meth-ASV-21" "153" "619" "1" "A6" "0.81"
"98" "Meth-ASV-141" "157" NA "1" "un" "0"
"99" "Meth-ASV-900" "158" NA "1" "un" "0"
"100" "Meth-ASV-951" "159" NA "1" "un" "0"
"101" "Meth-ASV-915" "160" "655" "1" "A5b" "0.05"
"102" "Meth-ASV-1395" "161" "655" "1" "A5b" "0.05"
"103" "Meth-ASV-796" "165" "664" "1" "A2" "0.605"
"104" "Meth-ASV-1058" "166" "664" "1" "A2" "0.605"
"105" "Meth-ASV-1340" "167" "664" "1" "A2" "0.605"
"106" "Meth-ASV-733" "169" "669" "1" "A2" "0.94"
"107" "Meth-ASV-882" "176" "663" "1" "A2" "0.4"
"108" "Meth-ASV-904" "180" "662" "1" "A2" "0.115"
"109" "Meth-ASV-1179" "181" "662" "1" "A2" "0.115"
"110" "Meth-ASV-707" "182" "679" "1" "A3" "0.675"
"111" "Meth-ASV-1061" "183" "679" "1" "A3" "0.675"
"112" "Meth-ASV-482" "190" "685" "1" "A1" "0.185"
"113" "Meth-ASV-666" "191" "685" "1" "A1" "0.185"
"114" "Meth-ASV-368" "198" "693" "1" "A1" "0.925"
"115" "Meth-ASV-960" "199" "693" "1" "A1" "0.925"
"116" "Meth-ASV-375" "200" "693" "1" "A1" "0.925"
"117" "Meth-ASV-132" "201" "696" "1" "A1" "0.98"
"118" "Meth-ASV-697" "212" "699" "1" "A1" "0.31"
"119" "Meth-ASV-1083" "213" "708" "1" "A1" "0.345"
"120" "Meth-ASV-122" "215" "709" "1" "A1" "0.995"
"121" "Meth-ASV-283" "216" "709" "1" "A1" "0.995"
"122" "Meth-ASV-320" "217" "709" "1" "A1" "0.995"
"123" "Meth-ASV-475" "218" "709" "1" "A1" "0.995"
"124" "Meth-ASV-927" "219" "709" "1" "A1" "0.995"
"125" "Meth-ASV-25" "220" "709" "1" "A1" "0.995"
"126" "Meth-ASV-1207" "221" "709" "1" "A1" "0.995"
"127" "Meth-ASV-291" "222" "709" "1" "A1" "0.995"
"128" "Meth-ASV-709" "223" "709" "1" "A1" "0.995"
"129" "Meth-ASV-1388" "224" "709" "1" "A1" "0.995"
"130" "Meth-ASV-67" "225" "709" "1" "A1" "0.995"
"131" "Meth-ASV-571" "226" "709" "1" "A1" "0.995"
"132" "Meth-ASV-133" "227" "709" "1" "A1" "0.995"
"133" "Meth-ASV-574" "228" "709" "1" "A1" "0.995"
"134" "Meth-ASV-50" "229" "709" "1" "A1" "0.995"
"135" "Meth-ASV-486" "230" "709" "1" "A1" "0.995"
"136" "Meth-ASV-44" "232" "709" "1" "A1" "0.995"
"137" "Meth-ASV-191" "239" "709" "1" "A1" "0.995"
"138" "Meth-ASV-577" "240" "709" "1" "A1" "0.995"
"139" "Meth-ASV-525" "241" "709" "1" "A1" "0.995"
"140" "Meth-ASV-749" "242" "709" "1" "A1" "0.995"
"141" "Meth-ASV-1203" "243" "709" "1" "A1" "0.995"
"142" "Meth-ASV-77" "244" "709" "1" "A1" "0.995"
"143" "Meth-ASV-421" "248" "744" "1" "A10" "0.225"
"144" "Meth-ASV-479" "249" "745" "1" "A10" "0.88"
"145" "Meth-ASV-78" "250" "747" "1" "A10" "1"
"146" "Meth-ASV-167" "252" "748" "1" "A10" "1"
"147" "Meth-ASV-968" "254" "743" "1" "A10" "0"
"148" "Meth-ASV-997" "255" "743" "1" "A10" "0"
"149" "Meth-ASV-1149" "262" "756" "1" "A5a" "0.085"
"150" "Meth-ASV-809" "265" "757" "1" "B" "0.085"
"151" "Meth-ASV-1356" "266" "757" "1" "B" "0.085"
"152" "Meth-ASV-212" "267" "757" "1" "B" "0.085"
"153" "Meth-ASV-932" "268" "757" "1" "B" "0.085"
"154" "Meth-ASV-582" "269" "757" "1" "B" "0.085"
"155" "Meth-ASV-1121" "270" "757" "1" "B" "0.085"
"156" "Meth-ASV-509" "271" "757" "1" "B" "0.085"
"157" "Meth-ASV-691" "272" "757" "1" "B" "0.085"
"158" "Meth-ASV-125" "273" "757" "1" "B" "0.085"
"159" "Meth-ASV-146" "274" "757" "1" "B" "0.085"
"160" "Meth-ASV-270" "275" "757" "1" "B" "0.085"
"161" "Meth-ASV-935" "276" "757" "1" "B" "0.085"
"162" "Meth-ASV-48" "277" "757" "1" "B" "0.085"
"163" "Meth-ASV-680" "278" "757" "1" "B" "0.085"
"164" "Meth-ASV-1271" "279" "757" "1" "B" "0.085"
"165" "Meth-ASV-123" "280" "757" "1" "B" "0.085"
"166" "Meth-ASV-7" "281" "757" "1" "B" "0.085"
"167" "Meth-ASV-756" "282" "757" "1" "B" "0.085"
"168" "Meth-ASV-1115" "283" "757" "1" "B" "0.085"
"169" "Meth-ASV-612" "284" "757" "1" "B" "0.085"
"170" "Meth-ASV-594" "285" "757" "1" "B" "0.085"
"171" "Meth-ASV-140" "286" "757" "1" "B" "0.085"
"172" "Meth-ASV-369" "287" "757" "1" "B" "0.085"
"173" "Meth-ASV-490" "288" "757" "1" "B" "0.085"
"174" "Meth-ASV-504" "289" "757" "1" "B" "0.085"
"175" "Meth-ASV-1267" "290" "785" "1" "B" "0.245"
"176" "Meth-ASV-911" "307" "787" "1" "B" "0.15"
"177" "Meth-ASV-381" "310" "802" "1" "B" "0.975"
"178" "Meth-ASV-382" "313" "802" "1" "B" "0.975"
"179" "Meth-ASV-833" "314" "802" "1" "B" "0.975"
"180" "Meth-ASV-287" "318" "802" "1" "B" "0.975"
"181" "Meth-ASV-906" "329" "822" "1" "A4" "0.85"
"182" "Meth-ASV-1391" "330" "822" "1" "A4" "0.85"
"183" "Meth-ASV-371" "332" "822" "1" "A4" "0.85"
"184" "Meth-ASV-785" "333" "822" "1" "A4" "0.85"
"185" "Meth-ASV-887" "336" "820" "1" "A4" "0.66"
"186" "Meth-ASV-414" "337" "820" "1" "A4" "0.66"
"187" "Meth-ASV-1064" "338" "820" "1" "A4" "0.66"
"188" "Meth-ASV-529" "339" "820" "1" "A4" "0.66"
"189" "Meth-ASV-1380" "340" "820" "1" "A4" "0.66"
"190" "Meth-ASV-1362" "341" "820" "1" "A4" "0.66"
"191" "Meth-ASV-908" "342" "820" "1" "A4" "0.66"
"192" "Meth-ASV-506" "343" "820" "1" "A4" "0.66"
"193" "Meth-ASV-710" "344" "820" "1" "A4" "0.66"
"194" "Meth-ASV-277" "345" "820" "1" "A4" "0.66"
"195" "Meth-ASV-589" "346" "820" "1" "A4" "0.66"
"196" "Meth-ASV-104" "347" "820" "1" "A4" "0.66"
"197" "Meth-ASV-1079" "348" "820" "1" "A4" "0.66"
"198" "Meth-ASV-1286" "349" "820" "1" "A4" "0.66"
"199" "Meth-ASV-669" "350" "820" "1" "A4" "0.66"
"200" "Meth-ASV-942" "351" "820" "1" "A4" "0.66"
"201" "Micr-ASV-1361" "377" "869" "1" "Microvirga" "0.475"
"202" "Micr-ASV-936" "384" "878" "1" "Microvirga" "0.395"
"203" "Micr-ASV-1014" "385" "878" "1" "Microvirga" "0.395"
"204" "Micr-ASV-1063" "392" "884" "1" "Microvirga" "0.485"
"205" "Micr-ASV-810" "401" "889" "1" "Microvirga" "0.965"
"206" "Ente-ASV-1068" "412" "902" "1" "Enterovirga" "0.065"
"207" "Ente-ASV-1133" "413" "902" "1" "Enterovirga" "0.065"
"208" "Ente-ASV-1314" "414" "902" "1" "Enterovirga" "0.065"
"209" "Ente-ASV-1066" "415" "902" "1" "Enterovirga" "0.065"
"210" "Ente-ASV-1382" "416" "902" "1" "Enterovirga" "0.065"
"211" "Ente-ASV-1297" "417" "902" "1" "Enterovirga" "0.065"
"212" "Ente-ASV-772" "418" "902" "1" "Enterovirga" "0.065"
"213" "Ente-ASV-508" "419" "902" "1" "Enterovirga" "0.065"
"214" "Ente-ASV-1114" "420" "902" "1" "Enterovirga" "0.065"
"215" "Ente-ASV-797" "421" "902" "1" "Enterovirga" "0.065"
"216" "Ente-ASV-865" "422" "902" "1" "Enterovirga" "0.065"
"217" "Ente-ASV-261" "423" "902" "1" "Enterovirga" "0.065"
"218" "Ente-ASV-500" "424" "902" "1" "Enterovirga" "0.065"
"219" "Ente-ASV-1244" "425" "902" "1" "Enterovirga" "0.065"
"220" "Ente-ASV-1344" "426" "902" "1" "Enterovirga" "0.065"
"221" "Ente-ASV-597" "427" "902" "1" "Enterovirga" "0.065"
"222" "Ente-ASV-1000" "428" "902" "1" "Enterovirga" "0.065"
"223" "Ente-ASV-565" "429" "902" "1" "Enterovirga" "0.065"
"224" "Ente-ASV-862" "430" "902" "1" "Enterovirga" "0.065"
"225" "Ente-ASV-583" "431" "902" "1" "Enterovirga" "0.065"
"226" "Ente-ASV-1381" "432" "902" "1" "Enterovirga" "0.065"
"227" "Ente-ASV-681" "433" "902" "1" "Enterovirga" "0.065"
"228" "Ente-ASV-1122" "434" "902" "1" "Enterovirga" "0.065"
"229" "Ente-ASV-351" "435" "902" "1" "Enterovirga" "0.065"
"230" "Ente-ASV-386" "436" "902" "1" "Enterovirga" "0.065"
"231" "Ente-ASV-1024" "437" "902" "1" "Enterovirga" "0.065"
"232" "Ente-ASV-234" "438" "902" "1" "Enterovirga" "0.065"
"233" "Ente-ASV-632" "439" "902" "1" "Enterovirga" "0.065"
"234" "Ente-ASV-1052" "440" "902" "1" "Enterovirga" "0.065"
"235" "Ente-ASV-501" "441" "902" "1" "Enterovirga" "0.065"
"236" "Ente-ASV-543" "442" "902" "1" "Enterovirga" "0.065"
"237" "Ente-ASV-581" "443" "902" "1" "Enterovirga" "0.065"
"238" "Ente-ASV-637" "444" "902" "1" "Enterovirga" "0.065"
"239" "Ente-ASV-704" "445" "902" "1" "Enterovirga" "0.065"
"240" "Ente-ASV-1060" "446" "902" "1" "Enterovirga" "0.065"
"241" "Ente-ASV-1278" "447" "938" "1" "Enterovirga" "0.135"
"242" "Ente-ASV-881" "448" "938" "1" "Enterovirga" "0.135"
"243" "Ente-ASV-1156" "449" "938" "1" "Enterovirga" "0.135"
"244" "Ente-ASV-1349" "450" "938" "1" "Enterovirga" "0.135"
"245" "Ente-ASV-1221" "451" "938" "1" "Enterovirga" "0.135"
"246" "Ente-ASV-1397" "452" "938" "1" "Enterovirga" "0.135"
"247" "Ente-ASV-377" "454" "938" "1" "Enterovirga" "0.135"
"248" "Ente-ASV-1241" "455" "938" "1" "Enterovirga" "0.135"
"249" "Ente-ASV-806" "456" "938" "1" "Enterovirga" "0.135"
"250" "Ente-ASV-1047" "457" "938" "1" "Enterovirga" "0.135"
"251" "Ente-ASV-1103" "458" "902" "1" "Enterovirga" "0.065"
"252" "Ente-ASV-854" "459" "902" "1" "Enterovirga" "0.065"
"253" "Ente-ASV-471" "460" "902" "1" "Enterovirga" "0.065"
"254" "Ente-ASV-778" "461" "902" "1" "Enterovirga" "0.065"
"255" "Ente-ASV-891" "462" "902" "1" "Enterovirga" "0.065"
"256" "Ente-ASV-974" "463" "902" "1" "Enterovirga" "0.065"
"257" "Ente-ASV-765" "464" "902" "1" "Enterovirga" "0.065"
"258" "Ente-ASV-1127" "465" "902" "1" "Enterovirga" "0.065"
"259" "Ente-ASV-783" "467" "956" "1" "Enterovirga" "0.095"
"260" "Ente-ASV-944" "468" "956" "1" "Enterovirga" "0.095"
"261" "Ente-ASV-966" "469" "956" "1" "Enterovirga" "0.095"
"262" "Ente-ASV-1013" "470" "956" "1" "Enterovirga" "0.095"
"263" "Ente-ASV-1055" "471" "956" "1" "Enterovirga" "0.095"
"264" "Ente-ASV-1249" "472" "956" "1" "Enterovirga" "0.095"
"265" "Ente-ASV-1032" "473" "956" "1" "Enterovirga" "0.095"
"266" "Ente-ASV-1077" "474" "956" "1" "Enterovirga" "0.095"
"267" "Ente-ASV-1174" "475" "956" "1" "Enterovirga" "0.095"
"268" "Ente-ASV-524" "476" "956" "1" "Enterovirga" "0.095"
"269" "Ente-ASV-1339" "477" "956" "1" "Enterovirga" "0.095"
"270" "Ente-ASV-596" "478" "956" "1" "Enterovirga" "0.095"
"271" "Ente-ASV-323" "479" "956" "1" "Enterovirga" "0.095"
"272" "Ente-ASV-655" "480" "956" "1" "Enterovirga" "0.095"
"273" "Ente-ASV-576" "481" "956" "1" "Enterovirga" "0.095"
"274" "Ente-ASV-652" "482" "956" "1" "Enterovirga" "0.095"
"275" "Ente-ASV-199" "483" "956" "1" "Enterovirga" "0.095"
"276" "Ente-ASV-372" "484" "956" "1" "Enterovirga" "0.095"
"277" "Ente-ASV-593" "485" "956" "1" "Enterovirga" "0.095"
"278" "Ente-ASV-334" "486" "956" "1" "Enterovirga" "0.095"
"279" "Ente-ASV-216" "487" "956" "1" "Enterovirga" "0.095"
"280" "Ente-ASV-176" "488" "956" "1" "Enterovirga" "0.095"
"281" "Ente-ASV-893" "489" "956" "1" "Enterovirga" "0.095"
"282" "Ente-ASV-248" "490" "956" "1" "Enterovirga" "0.095"
"283" "Ente-ASV-367" "491" "956" "1" "Enterovirga" "0.095"
