Site	Subsite	Tree	X	Y
SBL	SBL-01	SBL-01-01	1.00	8.00
SBL	SBL-01	SBL-01-02	1.00	11.75
SBL	SBL-01	SBL-01-03	5.00	7.75
SBL	SBL-01	SBL-01-04	7.50	8.25
SBL	SBL-01	SBL-01-05	10.50	9.75
SBL	SBL-01	SBL-01-06	5.50	4.75
SBL	SBL-01	SBL-01-07	4.50	9.75
SBL	SBL-01	SBL-01-08	10.00	2.25
SBL	SBL-01	SBL-01-09	1.75	1.00
SBL	SBL-01	SBL-01-10	1.00	2.65
SBL	SBL-02	SBL-02-01	5.50	1.50
SBL	SBL-02	SBL-02-02	6.50	5.00
SBL	SBL-02	SBL-02-03	5.00	6.25
SBL	SBL-02	SBL-02-04	5.25	3.00
SBL	SBL-02	SBL-02-05	8.75	2.50
SBL	SBL-02	SBL-02-06	10.25	5.00
SBL	SBL-02	SBL-02-07	4.75	4.00
SBL	SBL-02	SBL-02-08	12.25	1.00
SBL	SBL-02	SBL-02-09	0.00	0.25
SBL	SBL-02	SBL-02-10	5.75	10.00
SBL	SBL-04	SBL-04-01	5.70	1.00
SBL	SBL-04	SBL-04-02	7.50	1.75
SBL	SBL-04	SBL-04-03	8.50	2.75
SBL	SBL-04	SBL-04-04	1.50	6.50
SBL	SBL-04	SBL-04-05	2.75	5.75
SBL	SBL-04	SBL-04-06	6.25	6.50
SBL	SBL-04	SBL-04-07	2.75	8.75
SBL	SBL-04	SBL-04-08	3.00	5.00
SBL	SBL-04	SBL-04-09	9.00	0.00
SBL	SBL-04	SBL-04-10	3.25	1.00
SBL	SBL-03	SBL-03-01	3.50	4.00
SBL	SBL-03	SBL-03-02	5.40	1.00
SBL	SBL-03	SBL-03-03	0.00	8.00
SBL	SBL-03	SBL-03-04	5.80	8.00
SBL	SBL-03	SBL-03-05	2.90	8.00
SBL	SBL-03	SBL-03-06	8.00	6.00
SBL	SBL-03	SBL-03-07	3.00	1.00
SBL	SBL-03	SBL-03-08	13.30	1.25
SBL	SBL-03	SBL-03-09	15.25	4.00
SBL	SBL-03	SBL-03-10	17.20	6.75
MSH	MSH-05	MSH-05-01	5.60	6.40
MSH	MSH-05	MSH-05-02	4.00	4.00
MSH	MSH-05	MSH-05-03	6.40	0.40
MSH	MSH-05	MSH-05-04	7.20	3.20
MSH	MSH-05	MSH-05-05	2.00	5.60
MSH	MSH-05	MSH-05-06	0.80	8.00
MSH	MSH-05	MSH-05-07	4.00	9.20
MSH	MSH-04	MSH-04-01	10.00	4.00
MSH	MSH-04	MSH-04-02	6.40	5.20
MSH	MSH-04	MSH-04-03	1.60	3.20
MSH	MSH-04	MSH-04-04	4.40	1.20
MSH	MSH-04	MSH-04-05	3.60	9.20
MSH	MSH-04	MSH-04-06	6.00	14.80
MSH	MSH-04	MSH-04-07	2.40	16.00
MSH	MSH-03	MSH-03-01	7.60	1.80
MSH	MSH-03	MSH-03-02	0.00	3.00
MSH	MSH-03	MSH-03-03	2.00	0.80
MSH	MSH-03	MSH-03-04	9.60	0.00
MSH	MSH-03	MSH-03-05	12.40	1.80
MSH	MSH-03	MSH-03-06	8.00	9.20
MSH	MSH-02	MSH-02-01	9.00	6.40
MSH	MSH-02	MSH-02-02	6.00	7.60
MSH	MSH-02	MSH-02-03	7.20	15.00
MSH	MSH-02	MSH-02-04	8.00	17.20
MSH	MSH-02	MSH-02-05	2.80	9.00
MSH	MSH-02	MSH-02-06	1.20	3.60
MSH	MSH-01	MSH-01-01	13.00	8.80
MSH	MSH-01	MSH-01-02	14.40	11.20
MSH	MSH-01	MSH-01-03	14.00	16.00
MSH	MSH-01	MSH-01-04	8.00	16.00
MSH	MSH-01	MSH-01-05	5.80	19.00
MSH	MSH-01	MSH-01-06	21.68	7.80
MSH	MSH-01	MSH-01-07	12.00	4.40
MSH	MSH-06	MSH-06-01	8	24
MSH	MSH-06	MSH-06-02	8	19.2
MSH	MSH-06	MSH-06-03	8	14.4
MSH	MSH-06	MSH-06-04	5.4	10.8
MSH	MSH-06	MSH-06-05	5.2	7.2
MSH	MSH-06	MSH-06-06	5.2	3.8
