"Df" "SumsOfSqs" "MeanSqs" "F.Model" "R2" "Pr(>F)"
"SITE" 1 12.430309662749 12.430309662749 118.657035154047 0.324025570343117 9.99900009999e-05
"SPE" 6 2.72765134940444 0.454608558234073 4.33959451849903 0.0711027165185268 9.99900009999e-05
"TIME" 6 1.8317129140722 0.305285485678699 2.91418891314946 0.0477479514018669 9.99900009999e-05
"SS" 8 3.06502848681421 0.383128560851776 3.65726199482748 0.0798972536085829 9.99900009999e-05
"SITE:SPE" 1 0.172290098204673 0.172290098204673 1.6446438418691 0.00449115097289496 0.103389661033897
"SPE:TIME" 21 2.82287099898261 0.134422428522982 1.2831672950629 0.0735848430382627 0.0234976502349765
"SPE:SS" 10 1.64379739205448 0.164379739205448 1.56913327364368 0.0428494866129658 0.0045995400459954
"TIME:SS" 21 2.2290522464419 0.106145345068662 1.01324040051833 0.0581055456440022 0.457554244575542
"SPE:TIME:SS" 26 3.2682649134472 0.125702496671046 1.19992872029137 0.085195094196706 0.0510948905109489
"Residuals" 78 8.17114764780428 0.104758303176978 NA 0.213000387663075 NA
"Total" 178 38.362125709975 NA NA 1 NA
