"ASVs" "Fr" "MSH" "SBL"
"A1" 31 0.0671746005477461 0.13451322495709 0.00763308001737859
"A10" 6 0.0105078104743448 0.0124387593645677 0.00880044513983186
"A2" 7 0.00339006095537353 0.00313366715705025 0.00361676705073305
"A3" 2 0.00129685824664645 0.000576923763083978 0.0019334318952701
"A4" 20 0.0154310319803219 0.0229701386202409 0.00876487453028832
"A5a" 1 0 0 0
"A5b" 2 0.000367569472949438 0.000783273043547016 0
"A6" 37 0.244213360615998 0.327784484323709 0.170318893337601
"A9" 59 0.45101375021473 0.389103203213801 0.50575570756292
"B" 31 0.191853255886106 0.100893344528989 0.27228096698082
"un" 4 0.0147517016057836 0.00780298102792033 0.0208958334851574
