"CLx" "strain" "T1" "T2" "day" "Petri" "spot" "X_position" "Y_position" "radius" "av_intensity" "sd_intensity" "av_intensity_back" "sd_intensity_back" "filter"
"1" "A9" "E-047" "20" "20" "7" "P01" " 1" "131" " 89" "16.0" "13.39898369" " 3.691782" " 0.14692886" "3.971900" "1"
"2" "A9" "E-066" "20" "20" "7" "P01" " 3" "132" "201" "15.0" "20.56823695" " 4.634775" " 0.15300133" "4.776719" "1"
"3" "B" "J-014" "20" "20" "7" "P01" " 5" "127" "312" "17.0" "16.37247503" " 6.055376" "-0.54331206" "4.009869" "1"
"4" "B" "E-064" "20" "20" "7" "P01" " 7" "186" " 96" "15.0" "13.33056417" " 4.339400" "-0.06248008" "3.930594" "1"
"5" "A9" "J-009" "20" "20" "7" "P01" " 9" "181" "209" "12.0" " 4.09065760" " 2.331889" "-0.35575915" "3.099577" "1"
"6" "A9" "J-028" "20" "20" "7" "P01" "11" "191" "321" "15.0" "24.42617772" " 8.546443" " 0.23046481" "6.333185" "1"
"7" "A9" "J-045" "20" "20" "7" "P01" "13" "250" "104" "16.0" " 3.18419072" " 3.251291" "-0.37323187" "2.603951" "1"
"8" "A6" "J-059" "20" "20" "7" "P01" "15" "251" "216" "17.0" " 1.45076582" " 3.386748" "-0.87885461" "2.321062" "1"
"9" "A6" "J-073" "20" "20" "7" "P01" "17" "242" "329" "15.0" " 0.38959097" " 2.484151" "-0.53305445" "2.403519" "1"
"10" "A10" "J-076" "20" "20" "7" "P01" "19" "304" "104" "15.0" " 4.22442877" " 2.918643" " 0.11273572" "4.946407" "1"
"11" "A9" "J-087" "20" "20" "7" "P01" "21" "297" "219" "17.0" " 5.80571587" " 4.574272" "-0.80244681" "2.373800" "1"
"12" "Neg" "0" "20" "20" "7" "P01" "23" "293" "323" "15.0" "-0.01668547" " 2.253770" "-0.22826029" "2.175109" "1"
"13" "B" "E-003" "20" "20" "7" "P01" "25" "347" " 88" "15.0" "21.05397743" " 5.086694" " 1.12315737" "6.926731" "1"
"14" "A6" "E-020" "20" "20" "7" "P01" "27" "352" "195" "15.0" " 0.84916784" " 2.446587" "-0.52266268" "2.268104" "1"
"15" "A6" "E-030" "20" "20" "7" "P01" "29" "357" "309" "16.0" " 4.25489335" " 7.721979" "-0.73730164" "2.367491" "1"
"16" "A9" "E-010" "20" "20" "7" "P01" "31" "409" " 98" "14.0" "12.84388254" " 3.958327" " 0.43954303" "5.502643" "1"
"17" "A6" "E-025" "20" "20" "7" "P01" "33" "412" "211" "15.0" " 2.10455571" " 2.588248" "-0.50017928" "2.474675" "1"
"18" "A6" "E-041" "20" "20" "7" "P01" "35" "405" "318" "15.0" " 0.45850494" " 2.563656" "-0.73033865" "2.327202" "1"
"19" "A9" "E-047" "30" "20" "7" "P01" " 2" "129" "144" "16.0" "10.96697616" " 3.226468" " 0.07721956" "3.609525" "1"
"20" "A9" "E-066" "30" "20" "7" "P01" " 4" "129" "259" "16.0" "12.27637390" " 4.839366" "-0.29190150" "3.862626" "1"
"21" "B" "J-014" "30" "20" "7" "P01" " 6" "125" "372" "17.0" "20.62780244" " 5.831261" " 0.14175177" "6.115036" "1"
"22" "B" "E-064" "30" "20" "7" "P01" " 8" "184" "149" "14.0" " 8.39740620" " 3.089400" "-0.23028636" "3.241452" "1"
"23" "A9" "J-009" "30" "20" "7" "P01" "10" "187" "266" "15.0" " 5.53466855" " 3.138485" "-0.51078021" "2.673952" "1"
"24" "A9" "J-028" "30" "20" "7" "P01" "12" "194" "381" "12.0" " 6.91646259" " 2.751283" " 0.35598708" "4.159346" "1"
