"Rate" "Yield" "pRate" "pYield"
"SITE" 0.0151 0.0021 0.010689 0.296843
"SPE" 0.0215 0.0128 0.002452 0.009878
"D" 0.0538 0.0129 2e-06 0.009542
"TM" 0.1581 0.0197 0 0.001453
"CL" 0.0764 0.3057 9e-06 0
"TP" 0.0013 0.0144 0.459031 0.006238
"SITE:D" 0.0058 0.0361 0.111192 2e-05
"SPE:D" 0.001 0.0145 0.512846 0.006128
"SPE:CL" 0.0055 0.0579 0.660454 9e-06
"D:CL" 0.0315 0.022 0.01947 0.043894
"SITE:SPE:D" 0.0194 0.0347 0.00397 2.8e-05
"SITE:SPE:CL" 0.0127 0.0061 0.019367 0.072986
"" 0.1416 0.0837 NA NA
"Residuals" 0.4561 0.3774 NA NA
