"V1" "V2" "V3" "V4" "1" "2" "3" "4" "5" "YIELD" "RATE"
"E-047_20_20" "A9" "E-047" "20" "20" "SBL" "SBL-03" "ACSA" "20" "307" 15.7321378984162 0.0548629113003882
"E-066_20_20" "A9" "E-066" "20" "20" "SBL" "SBL-01" "FAGR" "30" "333" 21.9924054373945 0.0884755312070894
"J-014_20_20" "B" "J-014" "20" "20" "MSH" "MSH-01" "ACSA" "30" "427" 14.6485200365735 0.134027057382344
"E-064_20_20" "B" "E-064" "20" "20" "SBL" "SBL-04" "FAGR" "30" "399" 11.9989906135039 0.0920266288253169
"J-045_20_20" "A9" "J-045" "20" "20" "SBL" "SBL-03" "ACSA" "30" "364" 3.36766837723605 0.102628837677099
"J-073_20_20" "A6" "J-073" "20" "20" "SBL" "SBL-04" "FAGR" "30" "333" 2.12521442293117 0.0799360511590727
"E-003_20_20" "B" "E-003" "20" "20" "MSH" "MSH-01" "ACSA" "30" "386" 23.8722556580549 0.0755025829433625
"E-030_20_20" "A6" "E-030" "20" "20" "SBL" "SBL-01" "FAGR" "30" "333" 4.92482106695322 0.0695043919825294
"E-010_20_20" "A9" "E-010" "20" "20" "SBL" "SBL-02" "ACSA" "30" "333" 13.5321147627516 0.104539742874048
"E-025_20_20" "A6" "E-025" "20" "20" "MSH" "MSH-01" "ACSA" "30" "354" 0.889951970175188 0.0884628517946459
"E-047_30_20" "A9" "E-047" "30" "20" "SBL" "SBL-03" "ACSA" "20" "307" 11.02292193622 0.058673463400667
"E-066_30_20" "A9" "E-066" "30" "20" "SBL" "SBL-01" "FAGR" "30" "333" 15.1263860968935 0.0791040360461271
"J-014_30_20" "B" "J-014" "30" "20" "MSH" "MSH-01" "ACSA" "30" "427" 16.7719961999261 0.112194913980159
"E-064_30_20" "B" "E-064" "30" "20" "SBL" "SBL-04" "FAGR" "30" "399" 8.23777780773159 0.0944533230568118
"J-045_30_20" "A9" "J-045" "30" "20" "SBL" "SBL-03" "ACSA" "30" "364" 2.40346183537648 0.0622140099729058
"E-003_30_20" "B" "E-003" "30" "20" "MSH" "MSH-01" "ACSA" "30" "386" 21.0634696987161 0.0743357358643165
"E-010_30_20" "A9" "E-010" "30" "20" "SBL" "SBL-02" "ACSA" "30" "333" 15.3111788531322 0.0765713200589293
"E-025_30_20" "A6" "E-025" "30" "20" "MSH" "MSH-01" "ACSA" "30" "354" 0.837481089315037 0.118844945970116
"E-041_30_20" "A6" "E-041" "30" "20" "SBL" "SBL-04" "FAGR" "20" "333" 1.00867886330992 0.0605757727197008
"E-047_20_30" "A9" "E-047" "20" "30" "SBL" "SBL-03" "ACSA" "20" "307" 8.01132253700392 0.0682448283216038
