"n" "rate" "rate.sd" "yield" "yield.sd"
"A1" 20 0.100949666941086 0.0324149638797886 2.14283353940224 2.15590807783269
"A10" 27 0.087935832096846 0.0244652291423484 5.85810278009394 4.5139040830789
"A2" 8 0.120571525191133 0.0310144761073215 9.40310028546584 4.66647835531141
"A6" 76 0.0822631836896266 0.0212332529546699 2.65703030471479 2.02282458519254
"A9" 161 0.0845924823721316 0.0284469799302462 6.90539222812652 4.38016029331849
"B" 20 0.116834962190067 0.0270222986833266 12.2409871070323 5.03737291864815
"307" 32 0.0753712795708177 0.0175937167200355 7.41962210604632 3.94440564813871
"314" 48 0.084669787737315 0.0332913215559526 5.41163430476505 4.27263395369613
"333" 76 0.0800970284669563 0.0209079883646801 6.03528153460279 4.84222789668556
"354" 24 0.0950145855537272 0.0324372909194526 2.32603833079491 3.71333497160743
"364" 33 0.0908432382714442 0.03109615198601 3.27853091578295 2.73797443728418
"386" 28 0.0957943202677691 0.0267810948779682 7.95193425007625 5.91054640770229
"399" 44 0.0966688394470593 0.0311577719903426 6.70850007948028 4.65191752076465
"427" 27 0.103284153056688 0.0265986178358402 7.29852180927593 4.05155541058547
"20" 155 0.0768103088629578 0.0220131554888076 6.91392843751269 5.35000349910598
"30" 157 0.099747299358811 0.0295876066469399 4.86059576017314 3.61544047286966
"MSH" 127 0.0930347477536116 0.0309316808616288 5.7897449954361 4.90572616150617
"SBL" 185 0.0851378968020709 0.0262696465230327 5.9431071769798 4.50950257893266
