T1=20	T1=30	P01	P02	P03	P04	P05	P06	P07	P08	P09	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24
1	2	E-047	E-061-B	J-083	J-029	E-009	J-052	J-036	E-002	J-031	J-045	E-011	J-077	J-037	E-010	E-012	E-064	J-030	E-003	E-062	E-061-R	E-063	E-005	J-085	E-046
3	4	E-066	J-002	J-092	J-047	E-024	J-067	J-054	E-016	J-050	J-059	E-026	J-088	J-056	E-025	E-027	J-009	J-048	E-020	J-005	0	J-008	E-021	CN2	E-065
5	6	J-014	J-019	0	J-062	E-040	0	J-068	E-028	J-065	J-073	E-042	0	J-070	E-041	E-045	J-028	J-064	E-030	J-022	0	J-026	E-035	0	J-010
7	8	E-064	E-009	E-061-B	J-043	E-063	E-006	J-078	J-037	E-046	E-010	J-083	J-036	E-011	J-030	E-061-R	E-002	E-047	J-076	J-001	J-031	J-029	J-082	E-003	E-062
9	10	J-009	E-024	J-002	J-057	J-008	E-022	J-082	J-056	E-065	E-025	J-092	J-054	E-026	J-048	0	E-016	E-066	J-087	J-015	J-050	J-047	J-090	E-020	J-005
11	12	J-028	E-040	J-019	J-072	J-026	E-039	0	J-070	J-010	E-041	0	J-068	E-042	J-064	0	E-028	J-014	0	0	J-065	J-062	0	E-030	J-022
13	14	J-045	E-012	J-031	J-052	J-076	J-084	E-003	E-006	E-061-R	J-001	E-063	E-064	E-061-B	J-043	J-037	E-046	E-011	E-005	J-078	J-083	E-062	J-030	E-047	E-009
15	16	J-059	E-027	J-050	J-067	J-087	CN1	E-020	E-022	0	J-015	J-008	J-009	J-002	J-057	J-056	E-065	E-026	E-021	J-082	J-092	J-005	J-048	E-066	E-024
17	18	J-073	E-045	J-065	0	0	0	E-030	E-039	0	0	J-026	J-028	J-019	J-072	J-070	J-010	E-042	E-035	0	0	J-022	J-064	J-014	E-040
19	20	J-076	J-077	E-046	E-002	E-005	J-031	E-012	J-001	E-009	J-082	E-006	E-010	E-064	E-047	E-063	J-078	J-074	J-045	J-029	J-043	J-085	E-061-R	J-036	J-052
21	22	J-087	J-088	E-065	E-016	E-021	J-050	E-027	J-015	E-024	J-090	E-022	E-025	J-009	E-066	J-008	J-082	J-086	J-059	J-047	J-057	CN2	0	J-054	J-067
23	24	0	0	J-010	E-028	E-035	J-065	E-045	0	E-040	0	E-039	E-041	J-028	J-014	J-026	0	J-093	J-073	J-062	J-072	0	0	J-068	0
25	26	E-003	J-030	E-011	J-085	E-012	J-029	E-064	E-062	J-045	J-052	E-061-B	E-061-R	E-002	E-006	J-084	E-005	J-036	E-046	J-037	J-001	E-010	J-043	E-009	J-074
27	28	E-020	J-048	E-026	CN2	E-027	J-047	J-009	J-005	J-059	J-067	J-002	0	E-016	E-022	CN1	E-021	J-054	E-065	J-056	J-015	E-025	J-057	E-024	J-086
29	30	E-030	J-064	E-042	0	E-045	J-062	J-028	J-022	J-073	0	J-019	0	E-028	E-039	0	E-035	J-068	J-010	J-070	0	E-041	J-072	E-040	J-093
31	32	E-010	E-063	J-036	E-006	E-047	J-043	E-061-B	J-084	J-085	E-005	J-037	E-012	J-077	J-074	J-001	E-011	E-062	J-031	E-003	E-002	J-045	J-052	J-030	J-029
33	34	E-025	J-008	J-054	E-022	E-066	J-057	J-002	CN1	CN2	E-021	J-056	E-027	J-088	J-086	J-015	E-026	J-005	J-050	E-020	E-016	J-059	J-067	J-048	J-047
35	36	E-041	J-026	J-068	E-039	J-014	J-072	J-019	0	0	E-035	J-070	E-045	0	J-093	0	E-042	J-022	J-065	E-030	E-028	J-073	0	J-064	J-062
