souches	ASSg	group	Date_tree	Date_Loc	Date_samp	Loc	Tree	Species	Temp	growth_20	growth_30	20	30
E-002	1	Mb01	MSH_6_6_EF	MSH_EF	EF	MSH	MSH_6_6	Hetre_Amerique	30	ok	ok	T	S/T
E-003	2	extorquens	MSH_1_3_EF	MSH_EF	EF	MSH	MSH_1_3	Erable_a_sucre	30	ok	ok	T	T
E-005	3	phyllospharea	MSH_1_1_EF	MSH_EF	EF	MSH	MSH_1_1	Hetre_Amerique	30	ok	ok	S	S
E-006	4	phyllospharea	SBL_3_7_AB	SBL_AB	AB	SBL	SBL_3_7	Erable_a_sucre	30	ok	ok	T	T
E-009	5	phyllospharea	MSH_3_1_AB	MSH_AB	AB	MSH	MSH_3_1	Erable_a_sucre	30	ok	ok	T	T
E-010	6	Mb01	SBL_2_4_CD	SBL_CD	CD	SBL	SBL_2_4	Erable_a_sucre	30	ok	ok	S	T
E-011	7	Mb01	SBL_3_7_CD	SBL_CD	CD	SBL	SBL_3_7	Erable_a_sucre	30	ok	ok	T	T
E-012	8	phyllospharea	SBL_3_7_CD	SBL_CD	CD	SBL	SBL_3_7	Erable_a_sucre	30	ok	ok	T	T
E-016	9	Mb05	MSH_1_3_AB	MSH_AB	AB	MSH	MSH_1_3	Erable_a_sucre	20	ok	+/-	S	S
E-020	10	Mb05	MSH_3_1_AB	MSH_AB	AB	MSH	MSH_3_1	Erable_a_sucre	20	ok	rien	S	S
E-021	11	phyllospharea	SBL_4_3_AB	SBL_AB	AB	SBL	SBL_4_3	Hetre_Amerique	20	ok	ok	T	S
E-022	18	Mb01	MSH_1_3_AB	MSH_AB	AB	MSH	MSH_1_3	Erable_a_sucre	30	ok	ok	T	T
E-024	20	Mb01	MSH_6_6_CD	MSH_CD	CD	MSH	MSH_6_6	Hetre_Amerique	30	ok	ok	S/T	S/T
E-025	19	Mb05	MSH_1_3_CD	MSH_CD	CD	MSH	MSH_1_3	Erable_a_sucre	30	ok	ok	S	S
E-026	1	Mb01	SBL_1_2_AB	SBL_AB	AB	SBL	SBL_1_2	Hetre_Amerique	30	ok	ok	S	S
E-027	18	Mb01	SBL_1_2_AB	SBL_AB	AB	SBL	SBL_1_2	Hetre_Amerique	30	ok	ok	T	T
E-028	17	Mb01	SBL_4_3_CD	SBL_CD	CD	SBL	SBL_4_3	Hetre_Amerique	30	ok	ok	T	T
E-030	16	Mb05	SBL_1_2_CD	SBL_CD	CD	SBL	SBL_1_2	Hetre_Amerique	30	ok	ok	S	S
E-033	7	Mb01	SBL_4_3_GH	SBL_GH	GH	SBL	SBL_4_3	Hetre_Amerique	30	conta_(bact)	conta(bact)	X	X
E-035	15	Mb01	SBL_1_2_GH	SBL_GH	GH	SBL	SBL_1_2	Hetre_Amerique	30	ok	ok	T_(F)	S/T
E-039	14	Mb05	SBL_2_4_CD	SBL_CD	CD	SBL	SBL_2_4	Erable_a_sucre	20	ok	rien	S	S
E-040	13	Mb05	SBL_4_3_CD	SBL_CD	CD	SBL	SBL_4_3	Hetre_Amerique	20	ok	+/-	S	S
E-041	12	Mb05	SBL_4_3_CD	SBL_CD	CD	SBL	SBL_4_3	Hetre_Amerique	20	ok	+/-	S	S
E-042	30	Mb02	MSH_1_1_AB	MSH_AB	AB	MSH	MSH_1_1	Hetre_Amerique	20	ok	ok	S	S
E-045	29	Mb08	MSH_1_3_AB	MSH_AB	AB	MSH	MSH_1_3	Erable_a_sucre	20	ok	ok	S	S
E-046	28	phyllospharea	MSH_1_3_AB	MSH_AB	AB	MSH	MSH_1_3	Erable_a_sucre	20	ok	ok	T	S
E-047	27	Mb01	SBL_3_7_AB	SBL_AB	AB	SBL	SBL_3_7	Erable_a_sucre	20	ok	ok	F	S
E-048	26	extorquens	SBL_3_7_AB	SBL_AB	AB	SBL	SBL_3_7	Erable_a_sucre	20	ok	ok	X	X
E-061-B	25	Mb03	MSH_1_1_EF	MSH_EF	EF	MSH	MSH_1_1	Hetre_Amerique	30	R_et_B	R_et_B	S	S
E-061-R	25	Mb03	MSH_1_1_EF	MSH_EF	EF	MSH	MSH_1_1	Hetre_Amerique	30	ok	ok	S(F)	T
E-062	24	Mb01	SBL_3_7_AB	SBL_AB	AB	SBL	SBL_3_7	Erable_a_sucre	20	ok	ok	T	T
E-063	14	Mb05	SBL_1_2_CD	SBL_CD	CD	SBL	SBL_1_2	Hetre_Amerique	20	ok	ok	S	S/T
E-064	23	extorquens	SBL_4_3_GH	SBL_GH	GH	SBL	SBL_4_3	Hetre_Amerique	30	ok	ok	S	T
E-065	22	phyllospharea	SBL_4_3_EF	SBL_EF	EF	SBL	SBL_4_3	Hetre_Amerique	30	ok	ok	S	S/T
E-066	21	Mb01	SBL_1_2_CD	SBL_CD	CD	SBL	SBL_1_2	Hetre_Amerique	30	ok	ok	S	T
J-001	46	Mb01	MSH_3_1_AB	MSH_AB	AB	MSH	MSH_3_1	Erable_a_sucre	30	ok	ok	T	T
J-002	45	Mb01	MSH_3_1_AB	MSH_AB	AB	MSH	MSH_3_1	Erable_a_sucre	30	ok	ok	S	S/T
J-003	44	phyllospharea	MSH_3_1_AB	MSH_AB	AB	MSH	MSH_3_1	Erable_a_sucre	30	conta_(champi+bact)	ok	S	T
J-005	14	Mb05	SBL_1_2_EF	SBL_EF	EF	SBL	SBL_1_2	Hetre_Amerique	20	ok	ok	S	S/T
J-008	43	Mb01	SBL_2_4_CD	SBL_CD	CD	SBL	SBL_2_4	Erable_a_sucre	30	ok	ok_[deux_souches?]	T	T
J-009	42	Mb01	SBL_2_4_CD	SBL_CD	CD	SBL	SBL_2_4	Erable_a_sucre	30	ok	ok	T	S
J-010	7	Mb01	SBL_3_7_CD	SBL_CD	CD	SBL	SBL_3_7	Erable_a_sucre	30	ok	ok	T	S/T
J-014	32	extorquens	MSH_1_3_GH	MSH_GH	GH	MSH	MSH_1_3	Erable_a_sucre	30	ok	ok	S	S
J-015	41	Mb05	MSH_1_1_GH	MSH_GH	GH	MSH	MSH_1_1	Hetre_Amerique	20	ok	+/-	S	S
