"Strain" "type" "clade" "env" "genus" "species" "SITE" "PLOT" "TREE" "SPE" "BATCH" "SAMPLE" "TEMP" "DAY" "DAY14" "DATE"
"1" "E_048" "strain" "B" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-03" "SBL-03-07" "ACSA" "Iso-2019-1" "SBL-03-07-B" "20" "307" "311" "20-06-18"
"2" "NZ_JACHWM010000007_1_29628_33791_Methylobacterium_sp__R2_1_Ga0299752_07_whole_genome_shotgun_seq" "ref" "B" "UNKNOWN" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"3" "NZ_AP014809_1_4645912_4650073_Methylorubrum_populi_strain_P_1M" "ref" "B" "ANTHROPO/WATER" "Methylobacterium" "populi" NA NA NA NA NA NA NA NA NA NA
"4" "NZ_WEKV01000018_1_250119_254278_Methylorubrum_populi_strain_Pinkel_Pinkel_18_whole_genome_shotgu" "ref" "B" "ANTHROPO/SOIL" "Methylobacterium" "populi" NA NA NA NA NA NA NA NA NA NA
"5" "NZ_JACJIB010000004_1_421199_425358_Methylorubrum_thiocyanatum_strain_DSM_11490_Ga0415277_04_whol" "ref" "B" "RHIZHOSPHERE" "Methylobacterium" "thiocyanatum" NA NA NA NA NA NA NA NA NA NA
"6" "NZ_CP039546_1_4367210_4371369_Methylorubrum_populi_strain_YC_XJ1_chromosome_complete_genome" "ref" "B" "UNKNOWN" "Methylobacterium" "populi" NA NA NA NA NA NA NA NA NA NA
"7" "NC_010725_1_4794013_4798172_Methylorubrum_populi_BJ001_complete_sequence" "ref" "B" "ENDOPHYTE" "Methylobacterium" "populi" NA NA NA NA NA NA NA NA NA NA
"8" "NZ_LSNC01000049_1_118679_122838_Methylorubrum_populi_strain_CD11_7_CD11_7_contig_31_consensus_wh" "ref" "B" "ANTHROPO/MICROBIOME" "Methylobacterium" "populi" NA NA NA NA NA NA NA NA NA NA
"9" "NZ_QJJJ01000006_1_135709_139877_Methylobacterium_sp__B4_Ga0157232_106_whole_genome_shotgun_seque" "ref" "B" "ANTHROPO/WATER" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"10" "J_043" "strain" "B" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-01" "FAGR" "Iso-2019-1" "MSH-01-01-H" "20" "427" "427" "18-10-18"
"11" "NZ_LMNS01000023_1_393469_397637_Methylobacterium_sp__Leaf123_contig_3_whole_genome_shotgun_seque" "ref" "B" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"12" "NZ_MNAO01000026_1_9913_14081_Methylorubrum_extorquens_strain_CP3_NODE_26_length_25903_cov_22_777" "ref" "B" "SEED" "Methylobacterium" "extorquens" NA NA NA NA NA NA NA NA NA NA
"13" "J_014" "strain" "B" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-03" "ACSA" "Iso-2019-1" "MSH-01-03-G" "30" "427" "427" "18-10-18"
"14" "J_037" "strain" "B" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-01" "SBL-01-02" "FAGR" "Iso-2019-1" "SBL-01-02-G" "30" "399" "393" "20-09-18"
"15" "NC_012808_1_4495122_4499290_Methylorubrum_extorquens_AM1_complete_sequence" "ref" "B" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"16" "NZ_AGJK01000015_1_25037_29205_Methylorubrum_extorquens_DSM_13060_ctg1169_whole_genome_shotgun_se" "ref" "B" "PHYLLOSPHERE" "Methylobacterium" "extorquens" NA NA NA NA NA NA NA NA NA NA
"17" "NC_012988_1_4910194_4914362_Methylorubrum_extorquens_AM1_complete_genome" "ref" "B" "ANTHROPO/WATER" "Methylobacterium" "extorquens" NA NA NA NA NA NA NA NA NA NA
"18" "NC_012988_1_Methylobacterium_extorquens_DM4" "ref" "B" "ANTHROPO/WATER" "Methylobacterium" "extorquens" NA NA NA NA NA NA NA NA NA NA
"19" "NZ_JACJIN010000005_1_484245_488413_Methylobacterium_sp__RAS18_Ga0372453_05_whole_genome_shotgun" "ref" "B" "UNKNOWN" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"20" "NC_010172_1_4460537_4464705_Methylorubrum_extorquens_PA1_complete_sequence" "ref" "B" "PHYLLOSPHERE" "Methylobacterium" "extorquens" NA NA NA NA NA NA NA NA NA NA
"21" "NZ_CP021054_1_435037_439205_Methylorubrum_zatmanii_strain_PSBB041_chromosome_complete_genome" "ref" "B" "WATER" "Methylobacterium" "zatmanii" NA NA NA NA NA NA NA NA NA NA
"22" "NZ_LT962688_1_1352414_1356582_Methylorubrum_extorquens_strain_TK_0001_chromosome_TK0001" "ref" "B" "SOIL" "Methylobacterium" "extorquens" NA NA NA NA NA NA NA NA NA NA
"23" "NZ_BJVP01000003_1_322489_326657_Methylorubrum_extorquens_strain_NBRC_15911_sequence03_whole_geno" "ref" "B" "ANTHROPO" "Methylobacterium" "extorquens" NA NA NA NA NA NA NA NA NA NA
"24" "NC_011757_1_4630686_4634854_Methylorubrum_extorquens_CM4_complete_sequence" "ref" "B" "ANTHROPO/SOIL" "Methylobacterium" "extorquens" NA NA NA NA NA NA NA NA NA NA
"25" "E_064" "strain" "B" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-03" "FAGR" "Iso-2019-1" "SBL-04-03-H" "30" "399" "393" "20-09-18"
"26" "E_003" "strain" "B" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-03" "ACSA" "Iso-2019-1" "MSH-01-03-F" "30" "386" "393" "07-09-18"
"27" "NZ_SRHQ01000003_1_325440_329608_Methylorubrum_sp__Q1_whole_genome_shotgun_sequence" "ref" "B" "ENDOPHYTE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"28" "NZ_CP006992_1_4305990_4310158_Methylobacterium_sp__AMS5_chromosome_complete_genome" "ref" "B" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"29" "NZ_CP019322_1_2637712_2641880_Methylorubrum_extorquens_strain_PSBB040_chromosome_complete_genome" "ref" "B" "WATER" "Methylobacterium" "extorquens" NA NA NA NA NA NA NA NA NA NA
"30" "J_103" "strain" "B" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-04" "MSH-04-06" "QURU" "Iso-2019-2" "MSH-04-06-A" "30" "314" "311" "27-06-18"
"31" "NZ_CP029173_1_Methylobacterium_sp__DM1" "ref" "B" "ANTHROPO" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"32" "NZ_CP047607_1_4295873_4300036_Methylobacterium_sp__NI91_chromosome_complete_genome" "ref" "B" "SOIL" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"33" "NZ_CP047608_1_4295861_4300024_Methylobacterium_sp__CLZ_chromosome_complete_genome" "ref" "B" "SOIL" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
