"ASV" "REFf" "PSf" "REFr" "PSr"
"1" "1" "1" "217" "1" "167"
"2" "2" "7" "230" "7" "180"
"3" "3" "1" "215" "1" "167"
"4" "4" "28" "218" "24_28" "149"
"5" "5" "1" "217" "1" "165"
"6" "6" "5_20" "230" "20" "180"
"7" "7" "17" "219" "9" "164"
"8" "8" "1" "217" "1" "164"
"9" "9" "28" "218" "28" "166"
"10" "10" "29" "217" "29" "164"
"11" "11" "19" "230" "19" "180"
"12" "12" "5_20" "230" "15_20" "178"
"13" "13" "28" "219" "28" "168"
"14" "14" "1" "212" "1" "164"
"15" "15" "29" "219" "28" "168"
"16" "16" "1" "214" "1" "164"
"17" "17" "28" "217" "28" "165"
"18" "18" "21" "230" "21" "180"
"19" "19" "29" "211" "28_29" "153"
"20" "20" "28" "222" "28" "171"
"21" "21" "22" "230" "22" "180"
"22" "22" "5_20" "230" "5_20" "179"
"23" "23" "17" "230" "17" "180"
"24" "24" "28" "220" "28" "169"
"25" "25" "28" "221" "28" "166"
"26" "26" "5_20" "230" "15_20" "178"
"27" "27" "28" "220" "28" "173"
"28" "28" "24_28" "217" "28" "165"
"29" "29" "23" "230" "23" "180"
"30" "30" "1" "217" "1" "164"
"31" "31" "1" "215" "1" "164"
"32" "32" "12" "230" "12" "180"
"33" "33" "28" "221" "28" "167"
"34" "34" "28" "218" "28" "171"
"35" "35" "17" "222" "9_23" "161"
"36" "36" "28" "221" "28" "167"
"37" "37" "1" "214" "1" "147"
"38" "38" "28" "217" "28" "172"
"39" "39" "1" "219" "1" "165"
"40" "40" "28" "219" "28" "169"
"41" "41" "14" "230" "14" "180"
"42" "42" "28" "219" "28" "171"
"43" "43" "6" "230" "6" "180"
"44" "44" "28" "221" "28" "166"
"45" "45" "5_20" "230" "5" "180"
"46" "46" "4" "230" "4" "180"
"47" "47" "10" "230" "10" "180"
"48" "48" "1" "219" "1" "164"
"49" "49" "28" "228" "28" "178"
"50" "50" "24_28" "218" "28" "165"
"51" "51" "16" "230" "16" "180"
"52" "52" "28" "220" "28" "167"
"53" "53" "28" "219" "28" "172"
"54" "54" "13" "230" "13" "180"
"55" "55" "28" "222" "28" "165"
"56" "56" "21" "218" "20" "157"
"57" "57" "1" "222" "1" "169"
"58" "58" "1" "219" "1" "166"
"59" "59" "1" "221" "24" "147"
"60" "60" "1" "216" "25" "149"
"61" "61" "28" "220" "28" "166"
"62" "62" "29" "223" "29" "164"
"63" "63" "9" "230" "9" "180"
"64" "64" "28" "221" "28_29" "159"
"65" "65" "28" "220" "28" "166"
"66" "66" "28" "217" "28" "170"
"67" "67" "1" "217" "1" "164"
"68" "68" "28" "222" "28" "168"
"69" "69" "11" "230" "11" "180"
"70" "70" "1" "216" "28" "154"
"71" "71" "28" "220" "28" "168"
"72" "72" "8" "230" "8" "180"
"73" "73" "6" "220" "9" "163"
"74" "74" "29" "210" "28" "155"
"75" "75" "1" "219" "1" "167"
"76" "76" "1" "216" "24_28" "154"
"77" "77" "29" "223" "29" "163"
"78" "78" "28" "222" "28" "168"
"79" "79" "14" "221" "9" "161"
"80" "80" "8_9_30" "58" "9_13_16" "56"
"81" "81" "1" "222" "1" "166"
"82" "82" "26_27" "217" "27" "143"
"83" "83" "28" "228" "28" "180"
"84" "84" "1" "207" "29" "140"
"85" "85" "28" "220" "28" "171"
"86" "86" "1" "219" "1" "167"
"87" "87" "1" "217" "1" "169"
"88" "88" "1" "218" "1" "149"
"89" "89" "18" "229" "6" "180"
"90" "90" "1" "221" "25" "161"
"91" "91" "4" "230" "6" "180"
"92" "92" "7" "217" "20" "158"
"93" "93" "24_29" "207" "11" "138"
"94" "94" "7_21" "229" "21" "180"
"95" "95" "1_2" "213" "24_25_29" "146"
"96" "96" "28" "219" "28" "170"
"97" "97" "28" "218" "24" "148"
"98" "98" "1" "215" "1" "149"
"99" "99" "18" "230" "7" "180"
"100" "100" "7" "222" "20" "156"
"101" "101" "30" "220" "30" "170"
"102" "102" "28" "222" "28" "167"
"103" "103" "27" "219" "26" "157"
"104" "104" "18" "230" "22" "180"
"105" "105" "18" "230" "6" "180"
"106" "106" "4" "230" "22" "180"
"107" "107" "7_21" "229" "17" "174"
"108" "108" "7" "230" "17" "174"
"109" "109" "27" "217" "26" "154"
"110" "110" "1" "217" "25" "166"
"111" "111" "28" "218" "24" "156"
"112" "112" "7_21" "229" "17" "180"
"113" "113" "13" "230" "16" "180"
"114" "114" "1" "221" "1" "164"
"115" "115" "18" "230" "17" "180"
"116" "116" "28" "218" "24" "151"
"117" "117" "18" "230" "20" "180"
"118" "118" "7" "230" "9" "180"
"119" "119" "22" "230" "7" "173"
"120" "120" "7" "229" "17" "175"
"121" "121" "28_29" "208" "28" "155"
"122" "122" "25" "225" "25" "159"
"123" "123" "1" "219" "1" "167"
"124" "124" "19" "221" "23" "180"
"125" "125" "1" "221" "1" "163"
"126" "126" "14" "230" "23" "180"
"127" "127" "14" "230" "13" "172"
"128" "128" "1" "221" "29" "156"
"129" "129" "3" "227" "3" "178"
"130" "130" "1" "212" "25" "155"
"131" "131" "27" "216" "26" "154"
"132" "132" "27" "210" "26_27" "149"
"133" "133" "5_15_20" "214" "7_9_14" "152"
"134" "134" "19" "221" "1" "167"
"135" "135" "24" "214" "25" "149"
"136" "136" "12" "230" "7" "173"
"137" "137" "3" "226" "3" "176"
"138" "138" "7" "230" "26" "71"
"139" "139" "23" "230" "16" "180"
"140" "140" "19" "230" "21" "176"
"141" "141" "24_28" "211" "25" "150"
"142" "142" "1" "217" "20" "155"
"143" "143" "1" "210" "3" "130"
"144" "144" "28" "218" "28" "170"
"145" "145" "1" "217" "17" "174"
"146" "146" "17" "225" "17" "180"
"147" "147" "22" "230" "17" "174"
"148" "148" "28" "220" "29" "164"
"149" "149" "17" "219" "17" "174"
"150" "150" "27" "212" "27" "149"
"151" "151" "13" "230" "4" "180"
"152" "152" "3" "227" "3" "176"
"153" "153" "28" "222" "28" "163"
"154" "154" "29" "211" "24_28" "153"
"155" "155" "24_28_29" "203" "28" "154"
"156" "156" "10" "157" "17" "180"
"157" "157" "1" "217" "8_10_23" "61"
"158" "158" "28" "220" "28" "167"
"159" "159" "17" "230" "17" "175"
"160" "160" "24" "210" "25_28" "152"
"161" "161" "1" "218" "24_28" "153"
"162" "162" "28" "218" "28" "154"
"163" "163" "1" "223" "1" "169"
"164" "164" "28" "218" "28" "168"
"165" "165" "18" "229" "13" "180"
"166" "166" "11_12" "152" "14" "180"
"167" "167" "17" "229" "14" "149"
"168" "168" "8" "205" "13" "145"
"169" "169" "29" "219" "23" "130"
"170" "170" "5_20" "230" "5" "68"
"171" "171" "28" "61" "13_16_17" "63"
"172" "172" "17" "228" "17" "175"
"173" "173" "17" "230" "26" "69"
"174" "174" "11_12" "152" "21" "180"
"175" "175" "2" "221" "3" "178"
"176" "176" "11_12" "152" "17" "180"
"177" "177" "28" "220" "14" "153"
"178" "178" "7" "230" "3" "164"
"179" "179" "1" "221" "28" "169"
"180" "180" "1" "223" "28" "172"
"181" "181" "28" "220" "1" "154"
"182" "182" "23" "79" "1" "75"
"183" "183" "1" "219" "3" "164"
